Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
f3ad1f34-2e58-4fd7-aed9-d7202dc77aab,F,Si,FORMACION BASICA,MATUTINO,,,10,3,,,,,,,,,,,,,,,,,,
fa62753b-dad7-4ab8-abde-4496d198b9c9,F,No,FORMACION BASICA,MATUTINO,7,2,10,0,8,0,8,2,6,0,9,0,AC,0,AC,0,NA,0,AC,0,,
0d17b8a2-efdc-45e4-8fcc-15b6cb5ada01,F,No,FORMACION BASICA,MATUTINO,9,0,10,0,8,0,10,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,,
e0718359-f4b8-43bd-b7c9-dcb05f911841,F,No,FORMACION BASICA,MATUTINO,10,2,10,0,10,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,,
d4762366-1f1d-4f2a-be5f-303638b6c222,F,Si,FORMACION BASICA,MATUTINO,,,10,3,,,,,5,4,,,,,,,,,,,,
05b4aa86-1f86-4acf-8d8d-03d959d65751,F,No,FORMACION BASICA,MATUTINO,7,0,10,0,7,0,9,0,6,0,9,0,AC,0,AC,0,NA,0,AC,0,,
8e200211-1f03-44ad-8841-ab86cd5d24d8,F,Si,FORMACION BASICA,MATUTINO,5,8,,,NP,10,,,,,,,,,,,,,,,,
b76e9fb7-543a-41e2-a251-cd1a5db79521,F,Si,FORMACION BASICA,MATUTINO,,,,,,,5,0,,,,,,,,,,,,,,
ab4b67fb-ed9b-4e18-a2bc-ff0fb6ecdd5c,F,No,FORMACION BASICA,MATUTINO,5,2,10,0,5,2,5,0,5,0,9,0,AC,0,AC,0,NP,0,AC,0,,
a5e961e3-cd8d-4e9f-8060-9848da524233,F,No,FORMACION BASICA,MATUTINO,6,0,10,0,8,0,9,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,,
