Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
d224b398-2594-4914-8582-0ebae78ae8fb,F,No,FORMACION BASICA,MATUTINO,9,1,9,0,8,1,9,0,10,0,8,0,AC,0,AC,0,AC,0,AC,0,,
bb4a436b-5231-4196-8cc7-040b7606be58,M,No,FORMACION BASICA,MATUTINO,10,0,9,0,9,0,9,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,,
a6c7689a-9d88-417b-9efd-757277d389a9,F,No,FORMACION BASICA,MATUTINO,9,2,9,2,8,4,9,0,9,1,8,2,AC,0,AC,0,AC,0,AC,0,,
8c4230b5-6d68-40bf-9bd8-630d8c0a9a09,F,No,FORMACION BASICA,MATUTINO,5,0,8,1,9,0,9,0,7,1,9,2,AC,0,AC,0,AC,0,AC,0,,
bae01851-f059-49c9-84ae-ec157a539a79,F,No,FORMACION BASICA,MATUTINO,10,0,9,0,10,0,9,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,,
cffaba15-401d-4416-a2a5-c04b004f9d92,F,Si,FORMACION BASICA,MATUTINO,,,,,9,2,,,,,,,,,,,,,,,,
0e7d5536-b7ff-4eeb-b1e8-f59d63763f84,F,No,FORMACION BASICA,MATUTINO,8,1,9,0,8,1,10,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,,
3f5cb80c-304a-456b-b30b-d8e194499a49,F,No,FORMACION BASICA,MATUTINO,10,0,9,0,9,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,,
6890c0d0-82d4-446f-ba44-e9e5e94ff8c9,F,No,FORMACION BASICA,MATUTINO,9,2,9,0,10,0,9,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,,
9b719637-edc7-492c-9971-09f328bcce98,F,No,FORMACION BASICA,MATUTINO,8,2,9,0,7,0,8,0,7,0,8,1,AC,0,AC,0,AC,0,AC,0,,
