Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,MAN,Faltas_MAN,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
100439d5-fec2-49df-abc4-9723eab6b3a3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,5,0,5,2,5,0,5,0,6,1,NA,0,NA,0,AC,0,AC,0,,
d45c7c7f-1e9a-4ea4-92b9-e6573a8194d5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
2f2f04f1-7a24-445c-b77d-e3ef122c7916,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,8,5,,,,,,,,,,,,
417acf61-5152-4622-88e6-3ab8fa6dbeb7,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,7,0,8,3,5,2,6,0,9,1,AC,0,AC,0,AC,0,AC,0,,
1f8c2f4c-1b8b-42ca-8935-4bec0993d0a7,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,10,0,7,0,6,0,7,0,8,2,AC,0,NA,0,AC,0,AC,0,,
575e6ccd-4e17-4271-a99a-483f1762b963,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,5,0,6,2,9,0,5,0,8,2,NA,0,NA,0,NA,0,AC,0,,
0f4d84e4-48e0-49c2-9841-44bc414e5f62,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,8,0,10,1,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
6b9b8b26-15a0-4b92-81dc-9638b07cbe46,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,7,1,7,0,5,0,5,15,8,3,AC,0,NA,0,NA,0,AC,0,,
e049a0ca-0574-4045-a8d5-9250288faa17,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,5,0,5,2,7,2,6,1,8,0,NA,0,AC,0,NA,0,AC,0,,
c81e9a9d-a5fd-47e7-a80d-2fdf3d2bdeb4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,2,AC,0,AC,0,AC,0,AC,0,,
b07b4a00-db9f-4a4f-8e16-c21ba1101bdc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,10,0,7,3,8,0,9,0,9,0,AC,0,AC,0,AC,0,AC,0,,
21279920-dcec-4931-a1b0-141ac00b68f5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,0,5,3,5,0,7,10,5,6,AC,0,NA,0,NA,0,AC,0,,
0a36acb6-2bed-48f8-b916-bc2b38784452,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,1,6,0,5,0,5,6,5,17,7,1,AC,0,NA,0,NA,0,AC,0,,
9465a59f-78d4-4b55-b0e1-ae0e82865e1e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,1,8,0,8,0,5,0,6,3,6,0,NA,0,NA,0,AC,0,AC,0,,
f110a4c2-7a13-48df-90d5-f9096ff0eeaf,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,1,8,1,6,2,9,0,6,3,9,1,AC,0,AC,0,AC,0,AC,0,,
d87f3a18-3615-47b9-aa96-30f85a6694df,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,8,0,5,3,5,0,6,0,8,0,AC,0,NA,0,AC,0,AC,0,,
06852398-8502-40f6-9ee0-6795aec15501,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,8,1,8,1,7,0,8,0,8,0,AC,0,NA,0,AC,0,AC,0,,
