Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,MID,Faltas_MID,MEJ,Faltas_MEJ,OPT,Faltas_OPT,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
4c13e64f-002f-4ae4-bc7d-d4d15521a824,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,6,0,8,0,10,0,9,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,,
0c4636bf-962e-42fd-aac8-f398b5a88637,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,2,6,3,7,0,10,0,8,0,9,3,8,10,AC,0,NA,0,AC,0,AC,0,,
21312013-1a09-42b4-8d42-948c9aa3da49,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,2,7,0,10,0,8,0,8,2,9,0,AC,0,AC,0,AC,0,AC,0,,
08a058b4-176b-4e66-992c-cd6a40ee4e41,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,1,9,2,7,0,8,10,9,0,8,0,8,8,AC,0,AC,0,NA,0,AC,0,,
446b2f3f-70e6-461a-88f0-37ad932a4482,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,4,9,5,8,1,9,0,10,0,8,7,9,4,AC,0,AC,0,AC,0,AC,0,,
3ee4ca14-5ae2-4dc3-acf9-62f81275f598,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,9,1,7,0,7,0,9,0,9,0,9,2,AC,0,AC,0,AC,0,AC,0,,
089e087f-23eb-4003-8979-3ed1a56429d9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,9,0,10,0,10,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,,
5b88da62-0927-4984-989b-584c654c65e2,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,9,3,8,0,10,2,8,0,9,0,9,4,AC,0,AC,0,AC,0,AC,0,,
10e19257-eb13-4ad8-90c1-b98434d0cf3c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,3,7,0,9,0,6,0,9,1,9,0,AC,0,NA,0,AC,0,AC,0,,
fb41bb9b-231b-4bf1-a2d2-5c83ae9ccab9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,8,2,8,0,8,0,10,0,10,0,9,2,AC,0,AC,0,AC,0,AC,0,,
3bb504bd-30c5-4055-8b8a-2676ab5f8939,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,5,0,5,14,,,,,,,,,,,,
27a55ecf-3a32-4c1f-8b10-23e9491581c7,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,1,8,2,8,0,10,6,8,0,9,0,9,2,AC,0,AC,0,AC,0,AC,0,,
0febd87b-695d-4304-ae96-5abdab7d8e20,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,1,,,,,,,,,,,,,,,,,,,,,,
d4292f5b-2b2a-4abd-a411-c7fe4e06b368,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,,,,,9,2,,,,,,,,,,
bf603bca-4630-426a-9cee-6129ce9b9bc4,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,7,0,NP,0,,,,,,,,,,,,,,
26581d9d-d5b3-4e08-b1af-0a0c633388c0,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,2,6,2,7,3,10,2,8,0,8,3,9,0,NA,0,AC,0,NA,0,AC,0,,
c1a9215a-56fe-44d3-a1d7-3e192b12cbed,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,2,8,2,9,0,9,0,10,0,9,0,10,4,AC,0,AC,0,AC,0,AC,0,,
4d50c65d-f64e-45f7-b21e-b6556611994f,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,8,1,,,,,,,,,,,,,,,,,,,,
54168904-045d-4142-b81c-bcff2aa675b2,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,3,7,0,7,6,5,0,8,3,6,2,AC,0,AC,0,AC,0,AC,0,,
0b3ef4c9-9c07-481e-bc9c-b6065db30ecb,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,9,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,,
