Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
97d862c6-1498-4a8e-910b-14281cd3ffd5,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,8,0,9,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
711c8aac-7980-451e-b88b-295da40b6314,M,Si,ENFERMERIA GENERAL,MATUTINO,5,6,,,,,,,,,,,,,,,,,,,,,,
0bb9fc19-c6d8-4923-be83-842f70b6b774,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,0,5,0,6,3,5,0,8,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
32d49334-2b66-4bd0-9a01-428ab3c26fd2,M,Si,ENFERMERIA GENERAL,MATUTINO,5,8,,,,,,,,,,,,,,,,,,,,,,
4396ac4a-46a0-44f0-b379-794cf2d892be,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
15151637-67f2-490c-9650-c04321caf7ca,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,0,8,2,9,0,6,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
7c0cf38a-69d6-4ac6-b16b-575dcdcccad0,F,No,ENFERMERIA GENERAL,MATUTINO,NP,23,NP,12,5,6,NP,12,NP,16,NP,8,NA,0,NA,0,NP,0,NP,0,NP,0,,
a52dad45-f443-4e62-9f08-0dc726bfbc86,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,8,2,8,3,7,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
d95fca22-e845-489b-967f-5a3867f53138,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,1,7,2,5,1,5,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
bfcd51f7-49a1-42b8-85f6-e98162d44469,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,,,,,8,0,,,,,,,,,,,,
52428aaf-f248-442f-bdd5-dc276b8ce3d2,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,8,0,9,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
bca334c5-1d64-409d-9524-0dedda593d24,M,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,0,7,2,8,0,5,3,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9e33024a-db07-4dd5-b550-135a9b473699,F,Si,ENFERMERIA GENERAL,MATUTINO,NP,23,,,5,8,,,,,,,,,,,,,,,,,,
f810da0e-3672-439a-9864-eed2285ad2cd,F,Si,ENFERMERIA GENERAL,MATUTINO,5,6,5,2,5,2,5,7,,,,,,,,,,,,,,,,
e9343402-4d34-4ee2-ae24-81d8040bc2c0,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,8,0,7,0,7,0,5,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
cbd7450a-19d8-48fe-93fb-8b22eb2305f5,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,,,5,0,,,,,,,,,,,,,,
e3205b02-510d-4b23-b92b-8fc36d9b228a,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,6,0,8,0,7,0,9,0,10,0,NA,0,AC,0,NA,0,AC,0,AC,0,,
2dfe706f-dcfa-41f3-af14-45fa48640875,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,9,0,7,2,9,0,5,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
25a13536-c5ac-4cf7-9626-70e5eee47e94,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,10,0,9,0,7,3,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
35e54dae-a703-4101-b174-d032f9308198,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,5,3,5,2,5,2,5,0,10,0,NA,0,AC,0,NA,0,AC,0,AC,0,,
fff1f0a4-e061-444a-a8da-0093c6912dea,F,No,ENFERMERIA GENERAL,MATUTINO,8,4,7,0,10,0,7,1,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e86e972a-1a88-4565-9dfe-d61eeefdf161,M,No,ENFERMERIA GENERAL,MATUTINO,5,6,5,0,5,2,5,0,5,2,7,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
811e8717-9044-4049-a0ec-cc6c86782a31,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
3748e3de-4407-4213-a12d-0615282d9aba,F,No,ENFERMERIA GENERAL,MATUTINO,5,11,5,4,5,2,NP,12,6,6,NP,8,NA,0,AC,0,NA,0,NP,0,NP,0,,
a9310e43-f2e6-4056-9cce-6fa6a1afa45b,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,10,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
c8ddc328-9fbe-4dc9-baab-9f4d3d3b6200,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,9,0,9,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
63edf372-3a2f-489e-ab16-59347121cf97,F,No,ENFERMERIA GENERAL,MATUTINO,5,6,5,0,6,2,5,7,5,0,10,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
ea2d70fb-f029-4523-9a06-3ad8e2e522f1,M,No,ENFERMERIA GENERAL,MATUTINO,NP,23,5,6,5,6,5,10,NP,16,NP,8,NA,0,NA,0,NP,0,NP,0,NP,0,,
6e007b67-15d1-426e-b56a-f74994c2f041,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,8,0,7,0,6,7,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
d6eb8389-a6a5-48f6-a7bf-11047e63c2a2,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,9,0,8,3,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
dc48eba1-7603-4210-9dab-b0a08fc8b768,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,10,0,9,0,9,3,9,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
6eec4106-ce84-4400-bb03-5de2035c96e0,M,Si,ENFERMERIA GENERAL,MATUTINO,,,5,1,,,,,,,,,,,,,,,,,,,,
c79e97da-3368-42c3-9bcd-bff448099bce,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,6,0,9,2,8,2,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
798c87e0-7f73-4c90-8cef-5c94095e52d7,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,6,0,6,0,5,2,5,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
06576519-1916-439d-acb2-8424b2fa2a82,F,Si,ENFERMERIA GENERAL,MATUTINO,5,6,7,0,5,0,5,10,7,2,,,,,,,,,,,,,,
