Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
993fcba1-6cbe-4f92-905c-fd522edb204f,F,No,FORMACION BASICA,MATUTINO,5,4,10,0,8,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,,
d65822f5-a4e2-40ab-9c5d-443f5a952f9f,F,No,FORMACION BASICA,MATUTINO,8,2,10,0,9,2,7,0,8,2,10,0,AC,0,AC,0,AC,0,AC,0,,
b37c4d19-6882-4ad8-bfa2-a6c26ab42e46,F,No,FORMACION BASICA,MATUTINO,5,2,10,0,7,0,5,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,,
26217e10-1556-4c77-8d3a-ede86611c60f,F,No,FORMACION BASICA,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
49500334-b8f1-49dd-9f01-d670fccfaf52,F,No,FORMACION BASICA,MATUTINO,7,3,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
bcc837f3-f6f5-4d57-afd1-2359a01b013d,F,No,FORMACION BASICA,MATUTINO,5,0,10,0,5,2,5,0,5,2,9,0,AC,0,AC,0,AC,0,AC,0,,
79e79001-d88f-4c9a-ba89-e869ac53ee93,F,No,FORMACION BASICA,MATUTINO,8,0,10,0,9,2,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,,
1fb21aab-be28-4ece-a6d9-b0d914867e08,F,Si,FORMACION BASICA,MATUTINO,5,4,,,7,0,,,,,,,,,,,,,,,,
f295e7d3-9081-4f70-8048-d37b4abc9bbf,F,Si,FORMACION BASICA,MATUTINO,5,6,10,0,7,2,,,6,2,,,,,,,,,,,,
7b83c686-c4bb-4eb4-b9c3-5a5958bdcbce,M,Si,FORMACION BASICA,MATUTINO,8,4,,,6,0,,,,,,,,,,,,,,,,
17021339-c990-40cc-9191-98b91e2c327a,F,No,FORMACION BASICA,MATUTINO,6,0,10,0,9,0,8,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,,
5cc839e1-8205-4ee9-8d33-cc183572339f,F,No,FORMACION BASICA,MATUTINO,7,0,10,0,7,0,8,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,,
d5f45ce1-d7be-471f-9747-c3938b0c3c0e,F,No,FORMACION BASICA,MATUTINO,10,0,10,0,9,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,,
d9b967f8-64e3-46fe-8742-f6038bd63bc5,F,No,FORMACION BASICA,MATUTINO,7,4,10,0,8,0,8,0,6,2,9,0,AC,0,AC,0,AC,0,AC,0,,
97235b95-aec6-4373-a54d-d3b1e5124a39,F,No,FORMACION BASICA,MATUTINO,6,2,10,0,8,0,8,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,,
e1609357-41da-4031-b683-90ef3e930e87,F,No,FORMACION BASICA,MATUTINO,8,0,10,0,10,0,10,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,,
0d360aa7-52e6-4bd3-a9df-0887456ef2f6,F,No,FORMACION BASICA,MATUTINO,6,2,10,0,9,2,5,0,6,2,9,0,AC,0,AC,0,AC,0,AC,0,,
cbe75368-edad-44a4-a9f2-9b05ffc109b5,F,No,FORMACION BASICA,MATUTINO,8,0,10,0,5,2,7,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,,
634a2ddb-7907-4f1e-a45e-9b6b39ac332c,F,No,FORMACION BASICA,MATUTINO,10,0,10,0,10,0,10,0,10,2,10,0,AC,0,AC,0,AC,0,AC,0,,
615fb6eb-f5ae-4e79-9458-00d621f97f0a,F,Si,FORMACION BASICA,MATUTINO,5,6,,,,,,,,,,,,,,,,,,,,
