Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
cc448c75-0b1f-4355-9984-45e80b8ad960,F,No,FORMACION BASICA,MATUTINO,8,0,10,1,10,2,9,0,9,0,9,0,AC,0,AC,0,AC,0,AC,0,,
f1ae4238-d059-4065-aac4-12a4d8c357fe,F,No,FORMACION BASICA,MATUTINO,6,0,9,0,8,1,9,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,,
5d9c66ba-2dd4-4e27-9127-fb76a73af4b4,F,No,FORMACION BASICA,MATUTINO,6,2,7,1,8,1,5,3,5,0,7,3,AC,0,AC,0,AC,0,AC,0,,
f27ef1ec-3655-4c15-a08e-53458954d23c,F,No,FORMACION BASICA,MATUTINO,6,0,8,1,8,4,8,0,6,0,8,2,AC,0,AC,0,AC,0,NA,0,,
8f76607b-4848-456e-b2f8-abe9d226b6b5,F,No,FORMACION BASICA,MATUTINO,6,0,8,0,9,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,,
766fdd4a-2cb1-4b26-827d-cc5b9b5eb5f5,F,No,FORMACION BASICA,MATUTINO,7,0,9,0,7,0,8,0,5,0,8,0,AC,0,AC,0,AC,0,NA,0,,
e539bcc2-1d84-4213-8d5f-24bf99f69fa4,F,No,FORMACION BASICA,MATUTINO,8,2,10,0,10,1,9,2,10,0,9,1,AC,0,AC,0,AC,0,AC,0,,
aea0644f-816a-4475-9acc-206101bb9a0c,F,No,FORMACION BASICA,MATUTINO,5,0,7,0,8,0,9,0,7,0,6,0,AC,0,AC,0,AC,0,AC,0,,
fd5e36dd-1427-4bdf-9600-b428a326d795,F,No,FORMACION BASICA,MATUTINO,7,0,7,2,9,0,5,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,,
d728633e-1df4-4188-b674-d799fa86c0df,F,No,FORMACION BASICA,MATUTINO,8,4,8,2,8,6,6,2,6,0,7,1,AC,0,AC,0,AC,0,AC,0,,
37fc9d23-e96b-4dcc-81a8-c0d25e57aa2c,F,No,FORMACION BASICA,MATUTINO,7,0,7,1,8,0,8,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,,
95f12925-ff90-4936-8631-640d77b71306,F,No,FORMACION BASICA,MATUTINO,5,2,7,0,6,0,9,0,7,0,8,0,AC,0,AC,0,AC,0,NA,0,,
db5837ec-5fc5-4959-86a9-42baf7f91acb,F,Si,FORMACION BASICA,MATUTINO,6,2,,,,,,,,,,,,,,,,,,,,
7c1bf134-2b82-40ee-af8c-4f516fadd4c4,F,No,FORMACION BASICA,MATUTINO,5,0,7,1,7,0,8,0,6,0,9,0,AC,0,AC,0,AC,0,AC,0,,
db3358a9-15b5-4fcf-9179-6a9b3d82a9d1,F,No,FORMACION BASICA,MATUTINO,7,2,10,1,8,1,10,2,8,0,9,1,AC,0,AC,0,AC,0,AC,0,,
229e9001-a28d-4cf0-8cdd-40685aa58d67,F,No,FORMACION BASICA,MATUTINO,5,0,10,0,8,0,8,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,,
53fddd96-980b-42cf-afbc-61fae18c0be1,F,No,FORMACION BASICA,MATUTINO,6,2,9,1,10,2,10,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,,
a5c03af9-c7e9-47ac-bb6e-061c8142f3cd,F,Si,FORMACION BASICA,MATUTINO,6,4,,,,,,,,,,,,,,,,,,,,
01f5b3ff-8b9c-4711-b2a1-95edc813dfd7,F,No,FORMACION BASICA,MATUTINO,5,0,8,0,9,0,10,0,7,0,7,0,AC,0,AC,0,AC,0,AC,0,,
4bdde884-1efe-4b4f-9478-9bb844a0b66e,F,No,FORMACION BASICA,MATUTINO,6,0,9,0,9,0,9,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,,
87dcbe60-0193-4f29-9564-ba8e4d346a11,F,No,FORMACION BASICA,MATUTINO,9,0,9,2,9,0,9,0,10,0,9,2,AC,0,AC,0,AC,0,AC,0,,
c950dc09-c054-4842-9ebe-afc49387b518,F,No,FORMACION BASICA,MATUTINO,7,2,10,0,9,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,,
34e93a6a-09da-45a2-a80a-c9dcc9e29224,F,No,FORMACION BASICA,MATUTINO,8,2,7,4,9,0,10,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,,
8684a480-efd5-4823-9cde-1af349b0d949,F,Si,FORMACION BASICA,MATUTINO,7,0,10,1,9,0,10,0,8,0,9,0,,,,,,,,,,
