Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,APL0,Faltas_APL0,EJE,Faltas_EJE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
711c8aac-7980-451e-b88b-295da40b6314,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,10,0,10,1,10,0,10,2,10,1,10,0,AC,0,AC,0,AC,0,AC,0,,
1cd9b45d-a9ad-4dc1-badd-e380b12891ad,M,Si,ENFERMERIA GENERAL,MATUTINO,,,NP,12,,,,,NP,28,NP,26,,,,,,,,,,,,
bfcd51f7-49a1-42b8-85f6-e98162d44469,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,1,10,2,9,2,5,2,9,1,10,0,AC,0,AC,0,AC,0,NA,0,,
70aac3cf-bf31-4a1a-af6f-8ab065e0dea3,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,1,9,0,8,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,,
d2a270b8-911d-47ff-b539-06ff4ed123eb,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,1,9,0,9,1,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
8620f1ba-23f2-4bf1-a87c-a1026f16436c,M,No,ENFERMERIA GENERAL,MATUTINO,6,4,6,5,10,1,8,5,NP,3,8,3,10,0,AC,0,NA,0,AC,0,AC,0,,
0d35cd95-0cc9-435e-98dd-8f3983765ccf,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,2,10,1,10,2,10,0,10,1,10,0,AC,0,AC,0,NA,0,AC,0,,
9b32ae3e-5edf-42bc-b2c0-f2e04776a513,M,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,2,5,18,NP,17,NP,28,NP,26,10,0,NA,0,NP,0,NA,0,NA,0,,
61d22298-2a36-4c07-ac50-27c92edfe318,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,,,8,1,8,2,,,,,,,,,,,,
f2ef78bb-b8e2-4114-8434-6415721f99b9,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,10,0,9,1,9,0,8,1,10,0,10,0,AC,0,AC,0,NA,0,AC,0,,
7f05f0b8-2ca2-4f56-b6d8-2aa8840d3275,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,1,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
c7402c74-f862-460b-b77f-cf51e2ad0b64,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,10,1,9,0,9,1,9,1,10,0,AC,0,AC,0,AC,0,AC,0,,
d136941f-7989-4002-b25f-31c108ce9cbe,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,1,9,0,10,0,9,1,10,0,AC,0,AC,0,AC,0,AC,0,,
1c18db66-e755-4ba9-b261-c82d963ebe3e,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,10,0,10,1,8,0,5,2,8,0,8,0,AC,0,NA,0,AC,0,AC,0,,
3ce237f9-6936-4bb6-af55-f049806357f9,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,2,10,1,10,1,10,1,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
ad0d64db-fafd-4b90-92c0-814842b8cab5,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,8,1,9,0,9,0,8,2,10,0,AC,0,AC,0,AC,0,AC,0,,
998f21f3-208c-4ffc-971c-920b3ef6375a,M,Si,ENFERMERIA GENERAL,MATUTINO,5,4,8,0,,,,,6,2,8,2,,,,,,,,,,,,
68daa30b-c762-462d-97e6-3247fb8dd5a9,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,2,9,1,5,4,5,2,8,2,10,0,AC,0,NA,0,AC,0,AC,0,,
0e01e91d-9113-4b20-ba0b-64ca47ec2052,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,8,1,9,0,7,1,9,0,10,0,AC,0,AC,0,NA,0,AC,0,,
45c89019-871f-47b5-a1ff-1ba7f9e6bc1e,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,10,0,9,1,10,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,,
26db7a95-bfea-4ec4-b5d4-c56a1ead900f,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,9,0,10,1,8,2,5,2,8,5,9,0,AC,0,AC,0,AC,0,NA,0,,
33958b96-ec5d-4c80-ad31-9ffc24b4dca1,M,No,ENFERMERIA GENERAL,MATUTINO,5,3,7,1,9,1,5,5,5,2,8,1,9,0,NA,0,AC,0,NA,0,AC,0,,
