Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,APL,Faltas_APL,APL0,Faltas_APL0,APL1,Faltas_APL1,APL2,Faltas_APL2,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
bd780d33-0a15-4d26-a8e2-adbc5aa1f8b0,F,No,ENFERMERIA GENERAL,MATUTINO,5,1,8,0,7,0,10,0,9,0,10,0,9,0,9,0,NA,0,AC,0,AC,0,,
2a88f400-b378-44ae-a4e9-f9ade05ddf2a,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
6a63b462-4593-4c99-89ce-c7294d2aaffa,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
c61e1702-f854-421c-824e-e77c99b4bddf,M,No,ENFERMERIA GENERAL,MATUTINO,10,2,9,2,10,0,10,6,8,3,10,0,9,0,9,0,AC,0,NA,0,AC,0,,
c852e147-70d9-4863-8b57-bf0d5f5b3203,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,8,2,9,0,10,4,9,0,9,0,10,0,10,0,AC,0,NA,0,AC,0,,
2f287269-ad71-4eaa-8a63-88db5be939eb,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,8,2,10,0,10,6,8,1,9,0,9,0,9,0,AC,0,NA,0,AC,0,,
6b1c5f57-a173-416f-a6c8-049b82d7cd69,M,No,ENFERMERIA GENERAL,MATUTINO,5,6,5,6,9,0,6,2,9,1,9,0,9,0,9,0,NA,0,NA,0,AC,0,,
f22dad28-d9f3-49de-bfad-4c7635aa037e,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,9,0,10,0,10,2,10,0,10,0,10,0,10,0,NA,0,NA,0,AC,0,,
143c64cb-5391-4d0a-a1f3-fdb0684e88f8,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,4,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
22e87dd8-3a81-4745-bbf2-a0fc45fa3f2d,M,No,ENFERMERIA GENERAL,MATUTINO,6,1,9,4,9,0,10,0,8,0,7,0,8,0,8,0,NA,0,NA,0,AC,0,,
a7d06a5f-9ace-4abf-81f3-fe29e832cea4,F,No,ENFERMERIA GENERAL,MATUTINO,5,3,7,0,7,0,10,4,8,0,10,0,9,0,9,0,NA,0,NA,0,AC,0,,
79aec2dd-6207-4121-816f-3fa8ef0c52b8,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
f3062f00-e5ba-4b87-bf42-f771e04b7f89,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,8,3,8,2,10,4,9,0,10,0,9,0,10,0,NA,0,AC,0,AC,0,,
d7d92473-891d-4c3b-be16-2448ac90bfd6,F,No,ENFERMERIA GENERAL,MATUTINO,6,7,8,4,9,1,10,4,8,3,9,0,10,0,10,0,AC,0,AC,0,AC,0,,
74ab8e2b-deee-4811-9cb9-dcecf34bd836,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,8,2,9,0,10,0,9,1,10,0,10,0,10,0,NA,0,NA,0,AC,0,,
7c72c6b0-a70d-42bd-9cdc-c454f09ace52,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,10,0,10,2,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
3b67423e-8486-4d11-bf71-a886993e2930,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,8,0,10,2,9,1,10,0,10,0,10,0,NA,0,AC,0,AC,0,,
4c73bc01-bd08-4f3b-8aef-eff326d5ae30,M,No,ENFERMERIA GENERAL,MATUTINO,NP,25,NP,15,5,14,5,16,NP,35,NP,24,10,0,10,0,NP,0,NA,0,NP,0,,
0e83aa0f-46ae-46e8-8e56-cd6a2c1e8c78,F,No,ENFERMERIA GENERAL,MATUTINO,5,12,5,11,5,7,10,4,7,4,8,0,10,0,10,0,AC,0,NA,0,NA,0,,
8d670fe8-02b5-4015-8707-03db89b0424d,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,9,0,10,0,9,0,10,0,10,0,10,0,NA,0,AC,0,AC,0,,
aa3c55b1-603e-4c69-b303-4c233a3f6cce,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,9,0,10,0,9,1,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
0006948e-8fcc-42b7-b84a-6f5af5a60d63,F,No,ENFERMERIA GENERAL,MATUTINO,5,1,8,0,6,0,10,0,9,0,8,0,9,0,9,0,NA,0,AC,0,AC,0,,
d5381f47-191f-4140-b1c0-ca0ce33580e2,F,No,ENFERMERIA GENERAL,MATUTINO,5,1,8,3,9,0,10,2,9,1,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
538f1de4-4f04-47a8-b242-006d95a30412,F,No,ENFERMERIA GENERAL,MATUTINO,5,8,7,3,5,5,10,12,9,3,9,0,9,0,9,0,NP,0,AC,0,AC,0,,
eac4d218-6e15-4f11-9d42-1ae2d1538263,F,No,ENFERMERIA GENERAL,MATUTINO,8,4,9,0,10,5,10,8,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
a0b0d2c4-7375-4a59-be4c-e60e670d5e07,M,No,ENFERMERIA GENERAL,MATUTINO,5,11,5,5,5,3,10,4,7,3,10,0,10,0,10,0,AC,0,NA,0,AC,0,,
adbbb10b-692a-4a4a-ae19-d75f44720e4b,M,No,ENFERMERIA GENERAL,MATUTINO,7,3,9,6,9,2,10,4,9,3,10,0,10,0,10,0,NA,0,AC,0,AC,0,,
b96612e9-87aa-47a0-ad14-7716e02dbde9,M,No,ENFERMERIA GENERAL,MATUTINO,5,3,5,6,9,0,10,4,8,0,9,0,9,0,9,0,NA,0,AC,0,AC,0,,
ffb93f4e-6ca1-4c65-8b32-2504dccf8407,M,No,ENFERMERIA GENERAL,MATUTINO,8,3,8,2,9,0,10,0,9,1,10,0,10,0,10,0,NA,0,NA,0,AC,0,,
86a95500-0e57-41c7-b676-8ce669dfecce,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,10,2,8,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
1d8b3765-0a69-4d26-8aea-52ebc7668c96,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,0,9,0,10,0,8,0,10,0,10,0,10,0,NA,0,AC,0,AC,0,,
e21603f0-db4c-4e44-814a-68d2bf7f4205,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,0,10,0,10,2,8,1,10,0,10,0,10,0,NA,0,AC,0,AC,0,,
d7c3e996-5bbe-4d32-8963-48aa1e695717,F,No,ENFERMERIA GENERAL,MATUTINO,5,8,5,3,5,4,10,10,8,1,10,0,8,0,8,0,NA,0,NA,0,AC,0,,
