Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,APL,Faltas_APL,APL0,Faltas_APL0,APL1,Faltas_APL1,APL2,Faltas_APL2,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
8301cce9-ceb5-4e4b-9037-1c36eff44439,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,8,0,8,0,9,0,10,0,8,0,8,0,AC,0,AC,0,AC,0,,
124a8572-70e9-4c26-ab4d-12ec3414c27a,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,8,0,9,0,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
29412f4d-c175-4373-b8a5-939c7d036107,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,7,4,9,0,9,0,10,0,10,0,9,0,9,0,AC,0,AC,0,AC,0,,
8a775b92-5078-4eba-926b-e818b0b5201e,M,No,ENFERMERIA GENERAL,MATUTINO,7,7,5,0,6,0,8,0,7,0,8,0,9,0,9,0,AC,0,AC,0,AC,0,,
cb7ae6bf-5197-4854-9dcd-97e53993c2c9,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,0,9,0,9,0,10,0,10,0,8,0,8,0,AC,0,AC,0,AC,0,,
6cfef64f-0c8f-41fd-9352-3592b53e9432,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,5,0,10,0,9,0,10,0,10,0,8,0,8,0,AC,0,AC,0,AC,0,,
74d2554c-5d6a-4249-8899-e951b60cde2c,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,0,9,0,9,0,10,0,9,0,8,0,8,0,AC,0,AC,0,AC,0,,
3ffaeb54-756d-4a02-bd3c-37e5f755953b,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,5,0,10,0,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
a6a1813a-31fc-4215-be71-b70c40de55b4,M,No,ENFERMERIA GENERAL,MATUTINO,7,1,5,1,8,0,8,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
ee5aaa25-0af7-45a7-8bbb-eef71c2141e5,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,1,10,0,9,0,9,0,10,1,10,0,10,0,AC,0,AC,0,AC,0,,
4d50c65d-f64e-45f7-b21e-b6556611994f,F,No,ENFERMERIA GENERAL,MATUTINO,5,10,5,6,5,1,6,0,8,0,10,0,8,0,8,0,AC,0,AC,0,AC,0,,
e843bd82-fbcf-4087-a840-e0ea210835a7,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,6,0,10,0,9,0,8,0,10,0,8,0,8,0,AC,0,AC,0,AC,0,,
