Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,REA,Faltas_REA,EJE,Faltas_EJE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
ea25831d-9edd-4e6c-8c38-0cbb921a4b63,F,No,PUERICULTURA,MATUTINO,10,0,10,0,6,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
f17be1ba-7d3b-4e55-bf92-0aef343d0d22,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
865e0e9b-eaa4-4dd6-9140-5402992bb0e6,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
8fea55d3-cb3b-46f8-b789-5422f1ae2150,F,No,PUERICULTURA,MATUTINO,10,0,10,0,8,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
c85d9aa2-bae7-40ca-a38f-dc504c4dac4d,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
8f8c74d7-473e-4f7e-ae44-dfa83ba48332,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
f4386a53-9bbf-435f-8468-dd574982aeb3,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,9,2,9,0,AC,0,AC,0,AC,0,,
80d5a4b3-2123-46bb-b0ee-3aa0b76c82b3,F,No,PUERICULTURA,MATUTINO,8,0,10,0,9,0,10,0,9,2,9,1,AC,0,AC,0,AC,0,,
07ebfcf6-b251-4ed1-a881-4c7eb9ac8146,F,No,PUERICULTURA,MATUTINO,9,0,10,0,6,0,10,0,9,4,7,0,AC,0,AC,0,AC,0,,
ccf642db-7122-422c-827f-26c24eda1e28,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
2cd78a7f-3baf-4495-ba35-18fb557a4630,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
ad8afc76-8dd5-49d0-b53f-34ee50de3141,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
28fc8e24-eb95-47e9-b2c7-2b70d8c7bc59,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
3e43ce7b-1f27-4a73-8d73-76c15dd4e338,F,No,PUERICULTURA,MATUTINO,7,0,10,0,6,2,10,0,9,2,7,3,AC,0,AC,0,AC,0,,
796d8361-fe71-4577-b17d-d22fdb78ee7b,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
c3ce86ed-27e8-4662-a84e-4e31992e0c1f,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
2ac72a6c-9f12-40c7-b196-4462dfd6bf86,F,No,PUERICULTURA,MATUTINO,9,0,10,0,7,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
81934224-071f-40ee-986e-7f87d7ebc4c5,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
e3fffaea-2c5f-4584-8648-c1d138b9f5b0,F,No,PUERICULTURA,MATUTINO,7,0,10,0,7,4,10,0,10,3,9,3,AC,0,AC,0,AC,0,,
d5e1e1e5-9068-44b2-bed5-d649e97432f7,F,No,PUERICULTURA,MATUTINO,9,0,10,0,8,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
3207b277-500f-4654-8153-ffc41865614e,F,No,PUERICULTURA,MATUTINO,9,0,10,0,7,0,10,0,10,1,9,0,AC,0,AC,0,AC,0,,
ec2f42b4-c404-434b-992d-cceaa1427d77,F,No,PUERICULTURA,MATUTINO,9,0,10,0,8,6,10,0,10,4,9,3,AC,0,AC,0,AC,0,,
709a0e45-86a9-43f6-b387-15d9dce40ac9,F,No,PUERICULTURA,MATUTINO,6,0,10,0,5,0,10,0,10,1,7,0,AC,0,AC,0,AC,0,,
22d9aa61-b7a9-4d4a-a4c3-f8b2336d51cc,F,No,PUERICULTURA,MATUTINO,8,0,10,0,7,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,,
effae384-468f-4b2f-866d-86ab044442cf,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,2,9,0,AC,0,AC,0,AC,0,,
ae16133a-ae61-4d9a-8286-98ddca0970be,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
faa17ab3-39e4-4069-93c0-3e0bb3917393,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,1,10,1,AC,0,AC,0,AC,0,,
b5ce608b-3e2e-4e4e-9263-0762c89d4030,F,No,PUERICULTURA,MATUTINO,10,0,10,0,8,0,10,0,10,4,10,0,AC,0,AC,0,AC,0,,
29407ca8-95e9-42d2-8b4f-0f675dd1c43a,F,No,PUERICULTURA,MATUTINO,8,0,10,0,6,4,10,0,8,6,10,3,AC,0,AC,0,AC,0,,
ced78e94-5113-47f3-a93a-2445dd3e2181,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,4,9,0,AC,0,AC,0,AC,0,,
20d665e9-34be-4850-a859-0f0c527b8b33,F,No,PUERICULTURA,MATUTINO,8,0,10,0,5,2,10,0,9,2,9,5,AC,0,AC,0,AC,0,,
10140263-5a78-4f8a-bb6d-8dc7a5ac3444,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
13ff8c64-9768-441d-834e-43c2436a52e9,F,No,PUERICULTURA,MATUTINO,10,0,10,0,8,0,10,0,10,1,10,1,AC,0,AC,0,AC,0,,
c9b7e1e1-ee20-4bd4-a3a5-eb414b17849a,F,No,PUERICULTURA,MATUTINO,9,0,10,0,9,0,10,0,10,2,9,1,AC,0,AC,0,AC,0,,
547612e6-689f-4ba1-88a3-205a6e9fb9b7,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
