Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
9d5e247e-8f85-4bfc-9f60-c37159280527,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,9,0,8,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
c0b452a6-bb1a-493f-ab2f-af0f421c9355,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,,,8,0,,,,,,,,,,,,,,
dbe79628-e14c-45ae-802a-a34f9c2dd181,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,7,0,7,0,10,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
27ffdce5-3503-42b4-83fc-b283e09ac866,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,5,4,8,1,9,1,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
337eb250-5db4-4a4f-8d06-b6141d872fef,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,6,0,8,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
8755a54c-bb6f-4a4b-aa07-5ca13f87acb7,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,
7c8c9ba0-9b72-4113-8bde-ba31d6794674,M,No,ENFERMERIA GENERAL,MATUTINO,10,1,7,2,5,4,8,2,5,0,6,4,AC,0,AC,0,AC,0,NA,0,AC,0,,
c21eabf1-e134-41e5-957d-adc9ed8b4910,M,No,ENFERMERIA GENERAL,MATUTINO,8,2,9,1,7,0,8,4,9,0,7,4,AC,0,AC,0,AC,0,NA,0,AC,0,,
421a3f61-edf3-4112-bedf-652bbe2600ed,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,7,1,9,6,5,2,9,0,8,2,AC,0,AC,0,AC,0,NA,0,AC,0,,
6cc3f11c-6b5d-4fb2-b9b2-945047e9b7f2,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,9,0,8,0,8,0,9,0,8,2,AC,0,AC,0,AC,0,AC,0,AC,0,,
c7909ff9-7782-4378-a81e-728b42346698,F,No,ENFERMERIA GENERAL,MATUTINO,5,8,NP,14,5,12,NP,13,5,3,5,20,NA,0,AC,0,NA,0,NA,0,NA,0,,
426572e8-6238-46bc-afe3-9453d8c8cfce,M,No,ENFERMERIA GENERAL,MATUTINO,7,1,7,1,7,4,5,2,6,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9d2aa529-cc88-4c58-9ea4-0bf8bdf9608d,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,2,7,2,7,2,9,0,7,2,AC,0,AC,0,AC,0,AC,0,AC,0,,
f06dec8f-39b8-45d9-8e32-de37ac1230e0,M,Si,ENFERMERIA GENERAL,MATUTINO,NP,18,,,,,,,,,,,,,,,,,,,,,,
7f78dcf1-3e25-4136-b082-c5514ced3b8d,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,6,0,5,2,10,0,10,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
2eea0632-7c8c-4a4c-a897-feaa7a4e8852,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,9,1,8,0,7,4,7,0,7,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
af79ec63-67c8-47b8-91c0-d2194cf3b287,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,9,1,7,4,5,0,10,0,7,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ce8ae192-bfe7-4dbd-9305-a57be9a30dfe,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,8,0,9,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
08204e50-2680-44a2-a558-a8123d134aea,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,
f299840e-b8b0-41e6-9576-b104577527be,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,8,0,8,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
f68bfc2d-b51d-4fee-82e5-349e2639f21f,M,No,ENFERMERIA GENERAL,MATUTINO,9,1,10,0,9,0,5,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
389c6f16-c0ae-4803-aa8e-18df4b974c94,M,No,ENFERMERIA GENERAL,MATUTINO,6,1,9,0,7,0,8,0,9,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
b60eff27-7e54-4632-a997-14f914b19338,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,10,0,8,0,8,1,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
4ebc7291-ac76-4dc0-be33-d56ad027cc84,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,2,7,3,8,3,9,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
a4db7d35-8f8b-4f95-a504-2bd373342c57,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,0,9,2,7,3,9,1,8,4,AC,0,AC,0,AC,0,AC,0,AC,0,,
5963b2f6-3825-43d7-ac19-b7003bff5cbf,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,7,5,8,NP,13,5,9,5,8,NA,0,AC,0,NA,0,NA,0,AC,0,,
cdb4518c-d2c7-4dd0-8a94-40a4369cef5e,F,Si,ENFERMERIA GENERAL,MATUTINO,NP,18,NP,14,5,18,NP,13,5,10,NP,20,,,,,,,,,,,,
5e3d3f3d-97d5-499b-9c1b-074ca77c9a9d,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,1,8,2,9,2,10,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
696a868e-3d82-49d7-9f51-35666501d709,F,No,ENFERMERIA GENERAL,MATUTINO,9,4,10,0,8,0,7,2,10,0,9,2,AC,0,AC,0,AC,0,AC,0,AC,0,,
6cb82903-c894-4e16-aa9a-a836078bec8e,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,7,2,8,3,10,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
40bbef40-ae7d-43e1-a0c4-d7d4bd4d97eb,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,7,0,8,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ccfbc776-70c4-48fc-ad75-baa526ecc0e9,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,10,0,7,2,7,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
d1b53f25-adac-46c9-937b-64f2ccb709d3,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,7,2,8,1,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
8f5bebde-018e-42d0-88c3-cf1da5df421a,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,
d7020057-1cb8-4b9b-8ec8-80c8f4abfdbd,F,Si,ENFERMERIA GENERAL,MATUTINO,7,1,,,,,,,,,,,,,,,,,,,,,,
70705a96-4bff-4bd7-9f41-5a8362baa53a,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,
41949050-f9f1-487d-bf55-138bd637cba7,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,9,0,9,2,10,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
f392edc3-3e89-48e3-89ce-0c7ae838cd45,M,Si,ENFERMERIA GENERAL,MATUTINO,5,4,,,,,,,,,8,0,,,,,,,,,,,,
6811dfff-aced-48d0-b42f-e6ce20472de5,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,6,2,7,4,8,2,5,0,6,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
0f23af04-f22e-4a78-a122-71198629ee57,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,8,1,9,4,7,0,5,0,7,1,AC,0,AC,0,AC,0,AC,0,AC,0,,
3472e617-2e6b-43c2-b928-ddb59194c96b,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,
0e7be1e6-c5ae-448b-b054-6eb09fff75c3,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,9,0,6,2,7,5,7,2,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
f781bead-2bd3-49f6-9518-2d9d6bdc29d5,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,4,5,6,5,2,5,8,5,6,NA,0,AC,0,NA,0,NA,0,AC,0,,
016ab92b-e46d-4371-a22a-aa98489090a3,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,9,2,6,0,8,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
a45f0ce2-b986-4032-8e83-aec8d7c01628,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,8,0,9,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ec564c1a-4eab-4861-ab67-b389ffd7b92a,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,9,0,7,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
22af726b-f721-425f-aa4d-eb8f1a0af5df,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,8,0,8,0,9,0,7,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
6dfd9b0d-2cc7-4fba-a4f3-07e4e7055198,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,9,0,7,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
4e907995-9eb1-4283-b6a3-d6e621162207,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
