Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
457a5e0c-a065-43c1-8539-befb3c24f20b,F,No,FORMACION BASICA,MATUTINO,9,1,7,1,6,0,6,0,8,0,7,2,AC,0,AC,0,AC,0,AC,0,,
abc78ad0-2b2d-4c51-974e-32d9e442ed85,F,No,FORMACION BASICA,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,
8bef3a21-bb60-427b-a7a3-8e48eedf8526,M,No,FORMACION BASICA,MATUTINO,8,0,5,2,5,0,9,1,9,1,5,5,NA,0,NA,0,AC,0,AC,0,,
02de8aca-6ffe-4466-91e0-e0739af8b3a9,M,No,FORMACION BASICA,MATUTINO,5,0,5,1,7,1,5,0,7,0,7,1,AC,0,NA,0,AC,0,AC,0,,
07e7ab57-5442-4d39-a2ab-7131fa4c1394,M,No,FORMACION BASICA,MATUTINO,6,5,9,1,5,13,7,4,9,0,7,4,AC,0,AC,0,AC,0,AC,0,,
6d8d91b0-501f-4db5-bca8-a0eabd56c925,F,No,FORMACION BASICA,MATUTINO,9,0,9,1,6,2,6,0,9,0,7,0,AC,0,AC,0,AC,0,AC,0,,
310308eb-f702-4c46-aff6-bd0cbcf323ce,M,No,FORMACION BASICA,MATUTINO,8,0,9,0,8,3,10,0,8,0,7,1,AC,0,AC,0,AC,0,AC,0,,
17e84cc1-3762-46d8-ba53-14bd02931d8e,F,No,FORMACION BASICA,MATUTINO,8,0,5,8,6,1,6,2,10,1,5,8,NA,0,NA,0,AC,0,AC,0,,
385401ef-a5ef-4fb9-bfc7-5d41dbb1f61f,M,Si,FORMACION BASICA,MATUTINO,,,,,5,2,,,,,,,,,,,,,,,,
b386c9e6-5c41-452a-afe9-90615342374b,F,No,FORMACION BASICA,MATUTINO,8,2,7,0,6,0,6,0,8,0,6,0,AC,0,AC,0,AC,0,AC,0,,
