Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,APL0,Faltas_APL0,EJE,Faltas_EJE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
9c0b3b2c-6650-4ea4-940f-b4310c4deda5,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,6,1,8,2,8,4,7,8,8,3,10,0,AC,0,AC,0,AC,0,AC,0,,
c9aeb769-6ae5-494b-a0dc-32834160e46a,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,5,0,8,0,8,0,5,2,5,4,8,0,AC,0,AC,0,AC,0,AC,0,,
5018e636-55b0-4a13-bcbf-9a33781a06b0,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,7,0,9,2,8,0,6,7,9,2,10,0,AC,0,AC,0,AC,0,AC,0,,
0da49f59-1fa0-4624-bbf1-1727483cfce6,M,No,ENFERMERIA GENERAL,MATUTINO,7,2,8,0,8,3,9,2,9,5,9,2,9,0,AC,0,AC,0,AC,0,AC,0,,
ec8d9f3b-9a1a-4a9b-8b18-2d85c110364d,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,5,0,5,2,9,0,6,8,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
54775879-40e8-48c4-b7c8-a6476985fb14,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,7,0,9,0,10,0,8,2,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
e819bb71-54fc-4e9e-8a9d-56838c4a6e0c,F,No,ENFERMERIA GENERAL,MATUTINO,6,6,5,0,5,2,9,2,9,6,5,0,10,0,AC,0,AC,0,AC,0,AC,0,,
a1cb8131-060d-4c00-8521-40ece858f73f,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,7,0,10,0,8,2,9,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,,
c6b4e9a4-891d-49ec-8ff4-b74650683a7e,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,6,0,9,1,9,2,9,4,10,0,8,0,AC,0,AC,0,AC,0,AC,0,,
0e5f6526-9177-40ea-8681-4b3bd483e383,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,10,0,6,1,9,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
61f8125a-5b5e-4486-96b4-0e6f290ba883,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,5,2,7,1,6,4,5,6,8,0,9,0,AC,0,AC,0,AC,0,AC,0,,
a93249d4-e28f-40e9-8204-ace3eca140be,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,7,0,5,1,10,2,8,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
4ddf8346-6c05-4289-a28d-ba66775ffa1a,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,10,0,10,0,8,3,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
46efa1ab-7b20-4ddc-aebf-8f7a2abd722a,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,9,1,9,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
cad8d614-4787-4bf4-afb0-3c552a5c381d,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,5,0,9,1,9,0,8,0,8,3,9,0,AC,0,AC,0,AC,0,AC,0,,
4c152647-0687-4312-9e47-e09d9f62175b,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,8,0,5,1,9,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,,
ca754f70-fe5e-4f3d-b62b-16e1021da5c6,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,8,5,17,NP,4,5,28,5,0,10,0,AC,0,AC,0,AC,0,AC,0,,
8ae500aa-7e52-4fd5-81eb-49db6401ff59,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,0,9,0,8,0,8,0,8,3,9,0,AC,0,AC,0,AC,0,AC,0,,
1a91d0e3-2450-41ee-8688-33b17b9f0478,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,7,0,6,2,7,4,8,6,8,3,10,0,AC,0,AC,0,AC,0,AC,0,,
788adbe2-4331-4dcd-b5ec-7d542ce2ec4a,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,2,9,1,9,0,10,0,8,2,10,0,AC,0,AC,0,AC,0,AC,0,,
