Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,APL,Faltas_APL,APL0,Faltas_APL0,APL1,Faltas_APL1,APL2,Faltas_APL2,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
5b1a650d-9e83-4422-af2b-725a233c9984,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,5,6,3,7,0,5,3,5,8,8,0,8,0,AC,0,NA,0,AC,0,,
d03b6183-35c4-4e6a-a174-31b440cc5546,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,0,6,1,7,0,9,3,5,1,8,0,8,0,AC,0,NA,0,AC,0,,
1acf63eb-1574-48bb-b8a4-f1de1dd4e6ca,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,,,9,3,,,,,,,,,,,,,,
6ea21cbe-75b4-4018-8df2-3aaeb8a09fac,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,2,6,0,9,0,9,0,9,3,8,0,8,0,AC,0,AC,0,NA,0,,
8254aaa6-e5b1-4d86-beaa-cc50fc204e41,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,2,6,1,9,0,9,0,8,11,9,0,9,0,AC,0,AC,0,AC,0,,
f5bf6aeb-1f99-4f0a-9651-daabf0b79f8e,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,1,10,0,9,0,9,2,10,0,10,0,AC,0,AC,0,AC,0,,
05152bd6-6587-4c7a-ab0a-e902acedd9cf,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,2,10,1,9,0,10,2,10,4,10,0,10,0,AC,0,AC,0,AC,0,,
57d17729-d957-44c9-aecd-d16de7449dc7,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,2,6,1,9,0,9,2,8,2,10,0,10,0,AC,0,AC,0,NA,0,,
f12f4960-d7da-4b68-8296-ac1a19bf714e,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,2,6,1,7,0,5,9,5,7,10,0,10,0,AC,0,NA,0,AC,0,,
6934aa39-dc72-4e2f-925f-9cd439db690e,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,7,0,10,0,9,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,,
83b401a0-00cb-4bc1-b22b-c01ce32f050c,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,6,1,9,0,10,0,8,0,9,0,9,0,AC,0,AC,0,AC,0,,
c9881588-bca0-41e1-b9eb-4cdd5a65239a,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,6,0,8,0,9,2,8,2,10,0,10,0,AC,0,AC,0,AC,0,,
8b4908aa-4e45-4e07-8b49-5943df5fa2ad,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,8,0,10,0,9,0,9,2,9,0,9,0,AC,0,AC,0,AC,0,,
