Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,EJE,Faltas_EJE,APL,Faltas_APL,REA,Faltas_REA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
501c49bd-12c6-458f-918c-b8510673076f,F,Si,ENFERMERIA GENERAL,MATUTINO,7,6,,,5,3,,,,,,,,,,,,,,,,
a29310b5-7f3a-4abc-9388-f6dfed3cda35,F,Si,ENFERMERIA GENERAL,MATUTINO,5,7,,,,,,,,,5,4,,,,,,,,,,
cbc0bf38-0e27-46c1-bae7-01cf574a3760,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,3,8,0,7,1,8,0,6,1,10,0,AC,0,AC,0,AC,0,,
e4994ddb-4187-4fef-b240-2b562e978a9a,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,7,3,7,1,6,0,5,0,7,3,10,0,AC,0,NA,0,NA,0,,
fed2efb2-1ad6-4159-a4bb-bfc369afdc4a,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,8,1,8,0,7,1,7,0,6,1,10,0,NA,0,NA,0,NA,0,,
9b32ae3e-5edf-42bc-b2c0-f2e04776a513,M,Si,ENFERMERIA GENERAL,MATUTINO,,,NP,11,,,,,NP,25,5,0,,,,,,,,,,
209783b5-06b2-4704-9493-622cf4820e30,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,7,1,9,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,,
e95dccc3-5e52-4005-8e9f-958058d32fd9,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,9,0,10,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,,
e26a913b-a592-4e72-8a5a-0293cc26a7fe,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,2,8,3,8,0,8,0,8,0,10,0,AC,0,AC,0,AC,0,,
3d19512d-3b9d-4b50-b468-d24c46c41a04,M,No,ENFERMERIA GENERAL,MATUTINO,8,2,5,2,10,3,7,1,8,0,8,1,10,0,AC,0,AC,0,AC,0,,
77ded4aa-7027-421f-bc1f-602af60d862a,F,Si,ENFERMERIA GENERAL,MATUTINO,6,2,,,6,4,7,2,,,6,1,,,,,,,,,,
11ea02d7-4611-4bcb-8078-9a034ad5a023,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,10,0,7,0,6,0,9,0,10,0,10,0,NA,0,NA,0,AC,0,,
59aafd35-4a38-45d2-83cd-7f55ebcaae03,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,7,1,8,0,7,0,7,0,10,0,AC,0,AC,0,AC,0,,
a0dc83b9-63e9-4743-84f7-19308ffdb6fe,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,3,7,2,9,0,9,0,8,2,10,0,AC,0,AC,0,AC,0,,
3ee43815-7d79-4cf0-9bad-845545783d98,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,10,2,8,0,7,2,7,0,9,1,10,0,AC,0,NA,0,AC,0,,
d4001ecd-2b1a-496d-9d53-512ca6f9047a,F,No,ENFERMERIA GENERAL,MATUTINO,9,2,10,1,9,0,9,0,9,0,10,0,10,0,AC,0,NA,0,AC,0,,
c1136d1a-4697-4b11-a0dd-749e2ddcfaa7,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,7,4,8,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,,
93209795-9692-4109-8c77-9aca9320ce0b,F,Si,ENFERMERIA GENERAL,MATUTINO,,,NP,11,,,,,,,,,,,,,,,,,,
13513c94-8628-41bd-a5c6-f6b9aafade58,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,9,0,9,0,9,0,10,1,10,0,AC,0,AC,0,AC,0,,
15ff05fa-00aa-4771-9041-184cb07768cc,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,9,0,8,0,9,0,7,1,10,0,AC,0,AC,0,AC,0,,
61927835-95ab-420b-b9b8-1e8afe7a1620,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,6,2,8,4,8,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,,
8d0615f6-6527-41f9-9eb0-f37212f1076c,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,6,3,7,4,8,0,8,0,9,1,10,0,AC,0,NA,0,AC,0,,
61c4c25b-894b-4aa5-9136-95f557ad702c,M,No,ENFERMERIA GENERAL,MATUTINO,5,8,8,3,6,8,5,7,5,5,5,7,5,0,NA,0,NA,0,NA,0,,
cebcc44c-3b7d-4fe6-8455-72c96fc65674,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,8,0,9,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,,
d4502d2a-febe-4940-ac83-9585659b02cb,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,8,0,10,1,9,0,9,0,10,0,AC,0,AC,0,AC,0,,
f3175b10-6d39-4b5d-a217-6a732ebec464,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,3,9,1,7,0,7,0,6,3,9,1,AC,0,NA,0,AC,0,,
41b09899-c2d2-4c4c-833b-465347e2fefd,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,1,8,2,9,1,9,0,9,2,10,0,AC,0,AC,0,AC,0,,
6b40b94e-6ec0-4df5-9038-7fe3d9adcd3b,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,10,0,8,0,9,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,,
cada6473-7fc1-4ba9-91e1-2d1a27fd854e,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,2,9,6,9,1,8,0,9,1,10,0,AC,0,NA,0,AC,0,,
efcdbd2c-86ab-49d1-9cb4-b7c0ebed6eb3,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,3,6,0,8,1,8,0,7,1,10,0,AC,0,AC,0,AC,0,,
b8812052-1fd7-4696-9bce-da3911f91f66,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,2,8,0,7,0,7,0,7,0,9,1,AC,0,AC,0,AC,0,,
39bdb935-4d26-484a-95d4-66dd37d2a2a5,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,10,0,8,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,,
3c64cd45-afe9-467b-8d11-4a4ee7927015,F,Si,ENFERMERIA GENERAL,MATUTINO,5,12,,,,,7,4,,,7,5,,,,,,,,,,
8ff2c935-902b-4070-bc10-29ee456cf781,M,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,3,7,3,8,2,8,0,7,1,9,1,AC,0,AC,0,AC,0,,
a1d8b17b-911b-4b5c-b924-14efdd3a72d4,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,2,8,0,7,0,8,0,6,1,10,0,NA,0,NA,0,AC,0,,
a5243d59-58b5-4aab-89a9-3031d4b15d98,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,2,7,0,9,0,8,0,7,0,10,0,AC,0,AC,0,AC,0,,
8e27486f-e8fa-4e36-aac7-9e67f22a0fd7,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,5,3,,,8,0,8,0,,,,,,,,,,
bf6fea90-e41d-47d7-b924-b4472b875d09,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,1,9,0,8,0,8,0,7,0,10,0,AC,0,AC,0,AC,0,,
51d9fd3c-7e58-40e7-aad2-7e37efc74746,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,8,0,8,0,9,0,9,2,10,0,AC,0,AC,0,AC,0,,
e1e5904d-9eec-496b-a326-89bf527381c1,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,2,8,0,9,0,8,0,8,2,10,0,AC,0,AC,0,AC,0,,
95bff90a-76b9-4da5-99f9-988b43c19539,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,0,7,0,7,0,9,0,6,1,10,0,AC,0,AC,0,AC,0,,
ea66b6a2-2fbe-46c9-a4e2-6f7ce24e8b0c,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,11,NP,24,5,16,NP,25,5,1,NP,0,AC,0,NA,0,NP,0,,
