Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,APL,Faltas_APL,PRO0,Faltas_PRO0,APL0,Faltas_APL0,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
bd780d33-0a15-4d26-a8e2-adbc5aa1f8b0,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,10,0,9,4,10,1,9,0,10,2,8,2,AC,0,NA,0,,
2a88f400-b378-44ae-a4e9-f9ade05ddf2a,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,0,10,4,10,0,10,0,10,0,10,0,AC,0,AC,0,,
6a63b462-4593-4c99-89ce-c7294d2aaffa,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,4,10,0,10,0,10,0,10,0,AC,0,AC,0,,
c61e1702-f854-421c-824e-e77c99b4bddf,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,9,0,6,4,10,0,5,0,7,2,AC,0,NA,0,,
c852e147-70d9-4863-8b57-bf0d5f5b3203,F,No,ENFERMERIA GENERAL,MATUTINO,8,4,9,0,9,4,7,2,9,0,8,0,8,2,AC,0,AC,0,,
2f287269-ad71-4eaa-8a63-88db5be939eb,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,9,4,7,2,9,0,5,3,10,0,AC,0,AC,0,,
6b1c5f57-a173-416f-a6c8-049b82d7cd69,M,No,ENFERMERIA GENERAL,MATUTINO,5,2,9,0,9,4,8,2,10,0,10,0,7,0,AC,0,NA,0,,
f22dad28-d9f3-49de-bfad-4c7635aa037e,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,4,10,0,10,0,10,0,10,0,AC,0,AC,0,,
143c64cb-5391-4d0a-a1f3-fdb0684e88f8,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,4,10,0,10,0,10,0,10,0,AC,0,AC,0,,
22e87dd8-3a81-4745-bbf2-a0fc45fa3f2d,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,0,9,6,5,6,9,0,5,3,5,5,AC,0,NA,0,,
a7d06a5f-9ace-4abf-81f3-fe29e832cea4,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,8,4,8,0,10,0,8,2,7,1,AC,0,NA,0,,
79aec2dd-6207-4121-816f-3fa8ef0c52b8,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,4,8,0,10,0,9,2,10,0,AC,0,AC,0,,
f3062f00-e5ba-4b87-bf42-f771e04b7f89,F,No,ENFERMERIA GENERAL,MATUTINO,9,4,9,0,8,4,7,1,9,0,9,0,7,2,AC,0,AC,0,,
d7d92473-891d-4c3b-be16-2448ac90bfd6,F,No,ENFERMERIA GENERAL,MATUTINO,7,4,10,0,10,4,8,3,9,0,7,0,6,6,AC,0,NA,0,,
74ab8e2b-deee-4811-9cb9-dcecf34bd836,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,0,9,4,7,3,8,8,7,0,6,5,AC,0,NA,0,,
7c72c6b0-a70d-42bd-9cdc-c454f09ace52,M,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,0,9,4,9,2,10,0,9,0,9,2,AC,0,AC,0,,
3b67423e-8486-4d11-bf71-a886993e2930,F,No,ENFERMERIA GENERAL,MATUTINO,9,2,10,0,10,4,10,0,10,0,10,0,9,0,AC,0,AC,0,,
0e83aa0f-46ae-46e8-8e56-cd6a2c1e8c78,F,No,ENFERMERIA GENERAL,MATUTINO,5,6,10,0,9,4,6,10,9,0,5,3,5,8,AC,0,NA,0,,
