Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,APL,Faltas_APL,PRO0,Faltas_PRO0,APL0,Faltas_APL0,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
8301cce9-ceb5-4e4b-9037-1c36eff44439,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,9,0,10,0,10,3,10,1,10,0,10,0,AC,0,AC,0,,
124a8572-70e9-4c26-ab4d-12ec3414c27a,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
d4474695-6c9d-4df1-958b-3c30000ba737,F,Si,ENFERMERIA GENERAL,MATUTINO,6,1,6,2,8,4,6,4,8,2,9,0,5,0,,,,,,
29412f4d-c175-4373-b8a5-939c7d036107,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,0,9,0,10,0,10,0,10,2,AC,0,AC,0,,
cb7ae6bf-5197-4854-9dcd-97e53993c2c9,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,0,9,0,10,0,8,0,10,0,AC,0,AC,0,,
6cfef64f-0c8f-41fd-9352-3592b53e9432,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,10,0,10,2,10,0,10,0,9,3,AC,0,NA,0,,
74d2554c-5d6a-4249-8899-e951b60cde2c,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,8,0,10,0,10,0,9,0,AC,0,AC,0,,
3ffaeb54-756d-4a02-bd3c-37e5f755953b,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,9,0,10,0,10,0,9,0,AC,0,AC,0,,
a6a1813a-31fc-4215-be71-b70c40de55b4,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,10,1,9,0,10,1,10,0,9,0,AC,0,AC,0,,
ee5aaa25-0af7-45a7-8bbb-eef71c2141e5,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,9,0,9,0,10,0,10,0,10,0,AC,0,AC,0,,
e843bd82-fbcf-4087-a840-e0ea210835a7,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,10,0,6,0,10,0,10,0,9,0,AC,0,AC,0,,
87a228ca-b798-4d85-8d32-026a6e054fca,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,2,8,2,9,1,9,0,9,0,7,5,AC,0,AC,0,,
a3c107d9-69b0-41e2-805e-ecd9167df154,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
e5e62354-b161-4e72-a804-be84d43b3b27,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,10,0,10,2,9,4,10,0,10,0,7,5,AC,0,AC,0,,
126a8e76-38d5-4b5e-855a-f792e9012803,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,10,4,8,1,10,0,9,0,9,0,AC,0,AC,0,,
259cc67e-b057-4b37-a05f-90de0aecb9be,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,9,0,9,0,10,0,10,0,10,0,AC,0,AC,0,,
9654b6a4-d2c4-4336-9f98-7843fc4651af,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,,
1e701f3c-5ec6-456f-aace-acfea51623a5,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,9,1,10,0,8,0,10,0,9,0,9,3,AC,0,AC,0,,
c891de42-52ef-451e-b44e-b4e5c734069a,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,0,10,0,9,1,9,0,9,0,8,3,AC,0,AC,0,,
cb8e70b3-1d24-4eb5-8dfa-7c2bc88a06c1,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,6,0,9,2,8,1,10,0,10,0,8,0,AC,0,AC,0,,
1528d204-28fc-46f3-a9a7-0592e19f1cea,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,10,2,10,1,10,0,9,0,8,5,AC,0,AC,0,,
b69b2c4b-b47d-4cb6-8c6a-a2c052ed6df3,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,8,0,10,1,9,2,10,0,10,0,9,4,AC,0,AC,0,,
8be775c0-9080-4045-ac08-c431a3c895b6,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,10,0,10,2,10,0,10,0,10,0,AC,0,AC,0,,
da40d11c-7204-4066-a49a-b4855e010dec,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,2,10,0,10,0,10,0,10,0,AC,0,AC,0,,
8ccd34e3-8a37-4134-820f-e2bc4d23f30b,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,1,10,2,7,1,10,0,10,0,5,4,AC,0,AC,0,,
1f35c96f-0973-47b9-b7f3-848b080c05a1,F,No,ENFERMERIA GENERAL,MATUTINO,7,4,6,2,10,4,8,2,10,0,10,0,7,2,AC,0,AC,0,,
