Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,APL,Faltas_APL,PRO0,Faltas_PRO0,APL0,Faltas_APL0,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
2cb5926f-3308-4fba-83a6-86f8aed43602,F,No,ENFERMERIA GENERAL,MATUTINO,10,3,10,2,9,1,10,0,10,1,7,6,9,0,AC,0,AC,0,,
38d345f6-efd6-4847-8d3e-c48d3a7881c8,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,1,7,0,8,0,10,1,8,0,8,0,AC,0,AC,0,,
601b5148-7524-4d5c-9a5e-7114d6707e14,M,No,ENFERMERIA GENERAL,MATUTINO,8,1,9,0,8,2,10,0,10,1,9,3,9,2,AC,0,AC,0,,
f3168770-de4e-44f8-b612-35a4191d9093,F,No,ENFERMERIA GENERAL,MATUTINO,5,9,8,6,7,5,10,0,10,0,7,1,8,2,NA,0,AC,0,,
dde6ca84-f0b2-426b-be8a-8a059c1d55da,F,No,ENFERMERIA GENERAL,MATUTINO,7,6,8,5,5,4,8,0,8,4,10,5,9,2,AC,0,AC,0,,
973d3888-535a-4714-a88c-e5502287633c,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,0,10,1,10,0,9,0,9,2,10,0,AC,0,AC,0,,
00f76758-93e7-4b5b-91d4-52e95e5dc5fd,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,9,1,9,4,10,0,9,2,9,6,9,1,AC,0,AC,0,,
08f69855-660e-4ea6-b8df-d34bc0bbbbaf,F,No,ENFERMERIA GENERAL,MATUTINO,10,1,9,0,9,1,10,0,10,0,9,0,10,0,AC,0,AC,0,,
0a5b4494-4a20-48d1-a4b7-ba87d1f3cc4d,M,No,ENFERMERIA GENERAL,MATUTINO,10,1,9,2,9,1,7,0,8,2,9,1,9,0,AC,0,AC,0,,
13027bcc-56f6-492c-82a0-daf0bcc90bd5,F,No,ENFERMERIA GENERAL,MATUTINO,8,4,10,2,8,1,8,0,9,1,10,5,9,1,NA,0,AC,0,,
fbc65a1d-ac7c-4091-ad93-5bae04f6c3c1,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,10,1,9,0,9,0,8,1,9,0,8,0,AC,0,AC,0,,
95703397-e89d-436c-a511-f854090b76cc,F,No,ENFERMERIA GENERAL,MATUTINO,10,5,9,2,8,1,9,0,10,0,10,2,9,0,AC,0,AC,0,,
abcbddc4-0866-4ef8-90ec-d261e8433f58,F,No,ENFERMERIA GENERAL,MATUTINO,10,1,10,0,9,0,10,0,9,1,9,0,9,0,AC,0,AC,0,,
08b1e6db-3c8a-44cb-837e-493d60e3cae3,F,No,ENFERMERIA GENERAL,MATUTINO,7,6,8,2,8,4,9,0,10,0,7,6,9,1,AC,0,AC,0,,
74864c17-dff0-4b70-b353-5cfe139076fe,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,10,1,8,1,10,0,10,0,9,1,10,0,AC,0,AC,0,,
cbd8d3f5-946c-464c-9d04-86a810ab8d00,M,No,ENFERMERIA GENERAL,MATUTINO,10,1,10,0,9,1,10,0,10,0,10,0,10,0,AC,0,AC,0,,
0fb1fee8-a429-4117-bea5-f3a558a54dd5,F,No,ENFERMERIA GENERAL,MATUTINO,10,3,9,2,8,0,10,0,9,1,9,6,9,0,AC,0,AC,0,,
ea6132b0-250f-4ea4-ae7c-de52d7eb26d4,M,No,ENFERMERIA GENERAL,MATUTINO,5,5,8,2,5,2,7,0,10,0,9,6,8,1,NA,0,AC,0,,
05ccf9d5-0107-47a3-89a5-0d4b58e07b8e,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,8,3,7,4,9,2,10,0,9,0,9,0,AC,0,AC,0,,
149a5e31-c58e-43c1-b7e3-b9846516e640,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,1,10,3,10,0,9,1,9,3,10,0,AC,0,AC,0,,
b7686022-9435-4af4-a59b-cefe99132e21,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,10,1,9,0,9,0,8,1,9,0,9,0,AC,0,AC,0,,
051b507b-b9c7-42d6-9070-6591af217e51,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,1,10,0,10,0,10,0,7,0,10,0,AC,0,AC,0,,
ac0a4a1c-9671-4bcd-b5e0-58e4a9dd2385,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,9,1,8,1,10,0,10,0,9,4,9,0,AC,0,AC,0,,
70f474ef-b49d-4fc6-8c02-f396a6d5e7e8,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,9,0,10,0,AC,0,AC,0,,
ea763117-f3b6-43d5-b506-91f13ab1b52b,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,10,2,8,2,9,0,10,0,9,1,8,0,NA,0,AC,0,,
96bd50bc-392c-4629-bd12-10fd6f131ebe,F,No,ENFERMERIA GENERAL,MATUTINO,5,7,8,3,8,0,7,0,10,0,9,1,7,2,AC,0,AC,0,,
3739bbd7-e9e9-4583-8235-3abc1a6d406f,M,No,ENFERMERIA GENERAL,MATUTINO,8,5,8,5,5,4,9,0,9,0,10,8,9,1,AC,0,NA,0,,
d3aef8cc-44e5-498b-9b78-ae2720530da1,F,No,ENFERMERIA GENERAL,MATUTINO,10,1,10,1,10,0,10,0,10,0,10,1,10,0,AC,0,AC,0,,
325e5166-0e48-4165-a741-e282338f9bcc,M,No,ENFERMERIA GENERAL,MATUTINO,10,6,8,6,8,2,9,0,10,0,9,5,9,2,AC,0,AC,0,,
