Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,EJE,Faltas_EJE,APL,Faltas_APL,REA,Faltas_REA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
97d862c6-1498-4a8e-910b-14281cd3ffd5,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,2,10,0,9,0,10,4,9,0,10,0,AC,0,AC,0,AC,0,,
f3ad1f34-2e58-4fd7-aed9-d7202dc77aab,F,Si,ENFERMERIA GENERAL,MATUTINO,,,8,0,7,2,,,,,,,,,,,,,,,,
4396ac4a-46a0-44f0-b379-794cf2d892be,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
15151637-67f2-490c-9650-c04321caf7ca,M,No,ENFERMERIA GENERAL,MATUTINO,7,2,6,3,5,0,9,0,6,11,9,2,8,1,AC,0,AC,0,AC,0,,
b2671fb6-8101-40b6-8c03-c1a4b38d4058,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,5,12,,,,,,,,,,,,,,,,
7947f749-0faf-4ce5-bff0-6064a4d01e03,F,No,ENFERMERIA GENERAL,MATUTINO,9,2,6,1,5,0,9,0,7,9,9,1,10,0,AC,0,AC,0,AC,0,,
a52dad45-f443-4e62-9f08-0dc726bfbc86,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,8,6,5,4,9,0,5,5,8,1,10,0,AC,0,AC,0,AC,0,,
d95fca22-e845-489b-967f-5a3867f53138,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,7,4,5,3,10,0,5,8,8,0,9,1,NA,0,AC,0,AC,0,,
52428aaf-f248-442f-bdd5-dc276b8ce3d2,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,1,9,0,10,0,6,5,8,0,10,0,AC,0,AC,0,AC,0,,
bca334c5-1d64-409d-9524-0dedda593d24,M,No,ENFERMERIA GENERAL,MATUTINO,8,3,7,3,5,0,9,0,6,7,8,4,9,1,AC,0,AC,0,AC,0,,
e9343402-4d34-4ee2-ae24-81d8040bc2c0,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,7,2,8,0,10,0,5,7,8,2,10,0,AC,0,AC,0,AC,0,,
