Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,IMP,Faltas_IMP,APL,Faltas_APL,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
fa62753b-dad7-4ab8-abde-4496d198b9c9,F,No,PUERICULTURA,MATUTINO,5,2,9,3,5,2,7,2,9,0,10,0,7,4,NA,0,AC,0,AC,0,,
0d17b8a2-efdc-45e4-8fcc-15b6cb5ada01,F,No,PUERICULTURA,MATUTINO,8,0,8,2,7,2,10,0,10,0,10,0,8,4,AC,0,AC,0,AC,0,,
e0718359-f4b8-43bd-b7c9-dcb05f911841,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
05b4aa86-1f86-4acf-8d8d-03d959d65751,F,No,PUERICULTURA,MATUTINO,6,2,5,3,6,0,10,0,8,0,10,0,8,2,AC,0,AC,0,AC,0,,
0e7d5536-b7ff-4eeb-b1e8-f59d63763f84,F,No,PUERICULTURA,MATUTINO,9,0,7,1,7,0,9,0,9,2,10,1,8,0,AC,0,AC,0,AC,0,,
84ee1de1-0032-4f1f-bb8c-5c9ff65a8154,F,Si,PUERICULTURA,MATUTINO,,,,,,,,,9,0,,,,,,,,,,,,
a5e961e3-cd8d-4e9f-8060-9848da524233,F,No,PUERICULTURA,MATUTINO,7,0,5,4,7,3,9,0,10,2,10,0,7,6,AC,0,AC,0,AC,0,,
5abb89b9-072a-443b-9d2e-200fc31575bd,F,Si,PUERICULTURA,MATUTINO,8,5,,,7,2,,,,,,,,,,,,,,,,
57762ae8-2926-4896-a661-24c40adc336b,F,Si,PUERICULTURA,MATUTINO,,,,,,,,,8,0,,,,,,,,,,,,
5511f3fe-06ce-487c-a3e6-797a3f61fd71,F,No,PUERICULTURA,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
782c4c11-8804-4e7a-acaa-830822cf7816,F,Si,PUERICULTURA,MATUTINO,,,,,,,,,,,NP,22,,,,,,,,,,
0290e5a0-f6f2-4950-95bf-8c0f748db327,F,No,PUERICULTURA,MATUTINO,8,0,5,5,7,3,7,2,8,0,9,1,5,12,NA,0,AC,0,AC,0,,
223ad69a-4a44-4f2d-81f9-bb53bc93a2be,F,No,PUERICULTURA,MATUTINO,,,,,,,,,8,2,9,1,5,2,,,,,,,,
096a5906-20d5-4741-93a8-a3a36b78a583,F,No,PUERICULTURA,MATUTINO,8,0,5,1,8,0,9,0,9,0,10,1,9,4,AC,0,AC,0,AC,0,,
aed932d1-c743-4375-9015-ad1245c6adb7,F,No,PUERICULTURA,MATUTINO,8,0,5,4,6,0,9,1,9,2,9,3,7,4,AC,0,AC,0,AC,0,,
97d8a05d-1890-42f0-aaa9-d1e65259014f,F,No,PUERICULTURA,MATUTINO,9,0,8,4,7,0,9,0,10,2,10,2,8,1,NA,0,AC,0,AC,0,,
5f6ba717-2c78-4853-bb32-686b6f715cdd,F,Si,PUERICULTURA,MATUTINO,,,,,,,,,9,6,,,,,,,,,,,,
