Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,ELA,Faltas_ELA,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
8bef3a21-bb60-427b-a7a3-8e48eedf8526,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,7,5,5,2,6,5,7,12,6,0,AC,0,AC,0,AC,0,,
0ee2eb43-de6f-493f-94ed-a80f5d719205,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,1,,,6,0,,,,,,,,,,,,,,
54dd07ed-d8b5-4eb6-93d0-552eb9ef0451,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,5,4,,,,,,,,,,,,,,
cffaba15-401d-4416-a2a5-c04b004f9d92,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,9,1,,,,,,,,,,,,,,,,
bdec07ed-2a15-486e-8d8c-03c8cae30dd3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,10,NP,17,NP,18,5,12,5,34,5,34,NA,0,NA,0,AC,0,,
02de8aca-6ffe-4466-91e0-e0739af8b3a9,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,7,5,6,0,5,2,5,3,6,0,NA,0,NA,0,AC,0,,
07e7ab57-5442-4d39-a2ab-7131fa4c1394,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,NP,14,NP,17,NP,24,5,15,NP,37,5,34,NA,0,NA,0,NA,0,,
15e91846-4f0b-4d52-9f48-db2ee8c5a172,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,,,5,4,,,,,,,,,,,,,,
7dfe43cf-e094-4b69-a608-3d9109dbf804,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,6,4,,,,,,,,,,,,,,
310308eb-f702-4c46-aff6-bd0cbcf323ce,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,8,5,5,4,6,2,7,2,6,4,AC,0,AC,0,AC,0,,
1b7612dd-7014-4734-9c9f-5df610da992f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,10,4,6,2,,,,,,,,
4747a8f9-dee7-43ba-9449-b8fa520ce1fb,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,,,,,,,,,8,6,,,,,,,,
711f763f-0c6f-47b9-8ee7-3ae0f0a8df49,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,8,5,,,,,,,,,,,,,,,,
64efdbc8-f7e8-432b-a6d5-f1e8234ff612,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,10,5,,,,,,,,,,,,,,,,
