Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,CON,Faltas_CON,ELA,Faltas_ELA,MAN,Faltas_MAN,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
4c13e64f-002f-4ae4-bc7d-d4d15521a824,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,9,1,7,2,7,4,9,0,7,0,10,0,AC,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
0c4636bf-962e-42fd-aac8-f398b5a88637,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,5,8,5,6,5,6,4,8,0,7,0,7,4,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
21312013-1a09-42b4-8d42-948c9aa3da49,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,2,7,1,6,0,7,2,8,0,7,0,10,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
08a058b4-176b-4e66-992c-cd6a40ee4e41,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,2,7,1,8,0,6,0,9,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
446b2f3f-70e6-461a-88f0-37ad932a4482,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,8,0,6,2,6,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,NA,0,NA,0,NA,0,,
3ee4ca14-5ae2-4dc3-acf9-62f81275f598,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,8,1,6,0,9,0,6,0,6,0,10,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
089e087f-23eb-4003-8979-3ed1a56429d9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,0,7,0,10,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
5b88da62-0927-4984-989b-584c654c65e2,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,12,6,5,5,10,5,6,9,0,6,0,8,6,AC,0,AC,0,AC,0,NA,0,NA,0,NA,0,,
10e19257-eb13-4ad8-90c1-b98434d0cf3c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,3,7,3,6,5,7,2,8,0,7,0,8,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
fb41bb9b-231b-4bf1-a2d2-5c83ae9ccab9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,6,7,0,5,6,8,2,9,0,8,0,9,2,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
27a55ecf-3a32-4c1f-8b10-23e9491581c7,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,2,5,2,5,6,9,0,9,2,10,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
d4292f5b-2b2a-4abd-a411-c7fe4e06b368,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,12,7,5,6,10,6,16,8,0,7,0,9,4,AC,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
bf603bca-4630-426a-9cee-6129ce9b9bc4,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,NP,20,5,0,NP,24,,,,,,,,,,,,,,
26581d9d-d5b3-4e08-b1af-0a0c633388c0,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,10,3,5,5,5,8,8,0,5,0,9,2,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
c1a9215a-56fe-44d3-a1d7-3e192b12cbed,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,0,9,1,6,3,10,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
8eed7afe-d49f-4b11-9f18-1dd3e02bc537,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,
54168904-045d-4142-b81c-bcff2aa675b2,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,4,8,4,5,5,6,4,6,0,5,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
0b3ef4c9-9c07-481e-bc9c-b6065db30ecb,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,4,8,2,5,5,10,2,10,0,8,0,10,2,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
9c099207-93a4-4ea3-88d3-2f9971ac4894,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,
935e2d06-fd28-4735-87de-3f0fb6a5d890,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,9,8,4,5,2,5,8,10,0,8,0,8,2,AC,0,NA,0,AC,0,NA,0,NA,0,NA,0,,
007ccae1-d594-48d2-9387-f418aec9e0b9,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,2,10,3,6,4,10,0,9,0,8,0,10,4,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
da1150d8-3043-4478-b6fb-eb1199eb5dc5,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,7,7,2,5,4,5,8,8,3,5,3,10,2,AC,0,NA,0,NA,0,NA,0,AC,0,NA,0,,
f466ec33-1c35-4d42-9262-fe981562ffaa,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,10,3,6,7,9,2,9,0,7,0,10,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9c6e998a-f446-4388-bf29-8966d9113c0d,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,0,10,0,8,0,10,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
d5bd4964-1953-4e03-a36b-d4e04166c534,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
187068e9-6572-44cd-87fa-7d837c6062a1,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,6,2,7,0,6,2,8,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,NA,0,,
bae5acb1-c3d6-4f6d-98df-2a01f0323e9b,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,1,8,2,6,4,5,8,8,0,5,0,10,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
eef5f990-2755-4137-8799-62bb1d12119b,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,15,NP,10,5,0,5,8,5,5,5,5,5,0,AC,0,NA,0,NA,0,NA,0,NA,0,NA,0,,
dfdcec1c-b585-4693-b092-5e75778525d1,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,0,9,1,8,0,10,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
