Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,INS,Faltas_INS,DIA,Faltas_DIA,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
47e701fa-5366-4b7b-a0f0-565348302f1b,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,4,5,0,7,0,5,4,5,16,5,0,AC,0,AC,0,NA,0,,
97efe19b-880f-4cb4-95dc-5a719ea8b8e1,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,10,0,10,0,10,0,9,0,10,2,9,0,AC,0,AC,0,AC,0,,
debfcd66-e9a1-4b57-8987-879d8ddebff2,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,5,5,7,10,0,5,6,5,20,5,0,NA,0,AC,0,NA,0,,
44110bb5-e148-4205-92e0-8a54f62a8ebe,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
86a4dc51-877e-406c-81a6-2c40e66c7d7a,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,8,0,5,0,8,6,8,0,NA,0,AC,0,AC,0,,
37cf700c-3804-41fa-8f30-3104951c10c1,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,5,5,6,7,0,5,6,5,18,5,0,AC,0,AC,0,NA,0,,
fbf1f515-d21c-4bd2-88bc-f0638a2932ee,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,5,0,9,0,10,0,8,0,7,0,10,0,AC,0,AC,0,NA,0,,
32d49334-2b66-4bd0-9a01-428ab3c26fd2,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,0,5,2,,,5,1,5,3,5,0,,,,,,,,
0cff89b0-430b-473f-8bec-38244e251e7d,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,8,1,5,0,7,0,8,1,9,2,8,0,AC,0,AC,0,AC,0,,
bebb0cf1-79f2-4b8a-af64-3357b9ae55bb,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,4,5,4,7,0,5,3,5,14,5,0,NA,0,AC,0,NA,0,,
fb41bb9b-231b-4bf1-a2d2-5c83ae9ccab9,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,7,5,,,,,,,,,,,,,,,,,,
34c77275-e77a-40b4-bb38-13d1145ce696,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,8,0,5,3,,,5,1,5,11,5,0,,,,,,,,
0d98e3d9-0bca-4f51-9d08-77a05b042f58,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,6,0,9,0,5,1,7,7,7,0,AC,0,AC,0,AC,0,,
f72f7ffe-fe3d-405a-bdbb-77e1d47f2d25,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,8,0,5,2,9,0,9,2,8,4,10,0,AC,0,AC,0,AC,0,,
fa6c6bde-8327-4704-8a97-cf791942e967,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,8,1,5,6,7,0,8,6,5,17,8,0,NA,0,AC,0,AC,0,,
d4292f5b-2b2a-4abd-a411-c7fe4e06b368,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,,,,,5,0,,,,,,,,
01856e3a-30e5-478c-931f-f0a8d52fa7d9,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,10,2,5,2,,,,,8,9,,,,,,,,,,
212a294e-d0f1-45a4-bdda-28c770867416,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,NP,8,,,7,0,,,NP,36,5,0,,,,,,,,
80d3d648-f408-4d6e-bb99-8c242b9b6bbd,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,6,1,6,0,,,7,6,NP,34,NP,19,,,,,,,,
94b0c95a-f545-4f4b-b30e-da9c7148556e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
0c84ce23-60da-4557-ab8f-9da61fa5f394,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,,,5,1,,,,,7,11,,,,,,,,,,
a482a813-dfa2-41ea-a02f-58467340bc76,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,5,NP,18,,,NP,20,5,30,5,0,,,,,,,,
6f6be71e-b907-4604-a65c-5f741121113e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,9,0,5,0,7,0,9,0,10,1,9,0,AC,0,AC,0,NA,0,,
79994c60-bc85-4612-b790-531b81ebd08f,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,10,0,7,1,10,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,,
935e2d06-fd28-4735-87de-3f0fb6a5d890,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,NP,20,NP,36,5,0,,,,,,,,
3b636a0b-8751-4c9a-9a43-546f635c6c70,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,10,0,9,0,7,0,8,0,10,2,8,0,AC,0,AC,0,AC,0,,
059af107-2415-4182-8b28-5d511a82bb85,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,5,1,5,2,8,0,7,0,10,2,8,0,NA,0,NA,0,AC,0,,
1131d528-b43f-480a-a8e2-aa869c14584d,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,2,8,0,10,0,8,0,8,2,9,0,AC,0,AC,0,AC,0,,
fbfb350c-859a-4b04-84f2-f4541bd15d02,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,0,9,0,10,0,9,1,8,2,10,0,AC,0,AC,0,AC,0,,
cf70ede7-5076-49bd-b712-e7afb91b75e7,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,1,8,0,6,0,8,2,9,0,NA,0,AC,0,AC,0,,
8693d118-b341-4383-bad7-c67d9dee2e49,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,2,5,4,7,0,5,2,5,9,5,0,AC,0,NA,0,NA,0,,
bd1b0c81-2936-4adb-add3-175c3dfb8cb5,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,5,5,9,7,0,5,6,5,22,5,0,NA,0,NA,0,NA,0,,
89216aec-7029-4a81-b84b-ca61aeb5cd12,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
0dc23df2-f2da-4072-bc70-d57acfec785c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,4,NP,15,7,0,5,6,5,27,5,0,AC,0,AC,0,NA,0,,
e2a49180-e031-4f75-81a0-bdf9a713f0e3,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,10,0,8,0,10,0,8,0,10,1,9,0,AC,0,AC,0,AC,0,,
