Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,REA,Faltas_REA,REA0,Faltas_REA0,REA1,Faltas_REA1,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
9c0b3b2c-6650-4ea4-940f-b4310c4deda5,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,13,5,10,NP,15,5,38,NP,15,NP,0,NP,0,NA,0,NA,0,NA,0,NA,0,AC,0,,
c9aeb769-6ae5-494b-a0dc-32834160e46a,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,5,4,5,2,9,1,6,0,8,0,10,0,AC,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
5018e636-55b0-4a13-bcbf-9a33781a06b0,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,0,,
d145fcfc-3f85-46b2-92ed-45bc8c76336b,F,Si,ENFERMERIA GENERAL,MATUTINO,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
0da49f59-1fa0-4624-bbf1-1727483cfce6,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,0,8,3,9,0,10,0,10,1,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ec8d9f3b-9a1a-4a9b-8b18-2d85c110364d,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,2,5,9,5,3,5,29,NP,5,10,0,NA,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
3bb504bd-30c5-4055-8b8a-2676ab5f8939,F,Si,ENFERMERIA GENERAL,MATUTINO,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,
54775879-40e8-48c4-b7c8-a6476985fb14,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,2,5,3,10,0,6,3,8,1,10,0,NA,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
e819bb71-54fc-4e9e-8a9d-56838c4a6e0c,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,3,6,5,10,2,6,4,10,1,9,0,NA,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
3e43ce7b-1f27-4a73-8d73-76c15dd4e338,F,Si,ENFERMERIA GENERAL,MATUTINO,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
a1cb8131-060d-4c00-8521-40ece858f73f,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,5,2,10,2,10,0,10,1,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
c6b4e9a4-891d-49ec-8ff4-b74650683a7e,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,2,5,1,9,1,9,0,8,1,10,0,NA,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
0e5f6526-9177-40ea-8681-4b3bd483e383,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,6,1,10,1,10,0,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
00a5efb0-5636-4ce1-b6da-a1717b327eb5,F,Si,ENFERMERIA GENERAL,MATUTINO,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,
61f8125a-5b5e-4486-96b4-0e6f290ba883,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,8,5,7,9,8,5,42,NP,6,10,0,NP,0,NA,0,NA,0,NA,0,AC,0,AC,0,,
a93249d4-e28f-40e9-8204-ace3eca140be,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,3,5,5,10,5,6,8,9,1,8,0,NA,0,NA,0,NA,0,NA,0,AC,0,AC,0,,
4ddf8346-6c05-4289-a28d-ba66775ffa1a,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,5,5,2,10,2,8,1,8,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
46efa1ab-7b20-4ddc-aebf-8f7a2abd722a,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,7,0,9,2,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e5e62354-b161-4e72-a804-be84d43b3b27,F,Si,ENFERMERIA GENERAL,MATUTINO,7,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
295b5cd7-906e-499b-98a1-6afe0ec68b89,F,Si,ENFERMERIA GENERAL,MATUTINO,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,
cad8d614-4787-4bf4-afb0-3c552a5c381d,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,6,2,5,0,9,1,9,3,8,0,9,0,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
a53eca22-7fca-4893-89da-031b0cf3576e,M,Si,ENFERMERIA GENERAL,MATUTINO,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4c152647-0687-4312-9e47-e09d9f62175b,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,8,0,6,2,10,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
93d3af94-e6b7-44ab-bed5-72a6c5f072a0,F,Si,ENFERMERIA GENERAL,MATUTINO,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8ae500aa-7e52-4fd5-81eb-49db6401ff59,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,6,3,5,2,10,0,8,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
5a4bd033-2c2b-4544-9f1b-ac6e6a876c5a,M,Si,ENFERMERIA GENERAL,MATUTINO,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22d9aa61-b7a9-4d4a-a4c3-f8b2336d51cc,F,Si,ENFERMERIA GENERAL,MATUTINO,7,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,
1a91d0e3-2450-41ee-8688-33b17b9f0478,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,3,5,4,9,3,6,0,8,1,9,0,NA,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
