Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,APL,Faltas_APL,PRO0,Faltas_PRO0,APL0,Faltas_APL0,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0
a5a76273-8884-4beb-b738-90f1249db4bd,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,8,0,10,1,10,0,10,0,10,0,AC,0,AC,0
9afd1755-f2b4-46a6-81e8-3f9d23fc653c,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,6,3,,,,,,,,,,,,
006d3f45-e9e9-45aa-af08-d2b58adf9ad9,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,6,3,7,3,10,0,9,0,6,0,7,1,AC,0,NA,0
754e4ac0-4866-498f-87a4-1634ca03e279,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,2,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0
26029d02-d453-4b21-bbe1-65020e97ac0d,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,6,4,10,0,10,0,7,1,8,0,AC,0,AC,0
85dcdb18-0016-4e4b-a699-010ad2f00978,F,No,ENFERMERIA GENERAL,MATUTINO,6,5,5,4,6,9,10,0,8,0,5,3,6,2,AC,0,NA,0
f468229e-8ffb-461c-810a-a245b4f2d119,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,8,1,5,2,10,0,10,0,7,0,8,0,AC,0,AC,0
4222a0f0-2e73-4b7e-baed-483e1210feda,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,6,2,10,0,10,1,10,0,10,0,8,0,AC,0,NA,0
e8992661-db1b-4b03-ba6f-89ec12985590,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,2,10,0,10,1,10,0,10,0,10,2,AC,0,AC,0
09a44b76-9a5a-48c3-a954-9f0bb1fef13a,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,9,0,7,4,10,0,10,0,7,2,8,2,AC,0,AC,0
a16c9696-174d-4275-9c45-c57c1e42b31c,M,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,3,8,0,9,1,10,0,8,0,8,0,AC,0,NA,0
bf10e124-3a3f-4a56-8900-7925a8235ea3,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,10,0,10,1,10,0,9,0,10,2,10,2,AC,0,NA,0
a1559d62-55c0-4852-8374-c60782e64abf,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,8,1,8,0,9,1,10,0,9,2,8,0,AC,0,NA,0
8125d424-c45a-4658-926a-e7da2d614ba0,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,7,2,10,2,10,0,10,0,8,1,9,1,AC,0,AC,0
94f58bd5-580b-430d-b91d-50006733fc43,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,10,2,5,7,10,1,8,0,6,2,6,4,AC,0,NA,0
69413fff-29dc-4297-aa9a-a3e62f2a4d6a,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,10,0,10,0,10,0,9,0,AC,0,AC,0
eb462056-082a-4d6e-a264-9abf5f56132c,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,5,4,5,4,10,1,8,0,9,2,10,2,AC,0,NA,0
03fab1ad-5d70-4d4c-a39e-6b9c32c8a9c2,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,2,10,6,10,0,10,0,10,2,10,0,AC,0,AC,0
fabca5b9-8c7b-4473-8b8a-0af75a67e8bc,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,3,10,3,10,0,10,0,10,2,10,0,AC,0,NA,0
14ec5c6f-9c05-40c9-b14e-0f36fb552117,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,7,4,10,2,10,0,9,0,8,0,10,0,AC,0,AC,0
66d2a441-8557-4f70-ba23-03f2b9073ccd,M,No,ENFERMERIA GENERAL,MATUTINO,6,3,5,4,5,8,9,0,8,0,5,2,5,4,AC,0,NA,0
b9cb5b0c-e8ff-4c02-aba5-8a17b64997ae,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,10,0,10,0,10,0,10,0,9,0,AC,0,AC,0
