Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,PRO,Faltas_PRO,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
beb4554b-6ff7-4685-b104-237b64ce16a3,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,6,0,7,0,10,0,5,0,10,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
c740e564-78c6-4f03-a8da-076a03d7177e,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,0,8,0,8,0,10,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
831c70af-1fdd-4a00-afdb-f4579473202e,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,5,3,NP,16,5,12,5,10,10,0,NA,0,NA,0,AC,0,NA,0,NA,0,NA,0,,
4969c3e1-d4cc-4c98-86f7-69171b3f4932,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,10,0,9,0,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e41cdcda-66f3-478e-bcaa-bd5471f8a428,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,1,8,0,10,0,8,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
63391655-3ffa-4d2f-8874-9891cc121baf,M,No,ENFERMERIA GENERAL,MATUTINO,6,4,5,1,8,1,9,0,6,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
aa1a0d19-0e84-4699-878c-0b26343b4ad6,M,No,ENFERMERIA GENERAL,MATUTINO,8,2,8,0,5,2,10,0,6,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
34246b29-3ab4-426b-ad62-5a56aaaeced8,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,9,0,10,0,10,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
94b0c95a-f545-4f4b-b30e-da9c7148556e,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,5,2,,,6,3,,,,,,,,,,,,,,,,
811430c6-b2a8-4497-8c13-dc5801d32729,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,9,0,9,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
916434e4-1bf7-4087-91ce-4f6bcb867018,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
0ba2afae-e540-4f2b-9f24-8a783e575382,M,No,ENFERMERIA GENERAL,MATUTINO,7,2,5,2,8,0,8,0,6,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
16ef506f-5805-4e5e-aea0-bd7f3e541527,M,No,ENFERMERIA GENERAL,MATUTINO,7,2,5,0,5,0,8,0,6,0,7,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
ebaec0b0-e607-4919-9b98-b2a444770b9c,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,9,0,7,0,8,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
378cbeae-fba1-49e3-bbf6-8a1b035dd12a,M,No,ENFERMERIA GENERAL,MATUTINO,5,6,5,2,6,0,8,0,5,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
61badcca-b6b9-4369-bb5a-459b176b0943,F,No,ENFERMERIA GENERAL,MATUTINO,7,6,6,2,8,0,9,0,5,2,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
2cb6b5d8-7ef9-4431-8b78-c414270edf8c,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,5,8,10,0,5,5,,,,,,,,,,,,,,,,
7b270e7a-af2b-44f0-9223-5cb8ba2d473b,M,No,ENFERMERIA GENERAL,MATUTINO,5,6,5,0,7,3,8,0,5,2,9,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
afaa11fc-1396-43fb-8b42-b0895072093f,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,1,9,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
196d3147-33b4-447f-af88-01f363c00aea,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,0,7,2,9,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
288726cb-5946-4c41-96c9-3fab51ac135f,M,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,2,9,0,10,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
4e6a97bb-aa77-41b0-a7a3-1510dd05742b,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,6,0,7,0,8,0,6,2,8,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
e423dbe6-f0f0-4f12-a862-df7df22bbdb1,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,9,0,10,1,9,0,10,2,10,0,,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
a947242d-a1c8-4957-9902-02f6b8739877,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,7,0,8,0,10,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
096a974b-cc18-45cb-8c44-5da2705365f7,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,5,1,5,0,10,0,5,0,7,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
f1753a84-f5a0-4d09-8666-76cc73682bbb,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,9,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
55ca528b-ed9c-467b-a6b9-fec574b3ba44,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,0,8,0,10,0,6,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
b6161662-7c10-4248-8828-53692855e046,F,No,ENFERMERIA GENERAL,MATUTINO,9,2,9,1,10,2,8,0,5,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
287b56ef-9b63-49d9-9d8b-b388365e26b9,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,1,8,0,8,0,7,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
631ec6cc-d47e-4cc0-b7ac-cb0b0ab6e440,M,No,ENFERMERIA GENERAL,MATUTINO,5,6,5,2,5,1,8,0,6,0,7,0,AC,0,,,AC,0,NA,0,NA,0,AC,0,,
efcdbd2c-86ab-49d1-9cb4-b7c0ebed6eb3,M,Si,ENFERMERIA GENERAL,MATUTINO,7,2,,,,,,,,,,,,,,,,,,,,,,,,
a2e99553-09b9-45a2-b66d-b2e18ea9fa75,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,10,8,4,5,12,NP,16,10,0,AC,0,,,AC,0,NA,0,NA,0,NA,0,,
7754da5b-bd9a-4489-8dac-abe783f91ef1,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,0,5,2,9,0,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
bf89593d-6835-4d75-9d50-d24ffc357625,M,No,ENFERMERIA GENERAL,MATUTINO,10,6,7,0,8,0,9,0,6,4,10,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
8ff2c935-902b-4070-bc10-29ee456cf781,M,Si,ENFERMERIA GENERAL,MATUTINO,7,2,,,,,,,6,4,,,,,,,,,,,,,,,,
f5bad58e-33ba-4e48-98e0-3947b1a3ce59,F,No,ENFERMERIA GENERAL,MATUTINO,8,4,9,0,9,3,8,0,5,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9bc9ed8b-15c0-49c0-ae0f-abdd1a8b54ef,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,7,0,8,0,8,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
21462427-55bb-4501-88de-559408d7f8fb,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,10,0,9,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e8832c84-e679-48d0-a878-0b612ee3d3a9,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,5,1,10,0,6,2,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
