Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
a1a945ee-5a23-45d1-a000-14c86f2953cd,F,No,FORMACION BASICA,MATUTINO,6,1,9,2,9,0,10,0,7,0,9,0,AC,0,AC,0,NA,0,AC,0,,
a17e4a25-3670-4949-bab3-a3e17c213379,F,No,FORMACION BASICA,MATUTINO,6,1,10,0,10,0,9,0,8,0,9,0,AC,0,AC,0,AC,0,NA,0,,
151b9adc-2175-4882-892b-f4a0cc88413f,F,No,FORMACION BASICA,MATUTINO,8,0,9,2,9,0,10,0,9,0,10,2,AC,0,AC,0,AC,0,AC,0,,
0282f704-5a51-4edf-9ac4-09ac21252af9,F,No,FORMACION BASICA,MATUTINO,6,1,10,0,8,0,8,2,8,0,9,1,AC,0,NA,0,AC,0,AC,0,,
46e208b7-d8fb-4d56-9f11-8b45045f62de,F,No,FORMACION BASICA,MATUTINO,6,1,8,0,10,0,10,1,7,0,9,0,AC,0,AC,0,AC,0,AC,0,,
a62d54cf-5ea0-47d6-96e2-4b7cb464c304,F,No,FORMACION BASICA,MATUTINO,6,3,7,4,8,2,5,1,9,0,7,5,AC,0,NA,0,AC,0,AC,0,,
d95fca22-e845-489b-967f-5a3867f53138,F,Si,FORMACION BASICA,MATUTINO,6,5,,,,,,,,,,,,,,,,,,,,
5a280ee5-492f-4d94-86fb-2b975a25fabe,F,No,FORMACION BASICA,MATUTINO,6,1,10,0,9,0,8,0,8,0,8,2,AC,0,AC,0,AC,0,AC,0,,
1fccd84e-08e2-450c-82c0-a200dfcb3ec2,F,No,FORMACION BASICA,MATUTINO,6,1,10,0,9,0,9,0,8,0,8,2,AC,0,NA,0,AC,0,AC,0,,
20b7f1cc-d58f-4688-b4df-eb04cb8bb824,F,No,FORMACION BASICA,MATUTINO,6,0,6,0,9,0,5,0,9,0,7,3,AC,0,NA,0,AC,0,NA,0,,
