Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,ASI,Faltas_ASI,APL0,Faltas_APL0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
d65822f5-a4e2-40ab-9c5d-443f5a952f9f,F,No,PUERICULTURA,MATUTINO,7,0,5,1,9,0,6,0,9,1,6,3,9,0,AC,0,AC,0,AC,0,AC,0,,
268dd9e6-e076-4a70-b8ec-20db305509f6,F,No,PUERICULTURA,MATUTINO,5,0,7,2,6,0,8,0,9,2,7,3,8,0,AC,0,AC,0,AC,0,AC,0,,
26217e10-1556-4c77-8d3a-ede86611c60f,F,No,PUERICULTURA,MATUTINO,5,2,6,0,9,0,10,2,8,0,9,1,10,0,NA,0,AC,0,AC,0,AC,0,,
49500334-b8f1-49dd-9f01-d670fccfaf52,F,No,PUERICULTURA,MATUTINO,5,1,9,1,9,0,9,0,10,0,7,1,8,0,AC,0,AC,0,AC,0,AC,0,,
bcc837f3-f6f5-4d57-afd1-2359a01b013d,F,No,PUERICULTURA,MATUTINO,NP,18,NP,15,NP,18,NP,20,10,0,NP,30,5,22,NA,0,AC,0,AC,0,NA,0,,
79e79001-d88f-4c9a-ba89-e869ac53ee93,F,No,PUERICULTURA,MATUTINO,6,0,8,0,10,0,9,0,10,0,9,2,10,0,AC,0,AC,0,AC,0,AC,0,,
17021339-c990-40cc-9191-98b91e2c327a,F,No,PUERICULTURA,MATUTINO,6,0,6,0,9,0,6,0,10,0,8,3,10,0,AC,0,AC,0,AC,0,AC,0,,
5cc839e1-8205-4ee9-8d33-cc183572339f,F,No,PUERICULTURA,MATUTINO,7,0,5,1,5,4,6,1,8,0,5,10,8,6,AC,0,AC,0,AC,0,AC,0,,
20825805-7aa4-4e8e-93b4-b78f81a3d712,F,No,PUERICULTURA,MATUTINO,7,0,10,0,8,0,9,0,9,0,8,1,10,0,AC,0,AC,0,AC,0,AC,0,,
d5f45ce1-d7be-471f-9747-c3938b0c3c0e,F,No,PUERICULTURA,MATUTINO,7,0,8,0,10,0,6,0,9,2,8,2,8,0,AC,0,AC,0,AC,0,AC,0,,
ee8d7956-9bb6-42d2-8b93-a2d3c924f28a,F,Si,PUERICULTURA,MATUTINO,6,1,7,0,,,10,4,,,9,2,10,0,,,,,,,,,,
97235b95-aec6-4373-a54d-d3b1e5124a39,F,No,PUERICULTURA,MATUTINO,6,0,5,1,8,0,6,0,10,0,5,6,10,0,AC,0,AC,0,AC,0,AC,0,,
e1609357-41da-4031-b683-90ef3e930e87,F,No,PUERICULTURA,MATUTINO,7,0,6,0,8,2,6,2,10,1,5,6,9,0,NA,0,AC,0,AC,0,AC,0,,
cbe75368-edad-44a4-a9f2-9b05ffc109b5,F,No,PUERICULTURA,MATUTINO,6,0,5,0,7,1,5,1,9,2,6,3,8,3,AC,0,AC,0,AC,0,AC,0,,
8c9679bd-814c-4e0f-a0dd-f76074408b2a,F,No,PUERICULTURA,MATUTINO,6,0,5,0,7,2,8,0,10,1,5,3,10,0,AC,0,AC,0,AC,0,AC,0,,
0ae4bc7e-ae2b-4511-ab13-919ff8a4e255,F,No,PUERICULTURA,MATUTINO,NP,18,NP,15,NP,18,NP,20,NP,20,NP,30,5,20,NA,0,AC,0,AC,0,NA,0,,
05258a9d-9754-4f90-9e3e-03a5ddb80ba8,F,No,PUERICULTURA,MATUTINO,5,1,5,4,7,0,6,2,9,0,8,9,9,2,NA,0,AC,0,AC,0,NA,0,,
c2d35063-bf45-4a1a-a3e8-cd07e0763974,F,No,PUERICULTURA,MATUTINO,6,0,5,0,9,0,9,2,9,0,7,2,10,0,AC,0,AC,0,AC,0,AC,0,,
71e823c9-ee90-49ee-a5ca-10fe8d7b3877,F,No,PUERICULTURA,MATUTINO,5,0,5,1,8,0,7,0,9,0,6,1,7,0,AC,0,AC,0,AC,0,AC,0,,
e3a65983-1121-4059-b5bf-6fc62748f9ee,F,No,PUERICULTURA,MATUTINO,5,2,5,0,5,2,5,9,9,3,5,7,9,0,NA,0,AC,0,AC,0,AC,0,,
40dc5c3d-50ec-436c-b728-4c4bb0eb92bd,F,No,PUERICULTURA,MATUTINO,5,2,5,3,6,2,5,2,8,1,5,6,7,3,NA,0,AC,0,AC,0,AC,0,,
347beb46-0cd7-453d-9cc1-de89caa4b3d9,F,No,PUERICULTURA,MATUTINO,7,0,8,0,9,0,8,5,10,1,5,3,10,0,AC,0,AC,0,AC,0,AC,0,,
d5717944-221a-43d6-a9a0-6de0eeec47a2,F,No,PUERICULTURA,MATUTINO,5,4,5,0,8,4,5,6,9,3,5,3,9,4,NA,0,AC,0,AC,0,AC,0,,
0fe66d35-a905-4b45-b595-3c3b22672d1a,F,No,PUERICULTURA,MATUTINO,5,0,5,0,9,0,5,0,10,0,6,1,7,0,AC,0,AC,0,AC,0,AC,0,,
d3bda90d-17e9-4c58-b681-06f174bdac8e,F,No,PUERICULTURA,MATUTINO,7,0,9,3,10,0,10,0,10,0,9,1,10,0,AC,0,AC,0,AC,0,AC,0,,
cdcb2f1e-7622-44ba-ba41-4d350532c1ea,F,No,PUERICULTURA,MATUTINO,7,0,7,0,9,0,7,2,10,0,9,2,10,0,AC,0,AC,0,AC,0,AC,0,,
