Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,ASI,Faltas_ASI,APL0,Faltas_APL0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
271a2c14-7c04-4409-9294-61c8bcf09794,F,Si,PUERICULTURA,MATUTINO,,,5,4,,,6,0,,,,,,,,,,,,,,,,
d224b398-2594-4914-8582-0ebae78ae8fb,F,No,PUERICULTURA,MATUTINO,7,1,10,5,9,0,10,0,10,4,5,4,8,0,AC,0,AC,0,AC,0,AC,0,,
dea3209d-4162-4670-b577-f3e1b9b2e576,F,Si,PUERICULTURA,MATUTINO,,,7,1,,,5,,,,,,,,,,,,,,,,,
bb4a436b-5231-4196-8cc7-040b7606be58,M,No,PUERICULTURA,MATUTINO,5,0,9,0,9,4,10,0,10,0,8,0,7,2,AC,0,AC,0,AC,0,AC,0,,
a6c7689a-9d88-417b-9efd-757277d389a9,F,No,PUERICULTURA,MATUTINO,7,1,9,1,9,2,9,4,10,4,5,6,5,1,AC,0,NA,0,NA,0,AC,0,,
56b4f16a-ddc3-44b7-8d8e-93e899befe98,F,No,PUERICULTURA,MATUTINO,5,8,5,6,7,4,7,7,7,6,5,5,5,3,NA,0,NA,0,NA,0,NA,0,,
201e0535-8eeb-4444-8218-af5253a9061f,F,No,PUERICULTURA,MATUTINO,5,5,5,3,5,2,7,0,5,12,5,10,5,4,NA,0,NA,0,NP,0,NP,0,,
8c4230b5-6d68-40bf-9bd8-630d8c0a9a09,F,No,PUERICULTURA,MATUTINO,6,1,8,0,8,2,7,5,9,4,5,6,8,0,NA,0,NA,0,NA,0,AC,0,,
9802a92c-04a5-4784-9b45-57fecf728219,F,No,PUERICULTURA,MATUTINO,10,0,10,0,9,0,9,1,10,0,10,2,8,0,AC,0,AC,0,AC,0,AC,0,,
3f5cb80c-304a-456b-b30b-d8e194499a49,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,9,2,10,0,10,1,9,0,AC,0,AC,0,AC,0,AC,0,,
9bfd8f6b-1cf3-4e40-bf1e-6f4f7ded8871,F,No,PUERICULTURA,MATUTINO,5,2,9,1,8,0,9,3,8,1,6,0,6,0,NA,0,NA,0,NA,0,NA,0,,
9b719637-edc7-492c-9971-09f328bcce98,F,No,PUERICULTURA,MATUTINO,6,1,8,1,9,2,9,3,10,7,8,3,7,0,AC,0,AC,0,AC,0,AC,0,,
9036363f-3683-4d93-a9e9-8426095a479a,F,No,PUERICULTURA,MATUTINO,9,2,10,0,10,2,9,5,8,2,9,4,7,0,AC,0,NA,0,AC,0,AC,0,,
e8203fae-bb1d-4c62-be9e-557889420e3d,F,No,PUERICULTURA,MATUTINO,5,1,8,5,8,4,9,7,10,4,5,2,7,1,AC,0,AC,0,AC,0,AC,0,,
56e03adc-df8c-4d8a-8a04-d5d6600f697c,F,No,PUERICULTURA,MATUTINO,9,1,9,1,9,2,10,3,10,5,9,2,7,0,AC,0,AC,0,AC,0,AC,0,,
b81f4730-9000-4e12-b04f-7a8ab9d26df2,F,No,PUERICULTURA,MATUTINO,5,5,8,0,9,3,8,2,7,8,5,11,6,1,NA,0,NA,0,NA,0,NA,0,,
17b91b34-ae63-4ae1-baf3-5e70a1598967,F,No,PUERICULTURA,MATUTINO,5,8,7,5,8,2,6,11,8,12,5,10,5,7,NA,0,NA,0,NP,0,NA,0,,
07583500-de01-4743-85c7-93992e4d064b,F,Si,PUERICULTURA,MATUTINO,5,,9,3,,,,,,,,,,,,,,,,,,,,
615fb6eb-f5ae-4e79-9458-00d621f97f0a,F,No,PUERICULTURA,MATUTINO,5,2,9,1,7,4,8,6,9,4,5,4,7,0,AC,0,NA,0,NA,0,AC,0,,
aa4f3d3c-95ef-40a8-bb50-b94554157e53,F,No,PUERICULTURA,MATUTINO,5,0,9,2,8,2,9,3,8,1,7,0,9,1,AC,0,AC,0,AC,0,AC,0,,
617cefb0-2d16-4c69-aeea-31b503e80cb9,F,No,PUERICULTURA,MATUTINO,5,3,7,4,7,4,5,6,8,10,5,8,7,0,NA,0,NA,0,NA,0,NA,0,,
39a1653e-35d0-401b-a01b-9c88e35c2108,F,No,PUERICULTURA,MATUTINO,5,0,10,0,9,4,9,5,10,0,8,0,7,0,AC,0,NA,0,AC,0,AC,0,,
ac0d2abf-2303-4142-8a59-5dceed86196f,F,No,PUERICULTURA,MATUTINO,5,5,7,7,8,4,5,11,7,8,5,7,5,6,AC,0,NA,0,NA,0,NA,0,,
2174cd65-d5da-475f-bc43-cff9bb247572,F,No,PUERICULTURA,MATUTINO,6,0,10,0,10,0,9,1,10,0,9,0,7,0,AC,0,AC,0,AC,0,AC,0,,
e7f167eb-f9d3-4900-a75e-581aba027d76,F,No,PUERICULTURA,MATUTINO,5,4,7,7,8,2,7,12,8,6,5,11,5,3,NA,0,NA,0,NP,0,NA,0,,
