Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,APL,Faltas_APL,APL0,Faltas_APL0,APL1,Faltas_APL1,APL2,Faltas_APL2,CAM,Faltas_CAM,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
9e0601fb-36b6-40c2-84b4-9f9f17175514,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,5,9,5,4,10,0,9,1,7,0,10,0,10,0,,,AC,0,AC,0,AC,0,,
ae9e1b4e-6556-4195-a040-e557cddaf04b,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,4,5,4,9,4,7,2,10,4,9,0,9,0,,,AC,0,NA,0,AC,0,,
d65718fa-2c62-495a-a6ee-d6116c725f48,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,5,4,10,0,9,1,10,9,10,0,10,0,,,AC,0,AC,0,AC,0,,
a7530ed6-7af3-4d4a-a7d1-7b844f8c0b6c,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,4,9,2,10,0,10,0,8,0,9,0,9,0,,,AC,0,AC,0,AC,0,,
39836f75-8ec9-4da4-b650-a9aad0537fc6,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,2,10,0,10,0,10,1,10,4,9,0,9,0,,,AC,0,AC,0,AC,0,,
31b9d49a-749a-4e01-8b67-6ce7edc8bb38,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,8,5,11,8,2,7,0,6,12,10,0,10,0,,,AC,0,NA,0,AC,0,,
1e1476a7-03ca-44d8-bc12-0368cb542be9,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,2,8,0,10,0,10,2,10,0,9,0,9,0,,,AC,0,AC,0,AC,0,,
094d80c9-5f00-440a-8190-0d5a90f52128,M,No,ENFERMERIA GENERAL,MATUTINO,6,6,5,10,5,12,6,0,6,2,6,1,9,0,9,0,,,AC,0,NA,0,AC,0,,
1e71af9d-1955-4281-a937-c74f3666a448,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,5,10,0,10,0,,,AC,0,AC,0,AC,0,,
2dd5bb81-5f76-4886-9aa7-1abccdef882a,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,5,6,10,0,9,1,8,2,8,0,8,0,,,AC,0,NA,0,AC,0,,
5a165134-696e-4bdb-836e-74c71961f056,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,1,10,0,10,0,10,4,10,0,10,0,,,AC,0,AC,0,AC,0,,
e9c130f7-9c95-49f3-b6fd-33a6e96390ea,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,2,10,0,10,0,10,0,10,0,10,0,10,0,,,AC,0,AC,0,AC,0,,
403a8d8f-fa4f-479b-8b03-4a88ddb12901,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,7,5,5,8,5,0,5,0,9,7,9,0,9,0,,,AC,0,NA,0,AC,0,,
5d1863dd-e729-4848-a88d-f197318de50c,F,No,ENFERMERIA GENERAL,MATUTINO,6,6,6,8,7,6,9,1,9,0,8,12,10,0,10,0,,,AC,0,NA,0,AC,0,,
6786277f-15a8-4f56-b33a-c898aa668d7b,M,No,ENFERMERIA GENERAL,MATUTINO,5,12,5,10,NP,21,5,6,5,0,5,20,8,0,8,0,,,AC,0,NA,0,NA,0,,
f3996a48-d7cc-49e8-a68a-86b6ab4252d9,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,6,7,5,5,10,1,9,0,7,5,9,0,9,0,,,AC,0,NA,0,AC,0,,
c8e4476a-cca4-4a25-8d7e-6e1495f5f189,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,8,3,6,0,9,0,6,7,10,0,10,0,,,AC,0,AC,0,AC,0,,
3cc2ea97-c4c3-450c-945c-59f8b172b18b,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,2,8,4,10,0,10,0,8,3,8,0,8,0,,,AC,0,NA,0,AC,0,,
c7e18218-67d2-4bb2-9c31-0d0aee8a4ed3,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,2,10,0,10,1,10,0,10,3,10,0,10,0,,,AC,0,AC,0,AC,0,,
4d7fd95c-bb7b-46bc-99a3-4ceff2c557f2,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,2,8,2,9,0,10,0,9,5,10,0,10,0,,,AC,0,AC,0,AC,0,,
