Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,PRO,Faltas_PRO,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
e841a7fa-94cc-4415-a9c5-d4cc8dec8c43,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,10,0,10,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
27b83131-5e79-405d-8c0f-5f563bb02c87,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,10,0,8,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9def66e5-f45a-40e9-bf2b-b5245db4810e,M,Si,ENFERMERIA GENERAL,MATUTINO,6,4,,,7,0,,,,,,,,,,,,,,,,,,,,
4e74659d-f76b-48ca-b09c-c691c105939b,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,6,1,9,1,6,0,8,0,7,0,AC,0,,,AC,0,AC,0,AC,0,AC,0,,
244e18e2-7264-494a-92a3-5febfc5bd800,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,3,5,2,6,3,5,2,7,0,NA,0,NA,0,AC,0,NA,0,NA,0,NA,0,,
daea0148-27a4-457f-9c01-05f213a2f41e,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,1,10,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
0470f98f-200e-4611-9e1b-50ec91b06116,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,10,1,8,1,6,2,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
bca334c5-1d64-409d-9524-0dedda593d24,M,Si,ENFERMERIA GENERAL,MATUTINO,5,6,,,,,,,5,2,,,,,,,,,,,,,,,,
2fcfebec-aa01-4dec-a905-926e68b5ceef,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,9,0,6,1,6,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
bd2cb20a-08c9-42e1-85bc-f08f2030a0b0,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,10,0,,,,,,,,,,,,,,,,,,,,
17b379a2-1761-49b2-9c5f-a01c1036186b,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,4,5,4,5,2,5,3,7,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,,
f295e7d3-9081-4f70-8048-d37b4abc9bbf,F,Si,ENFERMERIA GENERAL,MATUTINO,5,6,,,,,,,,,,,,,,,,,,,,,,,,
940c0e2e-468c-42cb-abc7-2e51a64ecafa,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,1,10,0,9,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
17ca263a-61a7-4954-b200-59148104c77f,F,No,ENFERMERIA GENERAL,MATUTINO,5,12,5,3,5,2,NP,15,5,1,7,0,NA,0,NA,0,NA,0,NA,0,AC,0,NA,0,,
002cf54d-0df9-4575-a27e-313ca612ca91,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,8,1,6,0,6,1,5,2,7,0,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
7251a1f9-017f-4667-8c9c-fac1a8dc67c4,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,7,1,5,1,6,3,5,8,7,0,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
4129dcfb-9f57-4bc8-9871-0addd7785b0d,F,No,ENFERMERIA GENERAL,MATUTINO,5,8,5,1,5,1,6,0,5,0,7,0,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
351fce36-16a0-426d-ae57-b1d187a25d8a,M,Si,ENFERMERIA GENERAL,MATUTINO,5,0,,,,,,,,,,,,,,,,,,,,,,,,
