Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
728ce0e5-5507-4eaf-88e5-bbc8e6982777,M,No,FORMACION BASICA,MATUTINO,7,0,9,2,7,2,7,2,7,2,9,1,AC,0,AC,0,AC,0,AC,0,,
e5a9cbdd-33ac-4022-8a8f-c212f3ba8c11,M,No,FORMACION BASICA,MATUTINO,8,0,9,2,7,2,7,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,,
f0da3ac4-f4ff-435a-b3c4-92c681f1052c,M,No,FORMACION BASICA,MATUTINO,8,0,9,0,9,0,8,0,9,2,9,1,AC,0,AC,0,AC,0,AC,0,,
08251573-5017-4057-b31a-c78808b6cdb6,M,No,FORMACION BASICA,MATUTINO,NP,20,NP,12,NP,18,NP,18,NP,16,5,16,NA,0,NA,0,NP,0,NA,0,,
77675690-f2c7-43bc-afb3-ef55b18d4906,M,No,FORMACION BASICA,MATUTINO,NP,20,NP,12,NP,18,NP,18,NP,16,5,16,NA,0,NA,0,NP,0,NA,0,,
bd3c47f6-093b-4210-bf75-967fd9705c05,M,No,FORMACION BASICA,MATUTINO,6,2,8,6,5,12,9,2,5,1,5,4,AC,0,NA,0,AC,0,AC,0,,
0e6b0d13-fcab-405d-b4d0-f32a7e266a76,M,No,FORMACION BASICA,MATUTINO,5,0,8,2,7,1,5,0,5,0,7,0,AC,0,AC,0,AC,0,AC,0,,
80b94c12-7680-48d2-ba5f-8817d9fe7908,M,No,FORMACION BASICA,MATUTINO,NP,20,NP,12,NP,18,NP,18,NP,16,5,16,NA,0,NA,0,NP,0,NA,0,,
f975bd89-2a7a-4ee2-be7b-35ef90b239e9,M,No,FORMACION BASICA,MATUTINO,NP,20,NP,12,NP,18,NP,18,NP,16,5,16,NA,0,NA,0,NP,0,NA,0,,
a28e9870-8df9-478b-9b09-e29123cd348f,M,No,FORMACION BASICA,MATUTINO,7,0,10,1,10,1,10,0,10,0,8,0,AC,0,AC,0,AC,0,AC,0,,
5a14fa1b-f587-42b4-9e4d-8f55213f58e4,M,No,FORMACION BASICA,MATUTINO,NP,20,NP,12,NP,18,NP,18,NP,16,5,16,NA,0,NA,0,NP,0,NA,0,,
