Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,PRO,Faltas_PRO,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
97555b37-5171-4eb9-b624-04ef9c60c133,M,No,ENFERMERIA GENERAL,MATUTINO,8,1,10,2,9,0,9,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
224706f2-69d3-49a2-aaec-755744d686cd,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,2,7,1,8,2,7,3,8,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
212307bb-e266-4335-8b36-090e099c6730,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,6,3,7,10,5,2,7,6,6,2,AC,0,AC,0,AC,0,AC,0,NA,0,NA,0,,
21f464ac-f8f7-4a15-8fcc-cac02ce30046,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,8,2,8,3,8,2,9,3,8,1,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
0a21f3bd-9d50-4a33-a2e3-4f89cd2a2ec6,M,No,ENFERMERIA GENERAL,MATUTINO,5,7,6,5,6,3,7,6,9,7,6,5,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
8bb36f4d-2df3-4744-94cf-cb7c7ef86445,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,,,5,,,,,,,,,,,,,,,,,
c49c5257-1bda-4b93-bde8-781e95bbe22d,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,7,3,7,0,9,2,6,5,7,0,AC,0,AC,0,AC,0,AC,0,NA,0,NA,0,,
2565c19d-d98e-4359-ae26-37ac75b028e9,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,1,9,0,8,1,10,0,8,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
60f299dc-eb20-4f6f-842d-9e9b5de3e677,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,10,5,18,NP,13,5,17,5,13,AC,0,AC,0,NA,0,NA,0,NA,0,NA,0,,
3b352b87-c412-4969-b505-1a331f8c6d23,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,10,NP,18,NP,13,5,17,5,16,AC,0,AC,0,NA,0,NA,0,NA,0,NA,0,,
1905f942-014d-452e-a051-1826e6c6e788,M,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,6,6,3,9,4,8,4,8,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
fb98d7a7-bc59-4282-8f2b-8f669481ef5c,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,9,1,,,,,,,,,,,,,,,,,,
14901779-6f4f-4cdf-bb88-876fefc9ba08,M,No,ENFERMERIA GENERAL,MATUTINO,6,1,10,3,9,3,10,2,8,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
08691c0d-1fda-4f2b-be9a-ff608dc92cb9,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,2,8,1,7,0,7,3,7,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
b06e9f85-65a7-4f6e-9af0-2ee0693048b8,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,1,9,0,8,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
3e489edf-e0ed-485d-97ac-a63ce6790008,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,9,2,7,0,5,1,8,0,8,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
c5f997ea-ccfe-4577-8daf-e90087feef6b,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,2,7,1,9,0,8,2,8,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
d3c57d92-3dde-4fba-86f4-0a974e959833,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,2,8,2,6,2,8,1,7,2,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
80556ab6-b31a-4d97-b81a-345177def7b3,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,2,9,0,9,0,8,1,10,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
3cc13e44-41d2-4436-bd27-5e3d5cecef38,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,2,8,1,9,0,8,4,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
577544fb-c4ce-419d-bf90-74681c4e524b,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,9,3,8,6,8,0,10,3,7,3,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
b13221a2-0182-4929-8dea-2e5cdd8c609c,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,,,5,3,,,,,,,,,,,,,,,,,,
bb3d4804-6e07-482b-842f-a9b51b50ff4a,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,6,3,6,1,8,4,8,8,5,2,AC,0,AC,0,AC,0,AC,0,NA,0,NA,0,,
7e394970-abe4-46be-afc0-82ba8e4abfe4,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,7,2,8,0,5,0,9,3,7,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
4d71e6ea-9f5e-4da1-a58a-bcb6e905f097,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,5,4,6,1,8,4,8,6,7,1,NA,0,NA,0,AC,0,AC,0,AC,0,NA,0,,
f39deef6-a14d-438b-98c4-abf1bb244c0b,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,10,1,10,0,10,2,10,3,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e49cd593-da1d-4304-acb1-1afedc0fc356,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,1,9,1,8,2,9,1,7,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
cb9c1221-0364-4437-8438-ebf02f1d6559,F,No,ENFERMERIA GENERAL,MATUTINO,5,5,6,4,5,8,5,8,5,9,5,2,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
05fc7377-3106-49e4-be81-fc9ee83a1822,F,Si,ENFERMERIA GENERAL,MATUTINO,6,5,,,,,,,,,,,,,,,,,,,,,,,,
99377efd-30b3-4242-ba9b-fcfd108c36dd,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,7,1,8,4,5,1,5,1,6,3,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
172c80e7-3389-4353-a24e-2f8031a4aba3,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,12,NP,18,NP,13,NP,17,5,16,AC,0,AC,0,NA,0,NA,0,NA,0,NA,0,,
814b3b1d-b79f-48be-9a2a-4a8b5c6a3c0b,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,7,1,8,0,8,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
6e5eca69-5e65-4d38-9a52-c9317049d82d,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,2,9,1,8,5,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
073e542b-11e3-4ba6-8380-02e446fee972,F,No,ENFERMERIA GENERAL,MATUTINO,6,3,8,3,8,4,7,4,7,2,7,3,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
b345dae4-fe08-4a7e-bcc7-e27388b6e6d3,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,7,1,9,1,8,0,10,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
