Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,PRO,Faltas_PRO,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
bea6fcef-c10c-4245-89bd-acc92940d329,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,9,0,9,3,10,3,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
80c43eb1-3c15-47b7-b1e7-80954bd6e1c7,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,8,0,10,0,7,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
8504d306-140b-4623-96fc-a272b57998a7,F,No,ENFERMERIA GENERAL,MATUTINO,7,3,7,0,9,4,9,2,8,0,8,1,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
c98031e1-e537-4ede-bc70-101b9a154f3c,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,0,8,3,5,3,6,0,5,2,NA,0,NA,0,AC,0,NA,0,AC,0,AC,0,,
5f9bd58e-5875-412f-8d48-4eed652338e0,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,8,2,9,3,10,4,10,0,8,1,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
e3bb4740-37f3-44a8-8e27-1b4a6df9fef7,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,8,1,8,2,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
4f822675-0ccc-403e-85bd-c0ea62519d1b,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,9,1,7,1,7,0,8,1,NA,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
5e86521e-bf6e-4707-bd9b-8533fbc914f4,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,0,8,0,6,0,5,0,7,0,NA,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
f7a8c346-5749-4de5-a25b-4eceb02aa1fc,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,7,0,8,2,6,1,5,0,5,0,,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
dcdba609-6ab2-4825-8272-6eecd05376c1,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,8,0,6,3,8,1,6,0,5,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
2815bd2a-f413-4ed7-83ad-f2b74cb4e1af,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,5,5,5,3,5,1,5,2,5,4,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
58d6ba7c-19d5-4c7f-b59f-409abf0cdcca,M,No,ENFERMERIA GENERAL,MATUTINO,5,9,6,4,5,4,NP,15,5,4,5,10,NP,0,NP,0,NA,0,NA,0,NA,0,NA,0,,
c7995ed1-4881-4f7f-ae99-ef25f584ddb3,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,9,0,9,0,7,0,10,1,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e41f003a-d70b-4fba-b35d-a809f10a9807,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,0,,
2ec1349f-d096-4b9a-a3b7-04740789279e,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,12,NP,14,NP,15,NP,17,5,16,NP,0,NP,0,NA,0,NA,0,NA,0,AC,0,,
3a6275c2-78d1-45a6-90da-502071ea1b01,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,3,5,2,5,0,5,2,5,2,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
6e74f1cb-4dbb-4c57-8bee-6dbdf503760a,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,0,9,1,8,0,7,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
49ec8b7b-08cd-41f3-bcf3-effe0f176c43,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,2,7,1,5,3,5,0,5,2,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
44711b2d-92fb-4a63-942a-f38c4f28f5a7,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,2,9,3,7,3,7,0,7,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
63d88ee9-5753-4a9e-bfe1-a959ca5a492c,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,5,0,,,,,,,,,,,,,,,,,,,,
d53c84a3-b5f0-4808-be3a-d4fbc2e18f4a,M,No,ENFERMERIA GENERAL,MATUTINO,5,8,6,4,5,7,5,10,5,4,5,12,NA,0,NA,0,NA,0,NA,0,NA,0,AC,0,,
f437d734-3091-4b60-b7a4-9829097356f8,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,7,0,9,2,8,0,7,0,8,1,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
1b6883dc-9db3-4206-b58d-5e458623778c,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,7,4,9,2,8,2,5,4,8,1,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
289630f3-e281-4983-ade1-62d92e37b27a,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,2,7,1,8,3,5,0,7,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
00aa51c3-9902-487a-bc53-6dc60c9fa7ff,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,7,0,9,4,9,2,7,0,7,3,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
f52b3edd-ff8a-435f-b04b-ed05f7a68b8c,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,1,8,1,10,1,6,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
5f30b5a2-94e8-4f29-8b13-a798e6712433,M,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,12,NP,14,NP,15,NP,17,5,16,NP,0,NP,0,NA,0,NA,0,NA,0,NA,0,,
fdd51734-ea5d-400b-8bb5-fa3559dacc1b,F,No,ENFERMERIA GENERAL,MATUTINO,NP,20,NP,12,NP,14,NP,15,NP,17,5,16,NP,0,NP,0,NA,0,NA,0,NA,0,NA,0,,
65a700f0-971a-4a52-b467-e43c91cbd6cd,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,10,1,10,5,8,2,8,0,9,1,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
d8eb04cb-b5f9-4783-ab93-77e6d421e2b8,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,7,0,10,0,8,2,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
aec5ebfc-607a-4f37-b726-ef16db7fbf62,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,6,1,7,3,6,3,6,0,5,3,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
175abd47-98f6-4218-b47b-3caff7223d72,M,No,ENFERMERIA GENERAL,MATUTINO,7,1,8,0,9,3,9,4,6,0,7,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
ab8c3085-5091-4b9b-aaa5-6890abcb5ec9,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,6,0,9,1,8,0,5,0,7,0,NA,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
