Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
b63bc991-d2ff-4f06-9e22-158ef776318c,M,No,FORMACION BASICA,MATUTINO,5,3,7,4,7,2,6,2,5,1,5,2,AC,0,AC,0,AC,0,AC,0,,
c54d96a5-417e-4ac3-a884-c00b6e4cc45d,M,No,FORMACION BASICA,MATUTINO,6,0,7,2,7,0,6,0,NP,20,5,0,AC,0,AC,0,AC,0,AC,0,,
4f672a5e-835a-4f26-b08b-98b4b7f3bc52,M,No,FORMACION BASICA,MATUTINO,6,1,9,2,8,2,9,0,NP,20,7,3,AC,0,AC,0,NA,0,AC,0,,
83395dfb-9027-4fdc-ab4c-9927a00df477,M,No,FORMACION BASICA,MATUTINO,5,10,5,5,5,0,5,2,NP,20,5,3,AC,0,NA,0,NA,0,NA,0,,
3319181e-50c9-40c6-992f-da832432254f,M,No,FORMACION BASICA,MATUTINO,8,0,7,3,7,2,8,0,5,1,7,1,AC,0,NA,0,NA,0,AC,0,,
12b42f37-0c6f-4547-8b9e-c4e3690086c8,M,No,FORMACION BASICA,MATUTINO,5,18,NP,12,5,16,NP,12,NP,20,5,15,NA,0,NA,0,NA,0,AC,0,,
9a6cad32-9db3-4a51-98cb-3a48e5a054a7,M,No,FORMACION BASICA,MATUTINO,8,1,6,3,8,0,9,2,NP,20,5,2,AC,0,NA,0,AC,0,NA,0,,
03a2a458-1241-478b-bc5e-7d33a4d95f34,M,No,FORMACION BASICA,MATUTINO,5,14,5,5,5,16,NP,12,NP,20,5,5,AC,0,NA,0,NA,0,NA,0,,
18ec4dbe-ec25-430c-816c-03925d09d12b,M,No,FORMACION BASICA,MATUTINO,7,3,7,2,8,0,6,2,NP,20,5,1,AC,0,NA,0,AC,0,NA,0,,
fd46b72d-0c2f-4efd-ba08-9cb55f8df638,M,No,FORMACION BASICA,MATUTINO,5,5,7,3,7,0,5,6,NP,20,6,3,AC,0,NA,0,NA,0,NA,0,,
54882f54-a12a-437e-94db-187b0a9ea7f3,M,No,FORMACION BASICA,MATUTINO,NP,18,NP,12,5,16,NP,12,NP,20,5,15,NA,0,NA,0,NA,0,AC,0,,
eb7dfba7-5737-4163-b71a-87d248725a72,M,No,FORMACION BASICA,MATUTINO,NP,18,NP,12,5,16,NP,12,NP,20,5,15,NA,0,NA,0,NA,0,NP,0,,
7dfbcd93-0b92-4aa3-99ed-c3eb53622b6d,M,No,FORMACION BASICA,MATUTINO,9,2,8,3,9,0,9,3,9,0,7,2,AC,0,AC,0,AC,0,AC,0,,
27dc42bf-22f0-45b7-a8d4-4c3ca9c169cb,M,No,FORMACION BASICA,MATUTINO,7,1,6,1,8,0,7,1,5,1,8,1,AC,0,AC,0,AC,0,AC,0,,
992efc53-8052-4b5b-8407-e87d017663a6,M,No,FORMACION BASICA,MATUTINO,7,0,7,1,7,0,7,0,5,1,7,0,AC,0,AC,0,AC,0,AC,0,,
7fac4ab8-dfce-417c-8718-b805759c83c1,M,No,FORMACION BASICA,MATUTINO,5,18,NP,12,5,4,5,12,NP,20,5,13,NA,0,NA,0,NA,0,NP,0,,
3125385f-cf6a-44a4-9361-e1d9a3505931,M,No,FORMACION BASICA,MATUTINO,5,9,7,5,8,2,5,4,NP,20,5,7,AC,0,NA,0,NA,0,NA,0,,
090c1d22-8a13-4ba4-99b2-beeff06321b1,M,No,FORMACION BASICA,MATUTINO,5,2,10,3,8,0,5,1,10,0,8,0,AC,0,NA,0,NA,0,AC,0,,
33b76c47-0140-46f7-bc32-78a0cb748b41,M,No,FORMACION BASICA,MATUTINO,5,3,6,4,7,2,6,3,NP,20,5,4,AC,0,NA,0,NA,0,AC,0,,
0b1b12de-c0a6-401c-afcf-b3a88a866421,M,No,FORMACION BASICA,MATUTINO,8,0,8,1,8,0,9,0,8,0,8,0,AC,0,AC,0,AC,0,AC,0,,
94e13d8c-2cc8-4051-8597-fd8b656604eb,M,No,FORMACION BASICA,MATUTINO,7,1,7,1,8,2,7,0,5,1,5,1,AC,0,AC,0,AC,0,AC,0,,
ca4540a0-037b-43cd-b8b3-82df28919eec,M,No,FORMACION BASICA,MATUTINO,5,0,6,4,7,0,6,4,NP,20,5,2,AC,0,NA,0,NA,0,NA,0,,
0a7bdaf0-93d5-4189-9057-de666042db07,M,Si,FORMACION BASICA,MATUTINO,,,,,,,5,2,,,5,3,,,,,,,,,,
bae15a09-4e45-4157-958a-bdee94082c7e,M,No,FORMACION BASICA,MATUTINO,8,1,7,0,5,2,8,1,5,1,5,3,AC,0,AC,0,NA,0,AC,0,,
7872b5af-9679-458a-b8a4-25a59cbc6143,M,No,FORMACION BASICA,MATUTINO,5,8,7,6,5,8,5,5,NP,20,5,10,NA,0,NA,0,NA,0,AC,0,,
57f1e770-370c-4c80-9d49-134cb7c60a5b,M,No,FORMACION BASICA,MATUTINO,5,11,NP,12,5,16,NP,12,NP,20,5,14,NA,0,NA,0,NA,0,AC,0,,
43b2dc05-a50a-4c5f-9736-5023632631ca,F,No,FORMACION BASICA,MATUTINO,7,0,9,1,8,0,6,1,9,0,7,0,AC,0,AC,0,NA,0,AC,0,,
8eb3f560-3cf9-4e52-92ae-de9e8a66f4e4,M,No,FORMACION BASICA,MATUTINO,NP,18,NP,12,5,16,NP,12,NP,20,5,15,NA,0,NA,0,NA,0,NP,0,,
195846f8-49d2-45d2-a638-3d3db955f52a,M,No,FORMACION BASICA,MATUTINO,5,7,5,5,7,2,8,5,6,1,5,4,NA,0,AC,0,AC,0,NA,0,,
be9783f8-5cb5-44a0-9a23-67432f004aab,M,No,FORMACION BASICA,MATUTINO,8,0,8,1,8,2,9,0,6,1,7,0,AC,0,AC,0,AC,0,AC,0,,
