Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,APL0,Faltas_APL0,EJE,Faltas_EJE,CAM,Faltas_CAM,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
97d862c6-1498-4a8e-910b-14281cd3ffd5,F,No,ENFERMERIA GENERAL,MATUTINO,6,4,8,0,10,1,10,0,9,1,8,0,10,0,,,AC,0,NA,0,AC,0,AC,0,,
f3ad1f34-2e58-4fd7-aed9-d7202dc77aab,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,5,5,3,7,4,8,1,6,2,10,0,,,AC,0,NA,0,NA,0,NA,0,,
4396ac4a-46a0-44f0-b379-794cf2d892be,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,10,0,10,1,10,2,10,0,,,AC,0,AC,0,AC,0,AC,0,,
15151637-67f2-490c-9650-c04321caf7ca,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,0,7,4,5,2,8,2,5,4,10,0,,,NA,0,NA,0,AC,0,NA,0,,
b2671fb6-8101-40b6-8c03-c1a4b38d4058,F,Si,ENFERMERIA GENERAL,MATUTINO,,,5,0,,,,,,,,,,,,,,,,,,,,,,
7947f749-0faf-4ce5-bff0-6064a4d01e03,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,10,0,9,2,8,2,10,1,8,4,10,0,,,NA,0,NA,0,AC,0,NA,0,,
a52dad45-f443-4e62-9f08-0dc726bfbc86,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,7,0,8,0,5,4,9,1,8,5,10,0,,,AC,0,NA,0,AC,0,NA,0,,
d95fca22-e845-489b-967f-5a3867f53138,F,No,ENFERMERIA GENERAL,MATUTINO,5,6,7,0,5,2,5,2,7,1,5,8,10,0,,,AC,0,NA,0,NA,0,NA,0,,
52428aaf-f248-442f-bdd5-dc276b8ce3d2,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,8,0,10,0,8,2,10,1,8,2,10,0,,,NA,0,AC,0,AC,0,NA,0,,
ec8d9f3b-9a1a-4a9b-8b18-2d85c110364d,F,Si,ENFERMERIA GENERAL,MATUTINO,,,5,0,,,,,,,,,,,,,,,,,,,,,,
e9343402-4d34-4ee2-ae24-81d8040bc2c0,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,0,9,2,9,2,8,1,6,6,10,0,,,AC,0,AC,0,AC,0,NA,0,,
b5835721-cdfd-4167-9812-eb87868e3739,M,No,ENFERMERIA GENERAL,MATUTINO,5,2,6,0,8,3,6,8,8,1,9,4,10,0,,,AC,0,AC,0,AC,0,AC,0,,
cbd7450a-19d8-48fe-93fb-8b22eb2305f5,M,No,ENFERMERIA GENERAL,MATUTINO,6,2,8,0,9,0,8,4,10,2,8,4,10,0,,,AC,0,NA,0,NA,0,AC,0,,
e3205b02-510d-4b23-b92b-8fc36d9b228a,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,0,9,1,10,4,7,1,6,4,10,0,,,AC,0,NA,0,AC,0,AC,0,,
2dfe706f-dcfa-41f3-af14-45fa48640875,M,No,ENFERMERIA GENERAL,MATUTINO,5,2,7,0,6,2,5,2,8,2,6,7,10,0,,,NA,0,NA,0,NA,0,AC,0,,
fff1f0a4-e061-444a-a8da-0093c6912dea,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,7,0,10,4,9,4,10,1,7,2,7,0,,,AC,0,AC,0,NA,0,NA,0,,
e819bb71-54fc-4e9e-8a9d-56838c4a6e0c,F,Si,ENFERMERIA GENERAL,MATUTINO,,,5,0,,,,,,,,,,,,,,,,,,,,,,
811e8717-9044-4049-a0ec-cc6c86782a31,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,10,0,10,0,10,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
a9310e43-f2e6-4056-9cce-6fa6a1afa45b,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,10,0,10,2,10,1,9,2,10,0,,,AC,0,AC,0,AC,0,AC,0,,
c8ddc328-9fbe-4dc9-baab-9f4d3d3b6200,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,8,0,10,3,9,0,10,1,8,6,9,0,,,AC,0,AC,0,NA,0,NA,0,,
63edf372-3a2f-489e-ab16-59347121cf97,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,7,0,8,1,8,6,8,1,7,5,9,0,,,AC,0,NA,0,AC,0,AC,0,,
6e007b67-15d1-426e-b56a-f74994c2f041,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,2,8,5,6,0,9,0,7,2,9,0,,,NA,0,AC,0,NA,0,NA,0,,
d6eb8389-a6a5-48f6-a7bf-11047e63c2a2,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,0,10,1,9,6,9,0,8,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
dc48eba1-7603-4210-9dab-b0a08fc8b768,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,9,0,10,1,10,4,10,0,8,3,9,0,,,NA,0,NA,0,NA,0,NA,0,,
c79e97da-3368-42c3-9bcd-bff448099bce,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,7,0,10,3,10,2,10,1,6,2,9,0,,,AC,0,AC,0,AC,0,AC,0,,
798c87e0-7f73-4c90-8cef-5c94095e52d7,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,5,6,0,5,8,9,1,8,4,10,0,,,AC,0,NA,0,NA,0,NA,0,,
61f8125a-5b5e-4486-96b4-0e6f290ba883,F,Si,ENFERMERIA GENERAL,MATUTINO,,,NP,9,,,,,,,,,,,,,,,,,,,,,,
6786277f-15a8-4f56-b33a-c898aa668d7b,M,Si,ENFERMERIA GENERAL,MATUTINO,NP,19,,,,,,,,,,,,,,,,,,,,,,,,
c41c0ffc-ad4a-4877-bc2d-87ffc8ffe960,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,6,0,10,2,9,6,8,1,8,3,10,0,,,NA,0,AC,0,NA,0,AC,0,,
c6871a52-28a8-4213-a275-5d1754a97c77,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,6,0,6,2,5,10,7,1,7,5,10,0,,,NA,0,NA,0,NA,0,NA,0,,
200dda1f-be15-40c7-8296-31459701208f,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,0,8,2,6,4,8,1,6,4,10,0,,,AC,0,NA,0,NA,0,NA,0,,
7b8d45e7-8be9-4270-8205-772a180b0dde,F,No,ENFERMERIA GENERAL,MATUTINO,5,8,5,0,5,5,5,12,7,0,5,12,10,0,,,NA,0,NA,0,NA,0,NA,0,,
786b58e1-6be4-47af-b91e-58abee2046a5,M,No,ENFERMERIA GENERAL,MATUTINO,5,5,8,0,7,2,7,4,9,2,7,10,10,0,,,AC,0,NA,0,NA,0,NA,0,,
85e499f9-66c8-4eaa-9271-6d4c622e51c0,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,10,0,10,0,10,2,8,0,,,AC,0,AC,0,AC,0,AC,0,,
6fda3298-8453-47d1-872f-5dcbbb97ad26,F,No,ENFERMERIA GENERAL,MATUTINO,NP,19,NP,9,NP,20,NP,18,5,24,NP,32,NP,50,,,NA,0,NA,0,NA,0,NP,0,,
b93b43c9-c3ec-48de-a3e0-f9c67d320238,F,Si,ENFERMERIA GENERAL,MATUTINO,5,0,,,,,,,,,,,,,,,,,,,,,,,,
de91e6a6-0750-4568-b63e-1fe075f55ba3,M,No,ENFERMERIA GENERAL,MATUTINO,5,4,8,1,7,2,10,2,8,0,8,6,10,0,,,NA,0,NA,0,NA,0,NA,0,,
e12ab791-5cfb-451c-bfbd-5596774a9549,F,No,ENFERMERIA GENERAL,MATUTINO,5,6,7,0,6,3,10,0,9,3,7,6,10,0,,,NA,0,NA,0,NA,0,NA,0,,
a8b889f2-b609-4d4a-a694-4e8b390b4c42,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,8,0,10,0,6,8,9,0,9,6,10,0,,,NA,0,AC,0,AC,0,AC,0,,
