Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,ASI,Faltas_ASI,APL0,Faltas_APL0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
457a5e0c-a065-43c1-8539-befb3c24f20b,F,No,PUERICULTURA,MATUTINO,6,1,5,0,8,0,10,0,10,0,10,10,5,1,AC,0,NA,0,AC,0,AC,0,,
4da238da-ee2d-44bb-8d73-2f5574efe988,F,No,PUERICULTURA,MATUTINO,7,0,5,0,5,3,9,0,9,0,8,8,5,1,AC,0,NA,0,AC,0,AC,0,,
58419562-b1f4-4fa8-8546-f0231d329ea0,F,No,PUERICULTURA,MATUTINO,8,0,6,0,9,0,9,0,10,2,10,5,8,0,AC,0,NA,0,AC,0,AC,0,,
6d8d91b0-501f-4db5-bca8-a0eabd56c925,F,No,PUERICULTURA,MATUTINO,8,1,6,0,10,0,10,0,10,3,10,2,8,0,AC,0,AC,0,AC,0,AC,0,,
23b2f655-592a-42d8-97a1-dc6e0ef55033,F,No,PUERICULTURA,MATUTINO,7,0,10,0,10,0,8,0,9,2,9,1,6,0,AC,0,NA,0,AC,0,AC,0,,
5abb89b9-072a-443b-9d2e-200fc31575bd,F,Si,PUERICULTURA,MATUTINO,8,0,,,,,,,,,,,,,,,,,,,,,,
80d03239-b7c0-4f06-8efa-e2f39ec41ce3,F,No,PUERICULTURA,MATUTINO,7,2,5,0,5,1,10,0,8,0,10,6,8,0,AC,0,NA,0,AC,0,AC,0,,
6890c0d0-82d4-446f-ba44-e9e5e94ff8c9,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,1,10,0,9,0,AC,0,AC,0,AC,0,AC,0,,
5f0c060f-432d-4baf-882c-1fdaf5cc45d1,F,No,PUERICULTURA,MATUTINO,6,2,5,0,8,4,9,2,8,6,5,10,9,0,NA,0,NA,0,AC,0,AC,0,,
b386c9e6-5c41-452a-afe9-90615342374b,F,No,PUERICULTURA,MATUTINO,7,1,6,0,7,4,8,2,10,0,10,4,8,1,AC,0,AC,0,AC,0,AC,0,,
b2dc0051-b9e9-4947-8344-db0f01e330e2,F,No,PUERICULTURA,MATUTINO,8,3,5,0,8,0,10,0,9,2,10,4,8,2,AC,0,NA,0,AC,0,AC,0,,
b13221a2-0182-4929-8dea-2e5cdd8c609c,F,No,PUERICULTURA,MATUTINO,8,1,10,0,10,0,7,0,10,0,8,2,8,0,AC,0,NA,0,AC,0,AC,0,,
199fa184-2e1d-46c7-b627-b1f5188b0507,F,No,PUERICULTURA,MATUTINO,8,2,10,0,9,3,9,1,10,2,8,5,8,1,AC,0,NA,0,AC,0,AC,0,,
dfc463e5-b371-41fd-a1ae-0b68f86073e5,F,No,PUERICULTURA,MATUTINO,9,0,10,0,7,2,10,0,10,2,10,2,8,0,AC,0,NA,0,AC,0,AC,0,,
6baacbb4-5f6b-46cd-b7f8-3f7d4e1b921e,F,No,PUERICULTURA,MATUTINO,8,0,7,0,10,0,9,0,10,0,10,0,9,0,AC,0,NA,0,AC,0,AC,0,,
1225c7f6-b030-4e77-a71b-1e565e84c3d3,F,No,PUERICULTURA,MATUTINO,7,2,6,0,10,0,6,0,10,3,8,2,8,0,NA,0,NA,0,AC,0,AC,0,,
8cfc1910-3fa5-4107-8994-3a1a36bdcb18,F,No,PUERICULTURA,MATUTINO,7,0,9,0,7,2,10,0,10,2,10,2,8,0,AC,0,NA,0,AC,0,AC,0,,
e3b75f6e-de41-4584-86b3-c6c75770cb10,F,No,PUERICULTURA,MATUTINO,10,0,9,0,10,0,10,0,10,0,10,0,9,0,AC,0,NA,0,AC,0,AC,0,,
9c356725-87c5-443b-823a-6e5b2f241d24,F,No,PUERICULTURA,MATUTINO,7,3,6,0,8,2,9,0,10,0,9,4,8,3,AC,0,NA,0,AC,0,AC,0,,
e9e88a8f-e07a-46c0-a75d-74ea2907cf79,F,No,PUERICULTURA,MATUTINO,10,0,9,0,10,0,10,0,10,0,10,0,9,0,AC,0,NA,0,AC,0,AC,0,,
65cf37b8-2465-4ec3-ae55-6466c7c594f2,F,No,PUERICULTURA,MATUTINO,5,3,5,0,5,2,6,2,8,3,8,8,8,0,NA,0,NA,0,AC,0,AC,0,,
84d50bb2-bae2-4f01-b1d5-4e2c31444c5d,F,No,PUERICULTURA,MATUTINO,6,0,6,0,7,0,10,0,10,0,10,6,8,0,AC,0,NA,0,AC,0,AC,0,,
e6ba1a5b-06e7-4906-bdaf-31e96fa68ffb,F,No,PUERICULTURA,MATUTINO,7,4,9,0,10,0,8,2,10,1,9,7,9,3,AC,0,NA,0,AC,0,AC,0,,
ed707551-8695-4fc1-85ac-6a54881da33f,F,No,PUERICULTURA,MATUTINO,10,0,8,0,9,0,10,0,10,0,10,2,8,0,AC,0,NA,0,AC,0,AC,0,,
fdc4a839-fa23-46aa-9fe0-111a72a490ae,F,Si,PUERICULTURA,MATUTINO,7,2,,,,,,,,,,,,,,,,,,,,,,
0575c42c-e864-4249-b973-31ae8586ec02,F,No,PUERICULTURA,MATUTINO,8,0,10,0,7,2,10,0,10,0,10,8,9,0,AC,0,NA,0,AC,0,AC,0,,
e0ee9f92-0ac3-463c-b6ef-192b389be985,F,No,PUERICULTURA,MATUTINO,9,0,8,0,10,0,10,0,10,0,10,3,8,0,AC,0,NA,0,AC,0,AC,0,,
f5b2eec5-fcce-4bfb-81e2-8b52b82a3a15,F,No,PUERICULTURA,MATUTINO,10,0,10,0,10,0,10,0,10,3,10,1,8,0,AC,0,NA,0,AC,0,AC,0,,
b68bb67c-c702-4286-ab45-b82a89264443,F,No,PUERICULTURA,MATUTINO,7,2,8,0,8,4,10,4,10,3,10,4,8,0,AC,0,NA,0,AC,0,AC,0,,
b79c4a4c-8fc7-4269-8a90-e1bc0339f1bb,F,No,PUERICULTURA,MATUTINO,8,0,5,0,5,4,8,6,10,2,8,10,9,0,AC,0,NA,0,AC,0,AC,0,,
e11bfa0d-b9d2-4e3b-9f16-2d31f7466516,F,Si,PUERICULTURA,MATUTINO,,,5,0,,,,,,,,,,,,,,,,,,,,
d2a5d641-5956-4586-bc8b-f1ad767f9353,F,No,PUERICULTURA,MATUTINO,7,4,8,0,9,1,7,0,10,0,9,10,5,5,NA,0,NA,0,AC,0,AC,0,,
745576e8-e47a-4392-aadb-bfd5713d5bdf,F,No,PUERICULTURA,MATUTINO,10,0,9,0,10,0,10,0,10,0,10,0,9,0,AC,0,NA,0,AC,0,AC,0,,
c5fcb3da-9bf0-4a5e-8849-3436ad276b5e,F,No,PUERICULTURA,MATUTINO,7,4,5,0,5,8,6,2,8,3,9,10,9,3,NA,0,NA,0,AC,0,AC,0,,
9a2d6ced-80e1-4d90-b522-721f3182fca9,F,No,PUERICULTURA,MATUTINO,9,0,8,0,10,0,6,0,10,0,10,0,8,0,AC,0,NA,0,AC,0,AC,0,,
