Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,IMP,Faltas_IMP,APL,Faltas_APL,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
041d89fc-8dea-42f6-bf06-9c0dd1117f3f,F,No,PUERICULTURA,MATUTINO,8,2,7,1,6,0,9,4,8,5,7,3,9,2,AC,0,NA,0,AC,0,,
4da238da-ee2d-44bb-8d73-2f5574efe988,F,Si,PUERICULTURA,MATUTINO,5,0,,,5,6,,,,,,,,,,,,,,,,
3935d3cb-c905-477c-8041-4f403f44c002,F,No,PUERICULTURA,MATUTINO,9,0,7,1,10,0,8,2,6,4,7,3,9,0,AC,0,NA,0,AC,0,,
39b33bf9-f8d1-4a56-afea-0994ff7a32aa,M,No,PUERICULTURA,MATUTINO,8,0,8,1,8,0,9,0,9,0,9,3,10,0,AC,0,AC,0,AC,0,,
9e18d29e-f864-4fa4-829f-128feb5451fd,F,No,PUERICULTURA,MATUTINO,5,8,NP,11,NP,22,5,20,NP,21,5,6,5,0,NA,0,NA,0,NA,0,,
bb12d9e7-5cc3-46a5-b4ce-464a0205d2d4,F,No,PUERICULTURA,MATUTINO,9,0,8,1,8,2,8,1,10,0,9,2,10,1,AC,0,NA,0,AC,0,,
caf42a87-7407-4837-9b13-14cb0232a2b9,F,No,PUERICULTURA,MATUTINO,5,2,7,0,7,2,9,1,7,2,8,2,10,2,AC,0,NA,0,NA,0,,
6a63362f-b58c-49cd-8b94-d5c53bdec280,F,No,PUERICULTURA,MATUTINO,5,0,7,1,7,2,8,0,9,2,9,0,10,0,AC,0,AC,0,AC,0,,
fdefc0da-a4d3-4d61-8cf8-7b242a99b44f,F,No,PUERICULTURA,MATUTINO,10,0,9,2,9,2,9,0,10,0,9,2,10,0,AC,0,AC,0,AC,0,,
18fbc08b-01aa-465f-9f6c-931e43dfacc9,F,No,PUERICULTURA,MATUTINO,8,0,6,2,6,3,7,3,5,6,9,4,9,6,AC,0,NA,0,AC,0,,
21f9613d-6b27-447f-9e31-b39d1b37a603,F,No,PUERICULTURA,MATUTINO,9,0,8,1,7,0,8,4,8,6,9,0,10,3,AC,0,AC,0,AC,0,,
e5414a23-b4b0-4950-af12-23545fa04e09,F,No,PUERICULTURA,MATUTINO,5,8,NP,11,NP,22,5,20,NP,21,5,6,NP,0,NA,0,NA,0,NA,0,,
f0cefb0d-e97c-43d2-b32a-8342f185f24d,F,No,PUERICULTURA,MATUTINO,5,0,7,4,7,0,6,4,9,8,7,3,10,4,AC,0,NA,0,AC,0,,
e085b506-2803-46bc-b179-f05711d374ae,F,No,PUERICULTURA,MATUTINO,8,0,7,1,8,0,7,3,6,2,7,3,8,0,AC,0,AC,0,AC,0,,
36423564-d0e7-46c9-bdf9-ab802e72c0a8,F,No,PUERICULTURA,MATUTINO,8,0,9,1,6,0,9,0,5,1,7,1,5,0,AC,0,NA,0,AC,0,,
c23feb70-7362-4942-86f2-8a7f5c78e000,F,No,PUERICULTURA,MATUTINO,7,4,7,3,7,4,8,3,5,5,7,6,9,4,AC,0,NA,0,AC,0,,
86fe1d25-1bb6-4ad2-b102-862db3be5b34,F,No,PUERICULTURA,MATUTINO,5,0,9,2,6,2,8,1,10,1,8,2,9,0,AC,0,NA,0,AC,0,,
6f1580da-b65f-4d9a-b1fb-113c7df0f70e,F,No,PUERICULTURA,MATUTINO,10,0,10,1,9,0,9,3,5,4,9,4,10,4,AC,0,AC,0,AC,0,,
60d17227-4d82-402f-8cf5-23b549e874fb,F,Si,PUERICULTURA,MATUTINO,10,0,7,1,6,3,9,0,5,1,10,3,10,0,,,,,,,,
ed773cb1-106d-41ed-8995-5905824aea62,F,No,PUERICULTURA,MATUTINO,7,0,7,2,8,0,7,4,5,6,6,0,9,4,AC,0,NA,0,AC,0,,
1d12487b-95b7-4ae9-ac20-e95769283868,F,No,PUERICULTURA,MATUTINO,5,0,6,2,6,0,7,0,5,0,8,1,5,0,AC,0,NA,0,AC,0,,
a41e8295-d7ba-49cb-b15f-6b9895ed3dc3,F,No,PUERICULTURA,MATUTINO,5,0,6,2,6,0,7,0,5,2,8,3,10,4,AC,0,NA,0,AC,0,,
939f4ae4-c4b5-43b4-8444-7dc596658629,F,Si,PUERICULTURA,MATUTINO,7,4,,,,,8,3,,,,,,,,,,,,,,
a009ca5e-cec4-48de-a168-6a9ec06e9bd8,F,No,PUERICULTURA,MATUTINO,5,2,5,3,6,0,5,0,5,0,7,4,5,0,AC,0,NA,0,AC,0,,
be78491b-1367-4d0d-9a53-1861dcbe67af,F,No,PUERICULTURA,MATUTINO,8,6,7,2,7,1,7,4,NP,6,7,2,10,7,AC,0,NA,0,NA,0,,
7e47e32f-6c22-4f13-a627-8166a51cfadb,F,No,PUERICULTURA,MATUTINO,5,2,6,1,7,4,8,1,5,0,9,2,8,0,AC,0,NA,0,AC,0,,
f083bce8-67d1-4cbc-97d5-c9aceb7672c1,F,Si,PUERICULTURA,MATUTINO,9,2,5,3,5,3,8,1,6,7,7,6,8,6,,,,,,,,
06180f8e-6f7d-4835-a209-7fd7ee36358b,F,No,PUERICULTURA,MATUTINO,5,4,9,5,5,10,7,3,5,5,5,7,10,4,AC,0,AC,0,AC,0,,
282bdc18-e800-4ba0-b319-0de6cd6e7410,F,Si,PUERICULTURA,MATUTINO,,,,,7,8,,,,,,,,,,,,,,,,
9500645e-df94-4f5d-a438-b661d592376c,F,No,PUERICULTURA,MATUTINO,5,2,5,4,5,4,6,4,8,5,7,6,8,6,AC,0,NA,0,AC,0,,
1bc89569-701c-45e3-922d-1f2261312e1e,F,No,PUERICULTURA,MATUTINO,9,4,9,1,7,1,9,3,5,2,9,3,10,5,AC,0,NA,0,AC,0,,
