Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,REA,Faltas_REA,REA0,Faltas_REA0,REA1,Faltas_REA1,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
a29310b5-7f3a-4abc-9388-f6dfed3cda35,F,No,ENFERMERIA GENERAL,MATUTINO,6,2,9,2,5,0,7,0,8,3,8,2,9,0,AC,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
cbc0bf38-0e27-46c1-bae7-01cf574a3760,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,2,8,1,8,0,9,2,8,1,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e4994ddb-4187-4fef-b240-2b562e978a9a,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,6,6,5,0,7,2,9,2,8,1,7,0,AC,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
209783b5-06b2-4704-9493-622cf4820e30,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,3,5,2,8,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
f12f4960-d7da-4b68-8296-ac1a19bf714e,M,Si,ENFERMERIA GENERAL,MATUTINO,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3952e1ad-36f3-401b-9154-6f6b1e83fb8c,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,1,5,9,5,5,9,0,8,0,10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,,
e95dccc3-5e52-4005-8e9f-958058d32fd9,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,1,7,0,10,0,9,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
e26a913b-a592-4e72-8a5a-0293cc26a7fe,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,10,0,5,0,7,0,9,1,10,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
3d19512d-3b9d-4b50-b468-d24c46c41a04,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,5,8,6,7,0,10,3,8,1,8,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
11ea02d7-4611-4bcb-8078-9a034ad5a023,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,2,7,2,8,0,10,1,9,0,7,0,NA,0,AC,0,NA,0,NA,0,NA,0,AC,0,,
