Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,ELA,Faltas_ELA,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
66fa7b2a-6c46-427c-84d4-11314f8f3b3b,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,1,5,2,,,5,7,,,,,,,,,,
030af5ca-afb5-483b-b96c-3757b30b4318,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,1,5,3,6,0,6,0,5,0,NA,0,AC,0,AC,0,,
ed6df74d-1dbe-4728-abec-31ee98fbd0a1,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,0,5,2,6,0,5,2,7,6,AC,0,AC,0,AC,0,,
14c3da10-7c49-472d-ab14-6d0b87409f29,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,7,0,10,1,10,0,9,0,10,0,AC,0,AC,0,AC,0,,
31fa6df7-988d-4f5f-8256-a2ed7f35c24a,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,6,5,3,5,12,6,0,5,7,5,2,AC,0,AC,0,AC,0,,
2a31318f-f7a9-4290-9f3d-dc4bf5963dd2,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,6,0,10,0,9,0,9,3,9,0,AC,0,AC,0,AC,0,,
9def66e5-f45a-40e9-bf2b-b5245db4810e,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,6,1,5,4,,,5,7,5,2,,,,,,,,
ebbfd0b9-abaf-46aa-8a46-cb963996a03e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,0,5,3,8,0,8,2,7,3,AC,0,NA,0,AC,0,,
58a31c64-941e-46a3-a144-b13fb0c7492f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,6,0,5,2,6,0,5,4,5,5,AC,0,AC,0,AC,0,,
bca334c5-1d64-409d-9524-0dedda593d24,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,1,5,14,,,,,,,,,,,,,,
