Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,IMP,Faltas_IMP,APL,Faltas_APL,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
638885a8-ae55-4410-8f2d-3effe858b75c,F,No,PUERICULTURA,MATUTINO,NP,20,NP,14,NP,22,NP,18,NP,30,NP,20,NP,30,NP,0,NA,0,NA,0,,
2a7fd4f2-a520-4293-b283-dba5c3ccef9d,F,No,PUERICULTURA,MATUTINO,5,9,6,1,7,6,10,0,9,1,10,0,8,6,NA,0,AC,0,AC,0,,
f2cc1c54-cce7-4c62-9d0a-30ffcf4a5b32,F,No,PUERICULTURA,MATUTINO,7,0,8,0,10,0,9,0,10,1,10,0,10,0,AC,0,AC,0,AC,0,,
93136cc7-fd56-44b8-9c03-faa04890a71d,F,No,PUERICULTURA,MATUTINO,6,8,8,2,8,2,8,0,5,1,9,0,9,0,AC,0,AC,0,AC,0,,
5f5daeae-b532-4cae-a36e-2934fc839048,F,No,PUERICULTURA,MATUTINO,5,5,5,0,5,7,5,0,5,4,8,0,5,8,NA,0,NA,0,AC,0,,
d82ad938-db8b-49a5-923d-f5fe9d934ab8,F,No,PUERICULTURA,MATUTINO,5,12,5,1,5,2,8,0,9,3,9,0,8,2,AC,0,AC,0,AC,0,,
9992174c-296c-4e3e-b2cc-9eb62ff446a2,F,No,PUERICULTURA,MATUTINO,7,2,8,0,6,2,10,0,6,1,10,0,10,2,AC,0,AC,0,AC,0,,
95d10453-72f7-4cec-a2d7-4d5f28396281,F,No,PUERICULTURA,MATUTINO,5,1,7,1,7,0,7,0,8,2,10,0,6,2,NA,0,AC,0,AC,0,,
93eb8bcd-c0f9-4e42-bad7-100bc51496f0,F,No,PUERICULTURA,MATUTINO,5,9,5,1,5,4,5,0,5,9,5,0,5,4,NA,0,NA,0,AC,0,,
cc8726dd-f58d-4f01-9bff-edca27e72d55,F,No,PUERICULTURA,MATUTINO,5,2,7,0,7,2,8,0,7,2,10,0,9,0,AC,0,AC,0,AC,0,,
184ba4db-0553-432d-abe0-5584c1d82aff,F,No,PUERICULTURA,MATUTINO,5,2,5,1,6,1,9,1,8,0,9,0,8,2,AC,0,AC,0,AC,0,,
