Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,IMP,Faltas_IMP,APL,Faltas_APL,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
566368e7-89b0-4230-8c55-5c825cb01373,F,No,PUERICULTURA,MATUTINO,7,2,6,4,6,4,7,2,5,7,8,1,8,9,AC,0,AC,0,AC,0,,
2d00d0fd-cc52-4639-8659-8fc38cb183d6,F,No,PUERICULTURA,MATUTINO,5,0,8,4,6,2,8,0,5,3,8,0,8,3,AC,0,NA,0,AC,0,,
95ec933c-9b14-4cad-a458-7fd2b4d3628f,F,No,PUERICULTURA,MATUTINO,8,0,8,2,6,2,5,2,5,4,8,1,9,3,AC,0,NA,0,AC,0,,
edc8ba5d-e3d9-4e52-b774-b70a4ec89cfb,F,No,PUERICULTURA,MATUTINO,6,0,9,2,7,0,8,0,7,0,10,1,10,1,AC,0,AC,0,AC,0,,
ebfb5279-b9d8-4718-b46c-4fb16107c380,F,No,PUERICULTURA,MATUTINO,8,0,8,1,8,2,10,0,9,0,10,0,9,0,AC,0,AC,0,NA,0,,
f731e8bd-2ed4-42cc-812b-6a71d39ea693,F,No,PUERICULTURA,MATUTINO,5,2,6,3,7,0,9,0,8,0,10,0,8,7,AC,0,AC,0,AC,0,,
d344db9b-aac4-4724-b2fb-daf1c46c3f3f,F,No,PUERICULTURA,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
61ed34de-0b52-46d8-91d2-9b2226300bda,F,No,PUERICULTURA,MATUTINO,7,4,7,2,7,3,6,0,5,3,10,0,7,3,AC,0,AC,0,AC,0,,
e8328f36-28b4-43de-b076-c1db9b69a6af,F,No,PUERICULTURA,MATUTINO,5,0,6,7,6,2,5,2,5,2,10,1,8,4,AC,0,AC,0,AC,0,,
6e3b0736-7935-43c4-9c14-3e5e9ecff2f6,F,No,PUERICULTURA,MATUTINO,5,0,8,0,7,0,5,2,9,0,10,0,8,4,AC,0,AC,0,AC,0,,
70b7d10c-80fc-4874-93e3-7c53bf8ec490,F,No,PUERICULTURA,MATUTINO,7,0,8,5,8,4,8,0,5,1,10,0,10,3,AC,0,AC,0,AC,0,,
cb7f0fd0-df3d-46dc-9439-3ea7e4a5059d,F,No,PUERICULTURA,MATUTINO,6,0,8,4,7,2,7,2,8,1,10,2,8,5,AC,0,AC,0,AC,0,,
91e2bf9e-1a18-4c53-bdfe-964b79a936fa,F,No,PUERICULTURA,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
9cc68b57-3634-4568-8025-79dfbc54bfcc,F,No,PUERICULTURA,MATUTINO,8,0,10,1,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
34fb048e-9ca9-4788-86cc-af87f2bad23c,F,No,PUERICULTURA,MATUTINO,8,0,8,0,9,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
3aa3f7e2-9d63-4b2e-b1a6-be02fd126588,F,No,PUERICULTURA,MATUTINO,5,0,6,4,7,2,8,0,5,0,10,1,9,4,AC,0,AC,0,AC,0,,
07386ef9-c59f-4e0c-ae77-b73ff9da9c9d,M,No,PUERICULTURA,MATUTINO,5,2,6,5,7,2,7,2,10,2,10,0,8,5,AC,0,AC,0,NA,0,,
d03f0f6a-647a-4b36-96bb-e07607c6bc20,F,No,PUERICULTURA,MATUTINO,6,0,8,2,9,2,8,0,6,3,10,1,10,1,AC,0,AC,0,AC,0,,
b79682b4-fa87-4716-99fe-73be5b3a4754,F,No,PUERICULTURA,MATUTINO,5,0,6,4,5,3,5,2,5,6,10,3,5,9,AC,0,AC,0,AC,0,,
9b32cec4-56a0-467d-a9d6-e4e254ae289a,F,No,PUERICULTURA,MATUTINO,8,0,8,2,6,4,7,2,5,0,10,1,9,9,AC,0,AC,0,AC,0,,
4eeda9a0-59b8-4a3d-afba-e529f7b7f39f,F,No,PUERICULTURA,MATUTINO,7,0,6,1,8,3,9,0,8,0,10,0,10,3,AC,0,AC,0,AC,0,,
19d3eafb-fdd4-416f-9df6-1c35c4301eec,F,No,PUERICULTURA,MATUTINO,8,0,8,0,8,0,7,0,8,0,10,0,10,0,AC,0,AC,0,AC,0,,
fd6c9fa6-c3df-488d-bdfc-b1ec26edf508,F,No,PUERICULTURA,MATUTINO,8,0,8,0,7,0,6,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
df655d18-1a3f-47e4-a8e6-a5509462edee,F,No,PUERICULTURA,MATUTINO,6,0,8,4,8,2,9,0,8,0,10,1,10,0,AC,0,AC,0,AC,0,,
11d18ed7-d440-4d74-9704-79834dc7611b,F,No,PUERICULTURA,MATUTINO,8,0,6,2,7,2,8,0,8,1,10,0,8,5,AC,0,AC,0,AC,0,,
