Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,IMP,Faltas_IMP,APL,Faltas_APL,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
f3ad1f34-2e58-4fd7-aed9-d7202dc77aab,F,Si,PUERICULTURA,MATUTINO,,,8,0,,,,,,,,,,,,,,,,,,
a1a945ee-5a23-45d1-a000-14c86f2953cd,F,No,PUERICULTURA,MATUTINO,5,2,8,3,8,0,8,0,10,0,10,2,8,1,AC,0,AC,0,AC,0,,
a17e4a25-3670-4949-bab3-a3e17c213379,F,No,PUERICULTURA,MATUTINO,5,2,8,4,7,0,8,2,10,0,10,2,8,1,AC,0,AC,0,AC,0,,
151b9adc-2175-4882-892b-f4a0cc88413f,F,No,PUERICULTURA,MATUTINO,5,2,9,2,8,2,9,2,10,0,10,1,8,0,AC,0,AC,0,AC,0,,
0282f704-5a51-4edf-9ac4-09ac21252af9,F,No,PUERICULTURA,MATUTINO,8,1,10,2,9,2,9,2,10,0,9,0,7,0,AC,0,AC,0,AC,0,,
46e208b7-d8fb-4d56-9f11-8b45045f62de,F,No,PUERICULTURA,MATUTINO,8,1,6,2,8,0,7,4,10,0,9,5,7,5,AC,0,AC,0,AC,0,,
7947f749-0faf-4ce5-bff0-6064a4d01e03,F,Si,PUERICULTURA,MATUTINO,,,6,2,,,,,,,,,,,,,,,,,,
a62d54cf-5ea0-47d6-96e2-4b7cb464c304,F,No,PUERICULTURA,MATUTINO,5,2,5,4,5,0,7,5,10,0,9,5,6,4,NA,0,NA,0,NA,0,,
a52dad45-f443-4e62-9f08-0dc726bfbc86,F,Si,PUERICULTURA,MATUTINO,,,7,0,,,,,,,,,,,,,,,,,,
d95fca22-e845-489b-967f-5a3867f53138,F,Si,PUERICULTURA,MATUTINO,,,5,12,,,,,,,,,,,,,,,,,,
5a280ee5-492f-4d94-86fb-2b975a25fabe,F,No,PUERICULTURA,MATUTINO,5,2,10,0,7,0,8,1,10,0,10,0,9,0,AC,0,AC,0,AC,0,,
05b4aa86-1f86-4acf-8d8d-03d959d65751,F,Si,PUERICULTURA,MATUTINO,,,10,0,,,,,,,,,,,,,,,,,,
1fccd84e-08e2-450c-82c0-a200dfcb3ec2,F,No,PUERICULTURA,MATUTINO,7,1,10,0,9,0,8,1,10,0,10,0,7,3,AC,0,AC,0,AC,0,,
20b7f1cc-d58f-4688-b4df-eb04cb8bb824,F,No,PUERICULTURA,MATUTINO,5,2,7,1,9,0,6,0,10,0,9,4,7,1,AC,0,AC,0,AC,0,,
b5835721-cdfd-4167-9812-eb87868e3739,M,Si,PUERICULTURA,MATUTINO,,,5,9,5,20,,,,,,,,,,,,,,,,
9cd3f261-f0fe-42ee-b6d1-c25b7bd74136,F,No,PUERICULTURA,MATUTINO,5,2,7,1,5,1,7,2,10,0,8,5,7,3,AC,0,NA,0,NA,0,,
cbd7450a-19d8-48fe-93fb-8b22eb2305f5,M,Si,PUERICULTURA,MATUTINO,,,6,1,6,2,,,,,,,,,,,,,,,,
e3205b02-510d-4b23-b92b-8fc36d9b228a,F,Si,PUERICULTURA,MATUTINO,,,8,1,,,,,,,,,,,,,,,,,,
fb98d7a7-bc59-4282-8f2b-8f669481ef5c,M,Si,PUERICULTURA,MATUTINO,,,7,2,,,,,,,,,,,,,,,,,,
2712696c-fd7f-41c8-8c01-9670625b0b9b,F,No,PUERICULTURA,MATUTINO,9,1,10,0,9,3,8,2,10,0,9,2,8,1,AC,0,AC,0,AC,0,,
74234c36-f8be-4b10-880a-e69894181c67,F,No,PUERICULTURA,MATUTINO,5,2,5,12,5,20,5,24,NP,10,NP,0,5,12,NA,0,NA,0,NA,0,,
776c8e95-efc2-4f72-a320-4ba3f40eb1bb,F,No,PUERICULTURA,MATUTINO,6,2,10,0,9,0,8,0,10,0,9,1,9,0,AC,0,AC,0,AC,0,,
6e007b67-15d1-426e-b56a-f74994c2f041,F,Si,PUERICULTURA,MATUTINO,,,8,1,,,,,,,,,,,,,,,,,,
70972ba2-7903-487a-a594-6c2046ca89dc,F,No,PUERICULTURA,MATUTINO,5,2,7,1,9,2,7,3,10,0,10,3,8,0,AC,0,AC,0,AC,0,,
c2d6db8c-27eb-43ea-b556-15c4cfc8f13d,F,No,PUERICULTURA,MATUTINO,6,2,9,3,7,1,8,3,10,0,9,4,6,2,AC,0,AC,0,AC,0,,
dc48eba1-7603-4210-9dab-b0a08fc8b768,F,Si,PUERICULTURA,MATUTINO,,,9,1,,,,,,,,,,,,,,,,,,
7d098b3a-6409-4f4b-99db-03443cb05455,F,No,PUERICULTURA,MATUTINO,5,2,7,0,5,0,5,0,8,2,7,10,6,0,AC,0,NA,0,AC,0,,
bda45d20-1c2f-457c-a089-3b5d93ff7833,F,Si,PUERICULTURA,MATUTINO,,,8,1,,,,,,,,,,,,,,,,,,
798c87e0-7f73-4c90-8cef-5c94095e52d7,F,Si,PUERICULTURA,MATUTINO,,,7,0,,,,,,,,,,,,,,,,,,
40ea54d2-db08-4c8b-8b32-bca17490899e,F,No,PUERICULTURA,MATUTINO,5,2,6,2,8,1,7,0,10,0,9,0,8,2,NA,0,NA,0,NA,0,,
eb3d5017-56db-40ac-9670-1af962c25fbf,F,No,PUERICULTURA,MATUTINO,5,2,5,2,9,0,7,3,10,0,10,1,7,0,AC,0,AC,0,AC,0,,
c41c0ffc-ad4a-4877-bc2d-87ffc8ffe960,F,Si,PUERICULTURA,MATUTINO,,,6,1,7,3,,,,,,,,,,,,,,,,
886dce83-3a10-4ca6-b693-2b258ef96cdc,F,Si,PUERICULTURA,MATUTINO,,,5,1,,,,,,,,,,,,,,,,,,
731a8731-5124-4e83-9c54-0762c7acb2b9,F,No,PUERICULTURA,MATUTINO,5,2,8,1,8,0,8,1,10,0,10,3,8,1,AC,0,AC,0,AC,0,,
07b3c76d-85a8-415b-b7bc-2edfcba6b88c,F,Si,PUERICULTURA,MATUTINO,,,5,1,,,,,,,,,,,,,,,,,,
88716784-0e4a-48a1-aeb7-87675dfe70b3,F,No,PUERICULTURA,MATUTINO,7,1,9,0,7,0,9,0,10,0,9,0,8,0,AC,0,NA,0,AC,0,,
3ea245c6-3fab-4a8d-9c57-3a7adb270d3a,F,No,PUERICULTURA,MATUTINO,5,2,7,4,8,0,5,2,10,0,9,6,8,3,AC,0,AC,0,AC,0,,
1ea34cd0-5954-4b7e-95c0-d34e7fd2070c,F,No,PUERICULTURA,MATUTINO,7,1,8,2,9,1,8,2,10,2,8,5,6,4,AC,0,NA,0,AC,0,,
6bca488c-c623-4782-9041-4ebb997dcdfc,F,No,PUERICULTURA,MATUTINO,6,2,6,4,5,1,6,3,10,0,9,4,7,3,AC,0,NA,0,AC,0,,
e54e1c93-9190-412b-9209-355fd7829a17,F,No,PUERICULTURA,MATUTINO,7,1,10,0,9,2,9,0,10,0,10,1,9,0,AC,0,AC,0,AC,0,,
05fc7377-3106-49e4-be81-fc9ee83a1822,F,Si,PUERICULTURA,MATUTINO,,,5,3,,,,,,,,,,,,,,,,,,
082339cb-d2f0-4f60-8974-dc565f69cfda,F,Si,PUERICULTURA,MATUTINO,,,10,0,,,,,,,,,,,,,,,,,,
811cc34d-b567-402b-8fdd-edd920ecccc2,M,Si,PUERICULTURA,MATUTINO,,,7,3,6,2,,,,,,,,,,,,,,,,
220e5581-9858-413c-b2ec-d390bae5184b,F,No,PUERICULTURA,MATUTINO,9,0,10,0,10,1,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
17520f70-4586-4a54-b2fe-4f7e1a1d974d,F,Si,PUERICULTURA,MATUTINO,,,7,3,,,,,,,,,,,,,,,,,,
680edfb4-cca8-41ae-bfa6-32a26a716f6c,F,No,PUERICULTURA,MATUTINO,5,2,8,7,5,5,5,5,8,2,9,10,6,0,AC,0,AC,0,AC,0,,
a49833ce-15fa-43a2-adf4-2892345918d5,F,Si,PUERICULTURA,MATUTINO,,,5,2,,,,,,,,,,,,,,,,,,
7abf1c0c-fd14-43fd-aeeb-4ca667b2a13f,F,No,PUERICULTURA,MATUTINO,7,2,8,3,8,0,8,3,10,0,10,0,8,0,AC,0,AC,0,AC,0,,
c253c186-5198-4f1d-908a-18f4f7a73160,F,No,PUERICULTURA,MATUTINO,5,2,5,12,5,20,5,24,NP,10,NP,0,5,12,NA,0,NA,0,NA,0,,
b79c4a4c-8fc7-4269-8a90-e1bc0339f1bb,F,Si,PUERICULTURA,MATUTINO,,,5,11,,,,,,,,,,,,,,,,,,
