Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,REA,Faltas_REA,REA0,Faltas_REA0,REA1,Faltas_REA1,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
97d862c6-1498-4a8e-910b-14281cd3ffd5,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,9,0,8,2,10,2,8,3,10,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
f3ad1f34-2e58-4fd7-aed9-d7202dc77aab,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,5,2,7,2,5,2,6,6,5,1,5,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
1206499b-de1d-4be6-9193-74e37ae975c3,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,NP,16,,,,,,,,,,,,,,,,,,,,,,
c9aeb769-6ae5-494b-a0dc-32834160e46a,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,
1b4b9d66-44b6-4779-b595-f5ec6370b7c9,M,Si,ENFERMERIA GENERAL,MATUTINO,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
4396ac4a-46a0-44f0-b379-794cf2d892be,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,1,9,9,10,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
15151637-67f2-490c-9650-c04321caf7ca,M,No,ENFERMERIA GENERAL,MATUTINO,6,3,6,2,5,2,8,0,6,5,7,4,9,0,AC,0,NA,0,NA,0,NA,0,AC,0,AC,0,,
b2671fb6-8101-40b6-8c03-c1a4b38d4058,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,5,2,7,10,5,7,7,13,6,3,7,0,AC,0,AC,0,AC,0,NA,0,AC,0,NA,0,,
7947f749-0faf-4ce5-bff0-6064a4d01e03,F,No,ENFERMERIA GENERAL,MATUTINO,5,3,8,2,8,6,10,0,10,7,9,1,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
a52dad45-f443-4e62-9f08-0dc726bfbc86,F,No,ENFERMERIA GENERAL,MATUTINO,5,3,8,1,9,0,10,0,8,4,8,3,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
d95fca22-e845-489b-967f-5a3867f53138,F,No,ENFERMERIA GENERAL,MATUTINO,5,8,NP,17,NP,16,NP,16,NP,0,NP,30,5,0,AC,0,NA,0,NA,0,NA,0,AC,0,NA,0,,
52428aaf-f248-442f-bdd5-dc276b8ce3d2,F,No,ENFERMERIA GENERAL,MATUTINO,9,1,9,0,9,0,10,0,10,5,9,2,10,0,AC,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
e9343402-4d34-4ee2-ae24-81d8040bc2c0,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,1,5,2,5,3,8,10,8,1,10,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
b5835721-cdfd-4167-9812-eb87868e3739,M,No,ENFERMERIA GENERAL,MATUTINO,7,3,7,3,7,4,7,6,6,16,6,3,8,0,AC,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
cbd7450a-19d8-48fe-93fb-8b22eb2305f5,M,No,ENFERMERIA GENERAL,MATUTINO,5,1,7,0,8,0,9,0,9,1,9,3,8,0,AC,0,AC,0,NA,0,NA,0,AC,0,NA,0,,
e3205b02-510d-4b23-b92b-8fc36d9b228a,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,5,2,10,0,8,1,6,0,9,0,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
2dfe706f-dcfa-41f3-af14-45fa48640875,M,No,ENFERMERIA GENERAL,MATUTINO,NP,16,NP,17,NP,16,NP,16,NP,0,NP,30,5,0,AC,0,NP,0,NA,0,NP,0,AC,0,NA,0,,
fff1f0a4-e061-444a-a8da-0093c6912dea,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,1,9,0,5,0,10,9,9,2,8,0,AC,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
8620f1ba-23f2-4bf1-a87c-a1026f16436c,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,NP,16,,,,,,,,,,,,,,,,,,,,,,
811e8717-9044-4049-a0ec-cc6c86782a31,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,2,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
