Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,INS,Faltas_INS,PRO0,Faltas_PRO0,LIT,Faltas_LIT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
d45c7c7f-1e9a-4ea4-92b9-e6573a8194d5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
2f2f04f1-7a24-445c-b77d-e3ef122c7916,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,6,4,8,2,10,3,6,0,5,1,AC,0,NA,0,,
417acf61-5152-4622-88e6-3ab8fa6dbeb7,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,7,1,8,0,6,0,10,0,5,0,AC,0,AC,0,,
1b7612dd-7014-4734-9c9f-5df610da992f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,1,6,3,8,2,6,1,6,0,5,3,NA,0,NA,0,,
1f8c2f4c-1b8b-42ca-8935-4bec0993d0a7,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,7,0,8,0,5,0,6,0,5,8,AC,0,AC,0,,
575e6ccd-4e17-4271-a99a-483f1762b963,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,9,1,8,0,7,7,9,0,8,0,AC,0,AC,0,,
0f4d84e4-48e0-49c2-9841-44bc414e5f62,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
a7ef052f-8417-42fd-9324-1c0edb4b3301,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,6,4,8,5,5,1,6,0,5,3,AC,0,AC,0,,
6b9b8b26-15a0-4b92-81dc-9638b07cbe46,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,6,2,9,2,7,0,9,0,6,0,AC,0,NA,0,,
e049a0ca-0574-4045-a8d5-9250288faa17,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,2,9,4,6,0,10,0,5,0,AC,0,NA,0,,
c81e9a9d-a5fd-47e7-a80d-2fdf3d2bdeb4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,1,10,0,10,1,10,0,10,0,AC,0,AC,0,,
b07b4a00-db9f-4a4f-8e16-c21ba1101bdc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,8,0,10,0,10,0,10,0,AC,0,AC,0,,
0a36acb6-2bed-48f8-b916-bc2b38784452,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,8,0,9,4,6,0,10,0,5,1,AC,0,NA,0,,
ed04d2f0-da9e-41d0-9de2-355763d2aad5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,6,3,9,4,7,1,6,0,5,4,AC,0,NA,0,,
f110a4c2-7a13-48df-90d5-f9096ff0eeaf,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,8,0,8,0,10,1,9,0,5,0,AC,0,AC,0,,
d87f3a18-3615-47b9-aa96-30f85a6694df,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,8,0,8,0,6,0,10,0,5,0,AC,0,AC,0,,
06852398-8502-40f6-9ee0-6795aec15501,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,8,0,8,0,6,0,10,0,5,0,AC,0,AC,0,,
ef165ff9-7e86-4888-9c26-9e894e09ff21,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,6,1,9,6,6,7,10,0,5,3,AC,0,NA,0,,
260787cb-1bd7-4183-9050-918a45b1611f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,1,9,1,10,1,10,0,9,0,9,0,AC,0,AC,0,,
a76ff960-250b-4e1a-bf5c-440e04bd5abf,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,3,10,2,10,3,10,0,10,0,AC,0,AC,0,,
59566d77-4734-4ca4-bbc5-4faa388f4066,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,4,7,0,9,0,10,5,9,0,5,0,AC,0,AC,0,,
b5ca85ac-4f72-4fdd-bf67-206e9a8b1aa3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,3,9,0,8,2,10,3,10,0,5,4,AC,0,AC,0,,
a4c41536-94b5-4b82-8819-dcbcc34e5ee4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,2,8,1,8,8,6,3,7,0,5,1,AC,0,AC,0,,
198e2eb8-b1fa-4ae3-aba6-21b2fadbae84,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
a7fc7fe8-168f-43e8-aa3b-39cd99052f5c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,1,8,8,10,0,6,0,5,1,AC,0,AC,0,,
