Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,IMP,Faltas_IMP,AUX,Faltas_AUX,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
7dccfd31-7388-4d22-8bb7-c68bf6a2c43d,F,No,PUERICULTURA,MATUTINO,7,0,7,2,8,0,8,0,9,0,10,0,AC,0,NA,0,,
a069beac-48a4-4e9f-ab3a-01baa6292cff,M,No,PUERICULTURA,MATUTINO,8,0,9,1,9,0,9,0,10,0,7,0,AC,0,AC,0,,
b2797b1f-9019-4263-bb8a-2c3bfb835725,F,No,PUERICULTURA,MATUTINO,9,0,5,1,8,0,8,0,7,0,9,1,AC,0,AC,0,,
46adb1f5-6794-4fac-a1c2-e50ad7fe31e4,F,No,PUERICULTURA,MATUTINO,10,0,7,1,9,0,8,0,7,0,10,0,AC,0,AC,0,,
0ee2eb43-de6f-493f-94ed-a80f5d719205,F,No,PUERICULTURA,MATUTINO,5,0,5,1,8,0,8,0,7,0,7,0,AC,0,NA,0,,
98c8d58d-7028-407b-be10-de535b0f70f2,F,No,PUERICULTURA,MATUTINO,6,3,7,0,10,0,9,0,10,0,10,1,AC,0,AC,0,,
cffaba15-401d-4416-a2a5-c04b004f9d92,F,No,PUERICULTURA,MATUTINO,6,4,7,0,10,0,9,0,8,0,9,4,AC,0,AC,0,,
ffef8844-bcf3-44a1-b22b-e33b09c4208f,F,No,PUERICULTURA,MATUTINO,8,1,7,0,9,0,8,0,7,0,10,2,AC,0,AC,0,,
5f26083a-4d0b-45c4-a575-4396b9f4f060,F,No,PUERICULTURA,MATUTINO,10,1,9,0,10,1,9,0,10,0,10,1,AC,0,AC,0,,
15e91846-4f0b-4d52-9f48-db2ee8c5a172,F,No,PUERICULTURA,MATUTINO,8,2,7,0,8,0,8,0,8,0,9,4,AC,0,NA,0,,
83dbf972-f5a7-4463-97e7-43223a192784,F,No,PUERICULTURA,MATUTINO,7,4,7,0,10,1,9,0,10,0,10,4,AC,0,AC,0,,
f07cc6d7-ffb9-42e6-879b-0a2535464ff0,F,No,PUERICULTURA,MATUTINO,5,6,5,0,10,1,10,0,10,0,10,2,AC,0,NA,0,,
82d6f8fc-640a-43a9-b9ad-a49a8ade843f,F,No,PUERICULTURA,MATUTINO,7,3,6,0,10,1,9,0,8,0,10,1,AC,0,AC,0,,
dacae2bc-9a59-4b8d-89e6-cd0f37c7e3ce,F,No,PUERICULTURA,MATUTINO,5,3,5,0,10,2,9,0,9,0,10,2,AC,0,AC,0,,
945e300e-39fc-4682-80da-7815f7f844ba,F,No,PUERICULTURA,MATUTINO,7,3,5,0,8,2,8,0,10,0,10,0,AC,0,AC,0,,
711f763f-0c6f-47b9-8ee7-3ae0f0a8df49,F,No,PUERICULTURA,MATUTINO,9,3,5,1,7,2,8,0,7,6,7,2,AC,0,NA,0,,
0d4f8fbe-2fe2-4d49-93ed-fe21528c1cf8,F,No,PUERICULTURA,MATUTINO,9,5,8,0,10,0,9,0,10,0,10,0,AC,0,AC,0,,
1725e476-f7a9-429e-a134-8b354ae951eb,F,No,PUERICULTURA,MATUTINO,10,1,8,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
a6e9ed3d-e9e7-4dbc-b13e-8e2fa7dbc351,F,No,PUERICULTURA,MATUTINO,7,4,9,0,9,0,9,0,8,0,8,1,AC,0,AC,0,,
8ef39fe7-a6a3-43d6-9763-a6d3d538c5ab,F,No,PUERICULTURA,MATUTINO,10,2,10,0,10,0,9,0,10,0,10,2,AC,0,AC,0,,
064a4066-439b-456a-9cda-dd13c6ab7890,F,No,PUERICULTURA,MATUTINO,7,3,6,0,10,0,8,0,10,0,10,0,AC,0,AC,0,,
3502ceb3-b4df-49b8-a10b-6cc371f40aa7,F,No,PUERICULTURA,MATUTINO,8,7,6,0,9,0,9,0,10,0,10,0,AC,0,AC,0,,
02daa265-8c46-49dc-a6f2-a4f41f5504f3,F,No,PUERICULTURA,MATUTINO,9,2,8,0,10,0,10,0,10,0,10,1,AC,0,AC,0,,
99e5aeee-96f4-4c8d-b56a-2f3cdab00c35,F,No,PUERICULTURA,MATUTINO,7,0,5,1,10,0,10,0,10,0,9,1,AC,0,AC,0,,
3b0eaf1f-3239-431f-8d7a-114d49feeaf5,F,No,PUERICULTURA,MATUTINO,10,0,8,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
9b4785a9-0b44-4735-b906-3a62e8617646,F,No,PUERICULTURA,MATUTINO,7,2,9,0,9,2,8,0,8,0,8,0,AC,0,AC,0,,
7517c3be-9570-4e98-a3c9-1cad7bb7831c,F,No,PUERICULTURA,MATUTINO,10,3,8,0,10,2,10,0,10,0,10,1,AC,0,AC,0,,
fbe42599-62f3-4c35-a038-37afb15a22b1,F,No,PUERICULTURA,MATUTINO,8,0,5,2,8,1,8,0,7,0,10,1,AC,0,NA,0,,
71c8995b-8cf5-4524-9489-3bc7109f19db,F,No,PUERICULTURA,MATUTINO,10,3,8,0,10,1,9,0,10,0,10,0,AC,0,AC,0,,
95923e23-b7f5-4cbc-8cca-a8b9e030ecbc,F,No,PUERICULTURA,MATUTINO,6,5,9,0,9,2,8,0,8,0,8,3,AC,0,AC,0,,
e3454bbe-845c-4c79-9074-0adf31f23ff9,F,No,PUERICULTURA,MATUTINO,9,1,9,0,10,1,9,0,10,0,10,0,AC,0,AC,0,,
325ef3a0-c28f-4e41-b9e0-e5d4dc475d24,F,No,PUERICULTURA,MATUTINO,NP,25,NP,23,5,0,NP,25,5,20,5,20,AC,0,NP,0,,
