Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,EJE,Faltas_EJE,APL,Faltas_APL,REA,Faltas_REA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
bea6fcef-c10c-4245-89bd-acc92940d329,F,No,ENFERMERIA GENERAL,MATUTINO,5,4,5,2,8,0,8,1,9,0,9,6,9,0,AC,0,NA,0,AC,0,,
80c43eb1-3c15-47b7-b1e7-80954bd6e1c7,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,9,2,8,0,8,1,8,0,9,0,9,0,AC,0,AC,0,AC,0,,
00ed1b3b-936c-4368-8575-bc284b2f3002,M,Si,ENFERMERIA GENERAL,MATUTINO,,,NP,12,,,,,,,,,,,,,,,,,,
8504d306-140b-4623-96fc-a272b57998a7,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,7,2,8,0,7,3,8,0,8,6,8,0,AC,0,AC,0,AC,0,,
c98031e1-e537-4ede-bc70-101b9a154f3c,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,1,7,0,8,2,8,0,8,0,10,0,AC,0,NA,0,AC,0,,
5f9bd58e-5875-412f-8d48-4eed652338e0,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,2,10,0,9,1,9,0,9,0,9,0,AC,0,AC,0,AC,0,,
e3bb4740-37f3-44a8-8e27-1b4a6df9fef7,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,10,0,8,1,10,0,9,0,10,0,AC,0,AC,0,AC,0,,
4f822675-0ccc-403e-85bd-c0ea62519d1b,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,7,1,9,0,9,3,10,0,9,0,8,0,AC,0,AC,0,AC,0,,
5e86521e-bf6e-4707-bd9b-8533fbc914f4,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,4,5,3,7,2,9,0,5,3,10,0,AC,0,AC,0,AC,0,,
dcdba609-6ab2-4825-8272-6eecd05376c1,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,5,3,5,3,8,1,9,0,5,6,10,0,AC,0,AC,0,AC,0,,
7564b96d-584e-4bf1-960a-c9a6877b89e3,M,Si,ENFERMERIA GENERAL,MATUTINO,,,5,4,,,,,,,,,,,,,,,,,,
c7995ed1-4881-4f7f-ae99-ef25f584ddb3,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,1,10,0,10,1,10,0,9,1,9,0,AC,0,AC,0,AC,0,,
3a6275c2-78d1-45a6-90da-502071ea1b01,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,0,6,0,8,0,8,0,5,1,9,0,AC,0,NA,0,AC,0,,
6e74f1cb-4dbb-4c57-8bee-6dbdf503760a,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,1,7,0,9,3,10,0,10,3,8,0,AC,0,AC,0,AC,0,,
43d6596f-5e4a-4998-ade4-72a1e7f298e5,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,NP,16,,,,,NP,39,,,,,,,,,,
420f5505-ff48-4b15-a0de-83aab30cfd61,M,Si,ENFERMERIA GENERAL,MATUTINO,,,7,2,,,,,,,,,,,,,,,,,,
b9e8fd75-a7cc-406a-8c94-224a93d9bd52,M,Si,ENFERMERIA GENERAL,MATUTINO,,,7,4,,,,,,,,,,,,,,,,,,
49ec8b7b-08cd-41f3-bcf3-effe0f176c43,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,1,8,0,8,3,8,0,9,3,10,0,AC,0,AC,0,AC,0,,
44711b2d-92fb-4a63-942a-f38c4f28f5a7,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,5,2,10,0,7,2,8,0,8,4,10,0,AC,0,NA,0,AC,0,,
373e2bda-273c-4f3e-853b-2e2b04866ef1,M,Si,ENFERMERIA GENERAL,MATUTINO,5,6,,,,,,,,,,,,,,,,,,,,
d53c84a3-b5f0-4808-be3a-d4fbc2e18f4a,M,No,ENFERMERIA GENERAL,MATUTINO,7,4,7,3,8,0,8,0,8,0,5,6,10,0,AC,0,AC,0,AC,0,,
f437d734-3091-4b60-b7a4-9829097356f8,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,1,8,0,7,2,10,0,8,3,8,0,AC,0,AC,0,AC,0,,
1b6883dc-9db3-4206-b58d-5e458623778c,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,1,8,0,7,2,10,0,9,0,10,0,AC,0,AC,0,AC,0,,
289630f3-e281-4983-ade1-62d92e37b27a,F,No,ENFERMERIA GENERAL,MATUTINO,6,1,7,2,8,0,5,3,8,0,9,3,9,0,AC,0,NA,0,AC,0,,
00715b80-a985-4669-9e68-eb9f0c1c7188,F,Si,ENFERMERIA GENERAL,MATUTINO,,,7,1,,,,,,,,,,,,,,,,,,
