Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,ELA,Faltas_ELA,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
b63bc991-d2ff-4f06-9e22-158ef776318c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,6,5,2,5,5,5,3,5,9,10,10,AC,0,AC,0,AC,0,,
15151637-67f2-490c-9650-c04321caf7ca,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,5,18,,,,,,,,,,,,,,
b2671fb6-8101-40b6-8c03-c1a4b38d4058,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,7,0,,,,,,,,,,,,,,
c54d96a5-417e-4ac3-a884-c00b6e4cc45d,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,5,4,5,1,6,0,5,6,8,12,AC,0,AC,0,AC,0,,
4f672a5e-835a-4f26-b08b-98b4b7f3bc52,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,4,9,2,7,2,8,1,5,3,10,6,AC,0,AC,0,AC,0,,
02de8aca-6ffe-4466-91e0-e0739af8b3a9,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,5,6,,,,,5,12,,,,,,,,,,
83395dfb-9027-4fdc-ab4c-9927a00df477,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,5,2,7,1,7,1,5,6,10,10,AC,0,AC,0,AC,0,,
f8a33bb2-b7d9-48fd-a033-3d92f0395b6f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,10,0,10,0,,,,,,,,
2dfe706f-dcfa-41f3-af14-45fa48640875,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,10,NP,18,,,,,,,,,,,,,,
3319181e-50c9-40c6-992f-da832432254f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,NP,20,5,10,5,16,5,6,5,24,5,30,NA,0,NA,0,AC,0,,
9a6cad32-9db3-4a51-98cb-3a48e5a054a7,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,6,0,5,2,5,0,5,3,10,11,AC,0,AC,0,AC,0,,
501c4ae4-3d51-4624-b9dd-b59d61e6d183,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
eea28705-2ee7-4e5d-96c2-d55d437720eb,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,10,8,0,,,,,,,,,,,,,,
058a4fdd-ac89-43a6-b224-1aa873e609fc,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,,,,,,,,,10,12,,,,,,,,
059af107-2415-4182-8b28-5d511a82bb85,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,7,4,,,,,,,,,,,,,,
9c356725-87c5-443b-823a-6e5b2f241d24,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,5,14,,,,,,,,,,,,,,
7dfbcd93-0b92-4aa3-99ed-c3eb53622b6d,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,10,2,8,2,8,2,7,0,10,0,AC,0,AC,0,AC,0,,
27dc42bf-22f0-45b7-a8d4-4c3ca9c169cb,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,NP,20,5,10,NP,18,5,16,NP,24,NP,38,AC,0,NA,0,NA,0,,
992efc53-8052-4b5b-8407-e87d017663a6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,6,2,7,0,8,0,5,0,10,4,AC,0,AC,0,AC,0,,
