Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,MAN,Faltas_MAN,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
f8a33bb2-b7d9-48fd-a033-3d92f0395b6f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,1,8,0,10,0,10,0,8,6,10,0,NA,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
48f1672b-3155-4e7c-b916-abdce49093ed,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,2,6,0,7,3,8,0,7,6,5,20,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
7564b96d-584e-4bf1-960a-c9a6877b89e3,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,NP,20,5,8,5,15,,,,,,,,,,,,,,,,,,,,
a48b7ab2-143f-4be8-95af-b7cfb0478bc9,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,8,0,10,1,10,0,7,5,10,0,NA,0,NA,0,AC,0,AC,0,NA,0,NA,0,,
420f5505-ff48-4b15-a0de-83aab30cfd61,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,8,0,10,0,10,0,8,1,10,0,NA,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
c8419713-3063-40b8-a485-1aef7f6844d6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,0,,
058a4fdd-ac89-43a6-b224-1aa873e609fc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,1,8,0,10,0,10,0,5,0,8,0,NA,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
a32f32ff-29dc-4589-9eb4-d83fb9035010,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,7,0,10,0,8,0,7,0,10,0,NA,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
b9e8fd75-a7cc-406a-8c94-224a93d9bd52,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,7,0,10,0,8,2,5,2,5,0,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
63d88ee9-5753-4a9e-bfe1-a959ca5a492c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,6,0,10,0,10,3,5,2,10,0,NA,0,NA,0,AC,0,AC,0,NA,0,AC,0,,
