Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,APL,Faltas_APL,PRO0,Faltas_PRO0,APL0,Faltas_APL0,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
c9aeb769-6ae5-494b-a0dc-32834160e46a,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,5,0,9,0,10,1,10,0,10,0,8,0,AC,0,AC,0,,
0da49f59-1fa0-4624-bbf1-1727483cfce6,M,No,ENFERMERIA GENERAL,MATUTINO,10,1,8,2,10,6,10,1,10,0,9,2,9,0,AC,0,AC,0,,
a1cb8131-060d-4c00-8521-40ece858f73f,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,7,0,8,0,10,1,10,0,10,2,10,0,AC,0,AC,0,,
c6b4e9a4-891d-49ec-8ff4-b74650683a7e,F,No,ENFERMERIA GENERAL,MATUTINO,6,5,8,3,7,4,10,1,10,0,7,3,9,3,AC,0,NA,0,,
0e5f6526-9177-40ea-8681-4b3bd483e383,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,9,0,10,0,10,0,10,0,10,0,9,0,AC,0,AC,0,,
61f8125a-5b5e-4486-96b4-0e6f290ba883,F,No,ENFERMERIA GENERAL,MATUTINO,6,7,5,0,6,15,10,0,10,0,8,3,8,3,AC,0,NA,0,,
a93249d4-e28f-40e9-8204-ace3eca140be,F,No,ENFERMERIA GENERAL,MATUTINO,8,4,10,0,10,0,10,1,10,0,10,0,10,0,AC,0,AC,0,,
4ddf8346-6c05-4289-a28d-ba66775ffa1a,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,7,0,10,0,10,1,10,0,10,0,9,0,AC,0,AC,0,,
46efa1ab-7b20-4ddc-aebf-8f7a2abd722a,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,10,0,10,1,10,0,9,0,9,0,AC,0,AC,0,,
cad8d614-4787-4bf4-afb0-3c552a5c381d,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,5,0,9,2,10,2,10,0,10,0,9,0,AC,0,AC,0,,
4c152647-0687-4312-9e47-e09d9f62175b,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,9,0,10,0,10,1,10,0,7,0,10,0,AC,0,NA,0,,
8ae500aa-7e52-4fd5-81eb-49db6401ff59,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,5,0,9,0,9,1,10,0,9,0,8,2,AC,0,AC,0,,
1a91d0e3-2450-41ee-8688-33b17b9f0478,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,5,4,10,5,10,1,10,0,5,6,9,0,AC,0,AC,0,,
788adbe2-4331-4dcd-b5ec-7d542ce2ec4a,F,No,ENFERMERIA GENERAL,MATUTINO,7,5,8,2,8,4,9,2,10,0,7,5,8,2,AC,0,AC,0,,
c56cc105-c7a7-4ce6-8f9b-052dd15ea23e,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,5,2,10,4,10,1,10,0,10,3,10,0,AC,0,NA,0,,
5525d693-4dfe-4e67-9056-dc697adfdcfd,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,10,0,10,0,10,1,10,0,10,0,10,0,AC,0,AC,0,,
bbed1570-6a7b-460c-b0be-0065683ff44e,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,5,2,7,4,10,2,10,0,8,3,8,0,AC,0,NA,0,,
337c159f-b010-4655-96c3-37115aa2c5d9,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,7,0,9,0,10,1,10,0,9,0,9,0,AC,0,AC,0,,
65881299-8105-488a-8e1b-c9f89cb6dbd1,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,1,10,0,10,0,10,0,AC,0,AC,0,,
05ee6943-75e8-4d0c-abd0-9b293ef3e4a9,F,No,ENFERMERIA GENERAL,MATUTINO,10,1,9,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
